Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1,1,1,2-Tetrachloroethane	-3.3338072827559038	1.6050692601704621	1.7144712898871028	6.819627740185354	-1.3128409716176572	-1.3978243881342824	-6.30330196425305	-0.4201065005475421
1,1,1,3,3,3-Hexafluoro-2-propanol	-3.0822870610696858	9.943066039820593	-0.3816341829508656	11.080300348912642	0.43397094192818275	5.691205052959834	13.13456174045872	4.896859689860534
1,1,1-Trichloroethane	-4.308236885103999	-2.2526815575952255	1.9819267196592083	8.600015107460253	-2.8260112350487248	-0.010657476421293983	-4.591289739837688	-2.7944957028256874
1,1,1-Trifluoro-2-propanol	-5.01903359601618	8.458400893650737	0.9159994415621372	10.669202175940434	4.443236019903662	-3.7046474764866493	2.6106422366990634	2.821170554386378
1,1,2-trichloro-1,2,2-trifluoroethane	-2.4020128634458957	3.6595352593129835	2.7993971554277555	3.8361336372525403	-5.267699377887044	-8.14221923811868	-1.7965322026574666	12.025884925927107
1,1,2-Trichloroethane	-3.999987733581033	0.5101058690916366	1.8249497997068258	7.243367457960248	-5.720756603175155	-1.8466739483048786	-3.763216179747442	-2.8189150426524527
1,1,2-Trichlorotrifluoroethane	-2.5474008168775653	4.073068114693167	0.9069207347960965	4.782478642164059	-7.54479091003943	-2.2811222961654662	0.5695108966957847	2.0510427757392637
1,1-Difluoroethane	-6.10620846505506	-0.6284819832668187	1.8026997569738135	12.660046267694955	3.6718871995732942	-0.2951229925185953	-3.152168494774816	4.09004429891595
1,1-Dimethylhydrazine	-5.949354588008811	-5.7286923217615575	5.089400549240657	-3.7743242666920347	-4.904115085169975	-1.49829954880383	-1.5992608937548847	0.06476037763194781
1-2-3-hexanetriol	-2.5008809688013476	9.96541624546646	-4.345173175005494	-7.704963432304658	2.471985580003685	-0.27170328929594606	-0.2551461948504054	2.3976431469084862
1-2-Benzenediol	-1.9082665329176927	-12.373846594312091	-0.557756532089777	-2.5881175089065898	0.9620753445591592	-5.065847740810019	3.4895837733269293	-0.3351587488416199
1-2-butanediol	159.79692630052566	-10.117320783389253	-40.65702090068613	5.8902228193888	-3.0420852398472458	-1.8266586946931445	-2.2876816796957256	0.21628007144477088
1-2-butanediol_RV_DOS	-5.029500832809195	7.344839145732927	-1.248322066064562	-1.4470859839572008	0.2490780562604541	1.08184617362668	-1.0484490547966527	-1.8707601272392276
1-2-Dimethoxyethane	-5.119770289505377	5.288969585449142	-0.1460629596802476	-7.443304078723661	-4.001147180043175	-2.0429078519532737	-0.793723857390941	-4.893764373437597
1-2-ethanediol	-6.638293264475341	1.9860400017819553	-0.5354476472267026	2.7034907340752623	2.2008935670565526	1.6109273061044043	-0.2304556483343977	-2.243555523534729
1-2-heptanediol	-2.5579724400474166	13.056946301993932	-5.516985564704603	-8.662739372436363	2.170825119129496	4.136904555297112	1.9936955895508557	-1.8579787360486975
1-2-hexanediol	-3.7529686136510234	11.535693476311444	-5.742281678318875	-6.555602939715277	1.5046236195360894	4.786486605747815	1.839660513337323	1.1355806085277824
1-2-octanediol	-1.589864620950406	13.65492218233797	-6.394341120526111	-9.242258024482295	2.690275979737268	1.5636032459568128	0.39869688199459274	1.5235928155362577
1-2-pentanediol	-3.4249883265916203	9.163357805764335	-1.1986331529950653	-3.2222582168898897	0.06698959418464757	1.8880444986003386	3.8875931163216415	-3.435566721927055
1-2-propanediol	-5.970408193807409	4.678928149644181	-1.2012422422746316	-0.535412569954106	2.8895116416299635	-2.2969546443577302	-2.81928267409113	-1.430566724294078
1-3-butanediol	-4.99641660746451	3.1469560664063247	-0.09085571795506463	-6.558465390496904	-3.086544329496723	-4.39870253190767	-2.20246645928441	2.4803642485119415
