Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1,1,1,2-Tetrachloroethane	-6.721047372330487	0.6269657689126501	-18.48615077443704	22.449585621660358	-10.850057837315578	-1.7395679750632815	-1.3485857324742008	-0.3229605577639895	-4.6545959474813605	5.182448392140119
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.0433449132509574	-1.8892197701071867	3.405147275956718	-6.5132236909999595	-0.22325681025781738	0.4686341344680035	4.19831376688303	2.5338105854976654	1.523473243497526	-0.9261341718298004
1,1,1-Trichloroethane	-4.737500677965044	0.6727092896775098	-13.016822588845846	16.834228769743202	-1.9835323589301321	-4.619683443149341	0.0634407461176974	-0.3891735663580034	-5.15913387147835	7.303710810744691
1,1,1-Trifluoro-2-propanol	-2.0120325903011427	-1.8887541575797029	3.4103177119014925	-6.529723238506652	-0.19086257592589076	0.46146563978824146	4.204195370231822	2.5216041263314986	1.5515899620115934	-0.932490840265253
1,1,2-trichloro-1,2,2-trifluoroethane	-5.498131688142526	0.16992687816977756	-15.718353029982195	21.433628605617667	-7.467760986483831	-2.0124592828189742	-7.846648466595791	-6.106674072703803	2.3005953818419265	-1.5955315000655685
1,1,2-Trichloroethane	-6.82968584908264	-2.7255427950150666	-12.316050437566082	15.585638797299566	-14.95929874639218	1.9671300439976882	-1.9896321708710236	0.033478528396719574	-0.0728090405271092	-1.3013157366306072
1,1,2-Trichlorotrifluoroethane	-6.123656319729434	-0.9793706366617524	-14.928137480632893	18.950488553439087	-9.107931702200418	-1.2306656321191782	-1.784454224198449	-1.0710233072720157	-2.4519822955690422	3.3260124705394176
1,1-Difluoroethane	-2.3449934880363674	-1.5620160587948861	3.5680469199773563	-5.214701962519103	-0.045000952819721524	-0.8492106627014303	1.9648365651018247	1.3220650182676257	0.6549546199445899	-0.5439188971375798
1,1-Dimethylhydrazine	-1.8105541282845021	-0.8951913582193133	4.149124141713074	-3.0823429143994705	1.4095010179588705	-3.764580697406502	-1.9800509039974503	-1.2646770655008317	-0.4711364369745565	0.3869644714713365
1,2-dichlorobenzene	-1.9817984481259634	-0.15499809790487062	0.5387881554437982	1.936509017040138	2.445283562003107	-5.842564686821932	-1.7106946150853757	-1.3316889319637868	-3.3973626156394294	4.395422833474744
1,2-dichloroethene	-1.593828099747092	-0.9144435324726049	4.547079048289022	-4.427190884940729	2.313612699356175	-3.5712173543500203	-0.22119379412678453	-0.27572248545748385	-0.36944107646656205	0.6226795028407682
1,2-ethanediamine	-2.5165851552585345	-0.9109572061708325	-0.5904755071862053	1.4893441626970472	0.5615783887347404	-3.426493991578919	0.6396936650765128	0.26612091999231846	-2.898566070102095	4.206884803207001
1,3-Butadiene	-1.0726691163155084	-0.698218172743843	4.871307333100707	-4.142731705831509	3.254158002509389	-4.5116025120764025	-1.0887468547643717	-1.0315040049477853	-0.41692479288866446	0.8978199294912991
