Molecule	PC1	PC2	PC3	PC4	PC5
1,1,1,2-Tetrachloroethane	2.9215173493821323	21.18038056481056	-8.952924298041747	14.261485202953638	-6.473579195023117
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.7781893813090006	-3.041489964230912	5.4564287726658165	-0.9603579482328576	1.6462710448181483
1,1,1-Trichloroethane	2.0653170663261164	7.569325087360886	-7.6996348760441595	11.574541650446303	8.057090886813633
1,1,1-Trifluoro-2-propanol	-2.772113147850541	-3.1491447188104527	5.379584311855582	-0.9673196990350739	1.66973440828484
1,1,2-trichloro-1,2,2-trifluoroethane	3.233357373461157	12.118535298881802	-14.378077271939164	-8.083927192177033	5.852633365296112
1,1,2-Trichloroethane	1.4995461226435072	27.42191228694529	-11.975661811363034	19.239926584402895	-9.481812061905504
1,1,2-Trichlorotrifluoroethane	2.450121295420538	17.49953838318263	-10.393790818310316	8.483655115583307	0.8490305735497148
1,1-Difluoroethane	-3.0596727695745742	-2.33227271956162	4.757810785516842	-1.041579302689476	0.4990334590172898
1,1-Dimethylhydrazine	-3.5946099025203733	-3.8925398979755577	1.193331681485174	-0.7175425523938902	-1.2007803437344295
1,2-dichlorobenzene	-2.589546662506141	-4.101575176058061	-0.7996330109601888	2.8441493144780585	0.9211204343635069
1,2-dichloroethene	-3.7215641014796907	-5.194772184298002	2.0218984310023584	-0.07125535969854964	0.4081966036646758
1,2-ethanediamine	-1.7411400622487134	-2.0129388741415752	0.4391597101935923	3.6648703236234703	1.5167690137901495
1,3-Butadiene	-3.8219896451610618	-6.9848230785610275	0.3160242125769274	0.07374545050157869	0.4116526320787781
1,4-dichlorobenzene	-2.781667046098345	-2.8070055005912935	-0.06224794718065105	-3.5490195347156943	-1.6550859389992423
1,4-dioxane	-3.7693599300902134	-3.6470558837270683	2.901892904598842	0.04369876687124378	-0.12365009229446056
1-2-3-hexanetriol	-1.1207346887422927	11.805105042858775	-7.127116970818963	1.5649505557763457	0.12605414501769466
