Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
1,1,1,2-Tetrachloroethane	-0.26000061066800656	6.264899195556446	8.982439551857338	-0.5003042541165703	-4.25229805184379	1.8311120293077126	4.625340963698981	-2.9715164645735985	-3.3294383945896473	0.9799952529356044	8.04177609389287	-1.8657196334475203	-3.4040076723183073	-2.0325520778197537	-5.74276225385254	3.8730087973424343	3.8097488726562347	3.458355540703792	2.753585743989672	0.30529782537050487	3.7012269371417537	0.525469959081015	2.040830519261137	4.291866949435775	-0.034231460864717435	3.2443341813457107	0.02822159211321944	4.417050702361184
1,1,1,3,3,3-Hexafluoro-2-propanol	-0.8395924751620887	15.151790946950678	10.077331356796767	7.643469070117473	13.698709079994368	-3.443740401641307	-10.813069514491458	2.1730482263807693	-1.5577091760107664	3.3798442374165267	-5.611860695663054	-6.4062979960362245	7.124178649775803	6.153106582126102	-4.4079788331008425	0.35061754130041656	-3.552189203964692	-2.7591791075286825	3.400745484507273	-2.1363771754008725	1.8283872861438146	-0.5783330861208237	0.6071703302726962	3.659369165371577	-0.33642227349123893	-1.2485299218599666	1.8376871266742278	1.6615075223420837
1,1,1-Trichloroethane	-1.6113838843517543	2.4414373536414575	10.567664300243967	-0.6263187586950233	-4.23764721747915	1.5818358725466033	-1.4978554176437804	-0.811980891247091	-1.7701591927380076	2.5727913753856924	5.700440312605281	1.3674200506213843	-3.0649382179578484	3.50512014779251	-1.962105916798096	0.436197939368233	8.927622540391877	2.7311400992686474	-2.6492552847833983	-6.445380697422211	-1.02261248434782	-2.7727649264577563	-3.3403554085867837	-1.6287773334673037	-3.094533217292513	3.3291698142651747	-1.2051754720332588	-0.5438849416132299
1,1,1-Trifluoro-2-propanol	-2.7977228720940595	13.94456051289895	11.390035071012282	0.3994872385801143	10.713253848524507	-2.0428442864045033	2.5583483374875047	2.7431967275278994	-1.8509378901151001	2.0029880316323982	0.7219371954552931	2.510224407142692	3.490288252902732	3.426038289533452	9.871259542764104	1.9003385154870653	2.113990514711324	-0.7169771536902987	-2.7811502715805205	1.0221841476648101	-2.9580681147637473	1.512509366188303	-3.3098456709082944	1.1706087404254715	3.350844327959214	0.04844816540522456	-0.27906752442382116	-1.820792565480002
1,1,2-trichloro-1,2,2-trifluoroethane	0.8875667857289506	9.37526329812683	6.526907556114683	1.6823414787023092	-2.1488422448221187	-6.361396896563118	9.18854394338978	-11.336148672415522	-1.4902253830687229	6.075156742821746	-2.5439673861869267	-3.478385448342152	0.34546322181948075	-0.3896832516598089	2.6836037040207326	-8.157922508125809	3.1489892021433996	-1.0706506723799367	-3.726950837833264	0.2202783370629553	-4.624528896042367	-5.2065958985321545	3.423017063196325	4.975933486428992	-10.86576482440648	-7.236698895468962	-2.3698709113451546	5.8510955853251
1,1,2-Trichloroethane	-1.4262007181693983	4.998878028050141	9.417948040117691	-1.1469633284212757	-5.624179528462795	-2.278779033173929	1.6266277935981475	-3.567232211234335	4.388843234589597	0.6698902166602652	10.999553398131143	0.4714524510934083	-4.355498722644536	-1.855803932036788	-1.0843427784425712	1.5140491666435532	1.1824176618814506	0.06065535390569246	5.167174161059366	1.106453277402123	0.971055851680256	4.3330831496188	-4.980450802606898	5.789439543722604	-0.8224370534843423	0.14757067837325646	0.6577764454790386	-0.9929755243608175
1,1,2-Trichlorotrifluoroethane	0.1055056538061325	8.817254213363935	6.493294944703992	0.8305414609984494	-3.3975190884730133	-5.314168602921588	0.39956994349999253	-7.046132837969619	2.8144928320663767	3.4300077044236983	1.4009329396439976	-3.093426075479237	-4.32968408696062	3.012876588912365	-8.35396194003901	2.4557366813792942	2.4543188638512543	-2.0774783326876554	-0.4247599315139052	2.41516450039068	-6.0011712154647	3.030038691091452	-6.4863600613795525	-2.982981356186607	2.9633711085108394	-1.397675347899208	0.1584365116626975	1.1703983582525
1,1-Difluoroethane	-4.530935723536956	3.987113726420654	13.424193043098997	1.626003085914705	3.3380065501774374	7.6223140621892576	1.9898535453908874	-3.577903566380567	-0.4918173851083996	3.50456259721649	-0.6975445009859274	5.042000364522451	-2.4123689586089467	1.465085713765417	3.0147187899509538	-2.829132388788796	-0.40631938020242564	-7.245101861888787	2.1925138618964874	0.5986335955784263	-1.4243609433647066	-2.231804212659388	0.16710707649143203	1.9100756445848086	0.7148621459844845	1.8084277041294372	3.0007787983586933	-2.6114091500661667
1,1-Dimethylhydrazine	-3.476212242654024	-2.3131507251607926	-1.3276295177162272	-2.8812314264930228	-6.817179017020091	-3.849616479122772	0.4535044687849328	-1.4526931245644201	-1.3249349004407884	-0.43049801605780164	-2.865824651392571	-2.249398948325944	-0.8457390929990023	0.8433059130841223	4.158900557854558	-0.808376807359999	0.09131236964425955	-3.7714021296627283	2.8507736092361813	-2.290121710997756	2.8079254494421977	-0.6684191429651221	1.5926883718380493	0.9538072860706777	2.688945924348904	-2.3056409000444744	0.203600736019495	-1.0563413845874372
1,2-dichlorobenzene	-1.3657637423328277	-8.013120349634587	-0.2799350650247113	-1.9179148235582038	2.872710488426191	1.4671482975014896	-1.8777874112720438	-0.7968412234790482	0.9654654126276644	-2.8254070745896627	4.505292450840843	0.06989105076531811	7.0476007677473556	2.5521502671948593	-3.701589317193077	3.292576676897728	0.44588942197756787	2.384095153550824	-3.5017298665456615	-2.125047750322012	1.9052237884994627	-1.7882537282700994	3.2820769733287474	-1.3562998819292984	1.3919691963825407	-2.751428690211271	-2.3525001886128387	1.306060147364622
1,2-dichloroethene	-3.720586797897431	-7.410103564594041	0.5935990890295614	-1.6055056553301879	1.7867531736714373	2.862127822688473	0.7029103845884771	-1.4264167008059978	-4.166281906030455	-4.272469887377663	-2.1065350670084944	1.7917017141292617	-0.11875340484228654	-3.4250343993028265	1.6228146898832483	-0.35293408165761253	-4.390366350693244	0.426546807056196	-0.33829707378261753	-4.589007887195866	-0.5746146873721342	1.45139578481757	-1.724847275915339	1.1124153402877226	0.9611703347008725	-3.4463718496213582	-2.5731783640463073	2.0593409148393147
1,2-ethanediamine	-4.675637055850481	-8.413122323738326	3.1491378272170634	-1.4528752404819565	-3.2351697423155894	0.7147051031765654	-1.6743888519421728	-1.9134379270923108	-0.844916682104623	-0.9780009049115266	-2.950398550301579	-2.056480495544938	-0.48827760692813604	0.2363727718964839	1.3267062700279648	1.4356600414771086	1.8168144475566577	1.7293134328951145	0.00689206463827503	1.6678898550202168	0.41193854690241	0.03212194007412707	1.1481675198353387	2.8819124031562384	-1.6040917481323154	0.6574910517997389	-1.1595999473947811	1.0245595847661597
1,3-Butadiene	-4.244517093121346	-8.390348463361505	2.0689665027867266	-0.4373835173889142	0.20000868420442758	0.5043877879596783	-3.164046819052817	-3.9072774414166767	-2.257834159087514	-1.3260851240531029	-6.152799290254018	-1.0685916084066058	-0.10160604142933746	-1.6956053206086694	1.3569855871625474	1.951836605944324	1.0498883053502777	2.6796315806910336	-3.501761156710368	5.912761889494877	2.0610570620554007	0.5006418996031512	-1.2088443753756883	3.4744667292076095	3.4508832994385923	-3.824602642588759	-0.05434395038000181	1.2982726066459354
