Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
1,1,1,2-Tetrachloroethane	13.156705612157626	-1.6317053985311105	-0.7152897610885153	5.47109216215752	24.020805213446213	8.503276889604185	-0.5561261296744079	-6.034048515582093	-1.414603881430491	2.6205060453812927	-3.6760940544071046	0.8163527614973818	-2.3971640337051343	1.5942411858490753	9.360880125644927	-6.814106766461986	0.8264088301410585	-0.5018119448450328	0.11002320558394696	-2.889800772922982	9.26003024314548	6.916984307761882	4.477607087387239	-0.4005995993605203	-5.318030326099436	-3.7159181524173532	0.9646461227800684	3.527926352006368	0.04529235163411553	-2.8084013153926177	-0.49076368425953343	1.3180447437705813	4.420756836341975	0.006828928305707965	0.6353399970700611	-3.210482879905875	7.3678337404835545	-1.48359867462597	1.5066284178720908	3.835012550082344	2.2006133600628277	2.8316978901332956	-2.589132096493183	-0.4334306271777889	1.4332645932769719	3.134667797292333	-4.969557740856184	5.238405313545349	4.244572176067306	-3.2013982378703774
1,1,1,3,3,3-Hexafluoro-2-propanol	20.14419340547816	0.08660917087918657	5.934246193077542	-11.163688890570015	-16.950553664816418	13.881948813227726	9.506972964984163	-0.20864013846456864	0.8391390949835051	-4.2456793718319386	-6.69020735782961	5.502086025703951	-0.4605005053778265	-5.350725203466584	-0.9438527373339023	-6.285147929581684	-6.676728011637421	-4.995301275965691	3.1209470632867924	-7.2491224644206635	4.930060146362124	-8.555991456998463	0.032175117329437244	-5.359029378539466	0.614738334137407	-6.362070716498405	4.025741618264198	-1.033983896934258	0.49754746716754145	-1.8942333092852235	-4.706513079851865	-0.23062405694796714	2.8221418269526426	-1.1561494202686227	-0.7962295360769538	0.6150411614186898	3.9661219882165737	-5.258408830603716	0.9059471243883249	1.7396771937311295	0.3470281478251691	-3.3886438234697303	2.748662128223517	-2.964789950940244	1.7331196505218067	-0.9249739232718013	1.0935972429847503	-2.6872790922476075	-1.0278681924287012	-1.784021113675064
1,1,1-Trichloroethane	7.021111713306855	-2.71962716290645	-1.2982713496302158	4.690674077707182	17.72735763713279	12.120042298807158	-2.0716910149411563	-8.386810299403994	-2.5973273916325446	4.724568472744153	-7.600479067232271	4.218853724004111	-8.895844443523064	-6.200474665809756	13.697877748874852	3.5612674846703833	5.877213786836697	4.006220397988933	-1.1198494733771311	3.611520935969483	2.436483820579688	1.3301818571931614	-5.113977554676641	-5.43454557531966	-4.100218444638584	-4.672629012940613	10.854998723507189	5.539386295378546	2.970027191918348	0.326808778024991	8.626918279114978	-2.9275650221781757	-1.8138265209481697	-0.7554200285570554	-1.747565911233108	-0.30673472287875275	-4.647148332758483	-2.465465066033007	1.1052343663382538	-1.6144823517536688	-2.631882520066281	-7.045553500152059	-1.3681236047144272	-0.12241571122746224	-0.9354351761700322	-3.7268337643467078	6.177151115830176	-6.088190018141285	-0.09063703248473581	0.9534066677251064
1,1,1-Trifluoro-2-propanol	17.238845474288787	-2.0169213663079963	1.9046696865063333	-8.292640934102067	-10.55788787572682	13.195008838580325	2.063225231891526	-2.5923130112136823	2.4653197924449395	1.0875157720801505	-3.8403140609651945	7.469432330173199	-0.19697451224121587	1.9909586246912345	-1.9673588658570704	0.8881073538952895	-4.907140607279696	-2.4179574094017138	1.649819931865444	2.65547271214742	-5.470659423335723	5.918125695261901	-1.1336467606993696	4.341047518873874	-0.5612788314430572	0.9121402921528696	-0.3286289014768103	3.440251380898916	0.6730867764509066	-1.958316939832294	-1.5479240987093823	5.110610516979569	0.31592176233311403	0.49958532498937896	-3.1603909583692835	-3.3515842054870926	-5.075782506777193	0.042274222608872446	-3.2481660207049554	0.4977365408284665	2.0160076964801616	-7.901111040820578	-0.4653259145652057	1.549796820973838	-4.9849528667862675	3.375264506804139	0.09157406336425122	5.677687429163574	2.285493391973819	2.878150823693467
1,1,2-trichloro-1,2,2-trifluoroethane	19.563060216422173	1.4454920642065592	-0.5860172134974428	0.11733489701082254	24.891659636428866	5.474547386348059	21.669112891489124	-6.475270529120764	1.428994839438931	-4.932424005359201	-7.167151375016915	-3.0803872049184715	21.726726312594085	4.79667941299262	2.6683857040999834	-2.1184121742701554	-5.049865261596825	-3.2500853200943296	4.072002231561656	9.914479356635349	-1.1674342178224837	-1.830464672050045	2.5628839975655846	2.811736247140607	10.488949293173219	-8.022853439154758	-0.7938136629486336	-0.49095056595577374	-4.379095056367509	0.4921958142871323	-4.143425032087976	-3.5903313064025277	-0.08053112107491978	-2.6322171371742726	0.4046259563963549	3.371794396309938	-4.7276447147064555	3.8770134815040427	0.17249608344937942	-1.2675437175824464	0.21909424074162667	1.8327942546888627	0.7260823952730882	0.343119238286119	-0.19570824422648556	-2.2268834392863206	-0.7483533740264035	-1.4109677241145995	-1.7989472459941769	2.103669452943977
1,1,2-Trichloroethane	11.773621635048288	-4.359020580351353	-2.103117864543907	1.0448700382659142	11.74239850687428	5.646652237952207	-8.441955520137274	7.536906354820021	3.8189834056062764	-2.757783274626074	20.654162377667454	-3.5602530778449295	-4.477879668456926	-2.2303779141276134	-6.6245833685652205	-8.481622412517956	7.5737223617877865	-5.646575969405268	-0.45987234095613416	-5.230624018579537	-0.44039621873000573	2.2470776334747637	6.951416733417714	7.377806437008473	-9.237287301499086	-3.639301102420846	0.8081569327808781	4.757706541774233	0.0853103329885992	-6.105021155680355	-7.7351283506050565	-4.71714134013904	3.074754828374868	-2.4252753126592137	1.5144845998789338	2.8754815748755482	-0.5852810932894799	-1.2569216651235542	0.0515457249731251	-7.009789804859823	0.46679916905863733	-5.432930564937337	0.13225702601087294	0.40256163576047305	-1.5159673164407483	-2.60829253125664	-3.7031331052244556	0.4275733717790454	-2.955903280805329	2.193150459681167
1,1,2-Trichlorotrifluoroethane	17.256003183497086	1.0881700346643337	2.4730628265899957	-2.205841545313348	14.328448099502479	4.914193882301795	0.6642023328421934	12.676047233853982	13.392783408720213	-12.011895765333803	11.739204545191502	-17.1847716805402	-8.66300168333995	-12.670835647917515	-9.658090032368479	1.2205025628551132	-1.7574700300438688	-1.215410258310306	-0.6706154720089885	-3.020622710880683	-1.7433636784342468	-0.2682077097604684	-8.281168149239964	3.1412559047061896	4.424060310002197	-0.1538925118563984	0.3598152693356812	-1.9026029599496646	-5.02719869557781	0.6312147733137854	7.73759853629081	-1.0593652468500747	-2.692302981068945	-1.369754104020135	-8.59577665767027	-0.13960566773533892	-1.1455525874105232	-0.6624014935203968	-0.4154102732294281	6.724471894038189	-2.249108810451765	-0.052449716663503496	-2.107555225789785	0.628980833245739	2.3057020850803975	1.0071342704815829	4.335288464466895	2.340487783816311	1.7138097401608463	1.2146401780493477
1,1-Difluoroethane	3.233062971759534	-6.0799803638861	-3.0903132413462586	1.8807588308514596	-3.4354093683764964	11.629832095931974	-2.2648373130070976	-6.189325996824412	-3.727081562952722	1.737257581071843	3.01671582901905	-4.794609874525775	-2.5880661326053636	3.1867603284846973	0.4235668115409593	-4.0626251858095825	2.0232709712577197	-7.227251837096164	2.0483046085501235	-1.8487671991734511	-8.96713561582958	1.3372414105184502	-0.6017760725561013	-1.2569023506546313	2.782578767320186	0.7336039361807639	-4.763528630038134	-3.4551667604647145	3.956173771747209	0.3606397853141986	-0.856883802448434	1.7732278652005742	2.4801373316302007	-0.3248935657613706	1.701182822766375	2.508966328247785	-3.519057535880218	-0.5587390199059877	1.9858279498235594	2.0350753380158717	-0.7657424743197334	-4.106576835849963	2.4059277803783035	0.16905862611004943	1.6929777619572675	-0.5213478007483998	-1.71425399357833	-1.9688503695498294	5.273673240281453	3.291675477418776
1,1-Dimethylhydrazine	3.5375057317937255	-2.909836372721152	-3.965493488086939	-0.8065064404275444	2.7151047271486197	-6.811438350054855	7.17072060474094	1.6001439003992555	-1.3175897557858576	3.5012923574876282	2.7085830544839133	3.602344975770616	2.2567145758935454	-1.681402367320179	-2.519915748367818	1.038127044414382	0.9109472720305589	-1.8588203443241789	0.5103880784463332	0.17515766914095304	1.538892943398836	0.9763138924194243	2.2779475164924925	0.2902461971984864	-1.4607811550568734	-2.11306305932029	-4.5456250008164725	-1.6902064709102544	-3.53169554267995	-1.8886279851857408	-0.5224103926208469	6.76504470840803	-1.8798558110588137	1.421727149145084	-1.3946478141339578	0.5217345392878263	-1.3001004525641255	-1.8870653368375685	-1.4251565221777196	-0.708939953655961	-4.178428001115847	1.7072815607492917	2.6337759798876696	0.741336910728365	2.094437758174648	-2.429096208808215	-1.1507797816649856	-0.9989854978594397	1.360959835542211	-2.181901585962526
1,2-dichlorobenzene	-7.133388404233311	6.776452202409774	1.45480897829489	1.2225810378529554	0.3332136234244498	3.119369020833524	-5.497128180583651	-6.221669264477621	0.04933084467328098	-3.486702785877886	-4.648808573798519	2.4049367365828433	2.5195916379994325	-3.0065517400264468	-0.161039081304797	2.793446829073517	1.7583793760023474	2.1364754401376107	-2.6006763219896216	-1.0245137685741512	10.532858150124046	0.6204254028995572	-5.647622739449804	-4.293283812369315	-1.9052835292842407	0.1452233560280631	-0.2227377415075844	-0.6257467496891304	-6.9827986261007755	-4.6693363567232264	-3.989031921773497	-0.29694189250508224	-1.9109045760183918	0.9351595282226832	-0.5785622104451139	1.136802393297758	-0.4091924819548941	1.6253829483666928	-3.261835011671208	-0.5333782594414883	-3.7931152192572055	-0.02432995871607362	-0.5886565975682446	-4.300209143981507	2.024667959091354	-0.5650099774160859	-2.6392899950517075	2.411272784259585	0.4504822476795372	2.7873641470852917
