Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
1,1,1,2-Tetrachloroethane	-3.0609083618545267	0.9654973367950581	3.857422574173771	8.906340816531976	19.039194572526856	3.444634588519663	-6.119239537508078	-5.0264327666397435	-3.733404871297712	-3.2537975162501427	2.4457298074982194	-2.438176320949358	-6.412062175860692	-6.068648413447924	3.2866374042831716	-6.386755971372374	-3.973390747345022	-1.9375723472793507	-2.2145496747935414	0.7352819226886148	2.8863522893164473	-2.631069806595643	-1.4308154181483062	-3.7380348192860517	-3.212128270009113	-1.9824117986416818	4.98070736677291	0.8719248958939863	-0.8560653277141714	10.411566937242272	2.575534769335942	0.10026104430183394	-3.8426890801205973
1,1,1,3,3,3-Hexafluoro-2-propanol	-7.994669734753244	2.7101757009296725	6.064396325022315	2.9528722406204633	-16.956915300417958	6.846762894233474	20.148701951164227	-11.177219037110742	6.929061086392793	-2.1436833528771304	-1.1784764335742717	-9.517323194317015	0.874475061701032	-10.803356685435192	-1.4897190471777721	2.2103197945068294	-2.3639560301505584	-1.4383314265475602	-1.282144950260312	-0.8973112961897911	-1.4006840465933823	-1.7308165374392925	-3.780847577763042	-6.582671375982108	-2.2318234179535943	0.7028629112634868	1.8001013591431685	-2.1900308987431196	1.629651786842575	-1.8315143992367602	-0.8193356799104455	-1.9756687596507925	1.7920437579627564
1,1,1-Trichloroethane	-2.244854249735238	0.21557518981609855	5.01941797493366	2.475749550715106	15.021807541251327	3.6729247680902892	-5.275959324947064	-7.742283899593975	-4.42859774009492	0.572313763491612	0.6945490246692387	-4.79800434256654	-8.329401523053377	1.7460732750227688	-0.8830662047959358	2.7579286910942415	-1.557805550843049	1.8246546466949436	0.9763843715230944	6.175197504784493	5.024885930336526	10.831856679876012	-7.66468776239314	1.4017405149198912	4.5801591029211295	1.9174437128046828	3.2986099455161773	-1.2914248442940996	3.370279075087725	-5.285643814101005	3.968029464799415	-0.32539640245740487	0.5073051989921695
1,1,1-Trifluoro-2-propanol	-4.948107341805492	0.9056662477581032	4.664772583414183	1.3905321317894537	-5.809935174994801	-4.016026178805688	8.837169691983808	-0.8621018536616613	-1.5465989097898074	1.0290173281853228	1.2624329709646334	-5.724888517368617	1.163920065046553	1.9815041644592772	-1.2315400581085163	2.0849372798689174	0.23647676225126343	0.8213768156286534	1.792554820274229	0.6072788294663138	2.989632978105379	5.8223625747902386	6.386965858993275	-4.89613531509909	5.156176947925421	1.0384224465855338	0.685305702132958	5.356702449803315	2.1905201874697955	-2.918775802426599	3.371038642516737	-2.081253174215284	-7.613354065084008
1,1,2-trichloro-1,2,2-trifluoroethane	-5.299157201837447	2.339669200162582	6.705789542414784	5.624914245498024	11.028534643445274	9.43091058807191	-2.295732404129514	-6.109337276847233	6.124092702714724	-1.7775457858322694	8.97214628398793	0.1695130628377135	-2.3766587306223954	2.415789583856268	-0.1618515559013754	1.2568994019765667	1.0073561468751928	3.1140898196022198	-2.547216395013601	7.10950532658124	-11.489416173969218	2.7776544504431944	0.9090349841337498	0.6495652266141656	-0.03902508249941568	6.716709076647819	1.4971186584382952	-1.2906822981983177	4.7153916044537105	0.6386936531566041	5.4539077138536785	-5.732410388816294	1.8790759358138864
1,1,2-Trichloroethane	-2.351868941690574	-3.407207945914024	1.1580014384908828	7.5604762161283166	13.008864103864974	1.856198204012297	-4.8289798102158406	-3.3601189973436765	-1.9400935381433841	-6.353554891149613	9.67265582844715	-1.324172583288217	-1.0699408757228022	2.6163680769591697	0.3503473212286881	1.2906640446047932	1.9620438423349214	-2.418425962269502	-0.6276964672668047	-4.094950568373262	7.394747036583122	-5.713102432879427	4.845190428606938	1.5854525500643684	-0.9224013823335192	-4.733143773467107	0.15718771508766655	-1.1076078157959286	-5.17914655170445	3.5243077397644678	3.365921961289453	8.069827846515915	2.320900501256752
1,1,2-Trichlorotrifluoroethane	-5.1286109247949865	0.4964087480861074	5.526870926448056	8.098085842908713	11.006231461508895	5.691959932562494	1.468501546378966	-8.470597841266963	4.8103820159553425	0.6522092591420662	6.6322940012924025	-3.425553172010256	-4.3533609248224225	0.22519138011269496	-0.7391676739881939	0.9510528286213197	-7.601748522026844	4.749925971801318	3.3206471641104485	1.464095671833049	-0.11514591959596897	-0.2981805235148266	-8.2442760849491	3.3554668290095537	1.0400767234604038	4.9864161084014595	4.577198571339947	-4.380271342000393	1.4666382681057777	-0.26578454668005635	2.093659819725509	4.608754403501776	1.092228447956547
1,1-Difluoroethane	-0.9007057058962623	-0.38222545444718853	-4.719212418158535	7.088223232627238	-1.4383607144821444	4.857730719715915	-1.157268818778206	3.1370998199094666	-1.901437589625625	-1.7750534031255063	-7.044587965220992	1.1657526076841176	5.543783150515386	-2.101213479790496	2.870591590175096	-6.997520267344422	2.9733673529997877	-4.391243874326349	-3.0039921913451817	-0.031647071761680225	1.724127410961132	4.401625633180284	3.869921465108591	-2.299103647838327	3.7609511995131566	0.6991956741508644	-4.415499869695082	1.5186979695030522	6.244285588961335	-1.123166621898483	-2.734637831477952	2.563327389460196	-3.951389151790647
1,1-Dimethylhydrazine	1.893296181336422	-5.0998175776178325	-4.937233853102723	-2.4498810000449014	0.4035341637887065	0.6207305282967898	-3.387601553953906	-1.4577851854624175	-3.7118123932070612	1.4551225058267774	1.9151648347742667	-0.7376869950853981	2.447693341053632	-0.4050643758169842	2.3162681573205814	-3.2483428678314064	3.1567742478620815	1.3917405249762864	0.77638031987569	1.111682649514168	-2.084739396281054	-0.22340620861889052	3.196993464560112	-0.3859009815182665	0.5057657636696571	-2.4093491913718137	-3.5745867810000926	0.05709860314124226	-0.01503885498499375	2.2946513855436415	-1.6900260807849607	-1.3828763691356225	-3.9851067498442916
1,2-dichlorobenzene	-2.779009712535709	5.503197404222725	5.230254276468005	-2.53212812043477	7.276901052547138	-6.581854136756566	-1.3263021911508237	-3.787051094578842	3.8214441838860247	-5.601091956484542	-7.919218151490396	0.9490572392178471	5.589426066164215	-6.788471730239183	-1.4960691498093637	1.7694399446785365	-3.045324617184881	1.7850017331753816	4.001673378287786	-2.3777897204433214	-2.49481762800508	0.22364767252003181	-3.4219991953716966	-4.496955273675505	-0.18196553981134367	0.9837933367544224	-4.94656876706732	-5.511750403869743	-7.889808759659922	-3.301028578002955	1.6019795395258976	0.5741823578265418	-0.41653047210497995
