Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
1,1,1,2-Tetrachloroethane	-2.6441266263439656	-1.917309117421419	-6.984316321196895	9.300187564259238	-7.292460601668536	8.48438454354652	-6.695269896567293	10.618326970143757	2.9225968011706405	-0.8060563817797912	6.151531588789914	-5.149305689345378	-3.616208150587713	1.728517486152756	-6.519520486332642	-4.238623861098785	3.6792799833207357	4.073516965769254	-0.0794956591033532	-3.1494617672184058	-1.991471017284711	4.977776256739134	-2.8830436256928964	5.347782135207778	3.1468210724522483	1.0629426570714349	-6.105438410722309	4.028425528699505	-3.12297011309112	0.7234600601529259	-7.484179966231321	1.4388784482715495
1,1,1,3,3,3-Hexafluoro-2-propanol	-6.125008837712035	3.615723725228134	3.0816464520828184	-7.9430380218796035	16.820445304182932	8.136983633771502	-1.7585941064297013	-1.218744642915932	-22.973819408242168	1.102598279303124	3.293653903196805	5.552661362347613	-5.1419685436097256	0.7924670075300356	-4.084492939139698	-1.6345899296654345	6.802589098704386	-0.5458756625547772	-0.1533108595811754	0.6900012333317217	-4.928064543840381	1.2027710823810225	-0.15908861464886778	-7.3470301385692895	5.705431775052663	2.143687304649032	2.774031744318568	-0.9165076748868645	-0.6485987463901696	1.8186815785087713	2.784483092769269	-2.6503134066691385
1,1,1-Trichloroethane	-1.6939844445777472	-2.754581455366051	-2.3012829960360293	9.106597499916672	-8.266619584616956	4.067455915846315	-4.939299823808604	13.039297350110783	-3.4094934859439934	0.2671658851102909	7.467468906479486	-4.6968233390878025	-2.226452652061011	1.3745188468156886	7.958724180753988	3.241940278082475	-1.5440163276116012	-3.7367165890980045	2.4683188721863787	2.4632468252938233	1.0449679487123864	-4.385553199831531	7.799994081668847	1.5750230117599162	0.31461824168722075	2.7086770968438514	0.33725351988114943	0.9636631861259621	-0.5811723754311291	-8.31263186627723	-1.8668840686737636	2.0827003153922843
1,1,1-Trifluoro-2-propanol	-3.729827395266149	-0.001622930906774666	1.106128993171725	-2.285208172795873	10.671153235159185	-0.440212088713874	2.2741554480238686	3.1433893020433996	-5.52066640386922	-0.7464181437052194	3.678384438495049	4.74395219366043	2.732859376392548	4.361116898033393	4.538289122991724	-2.715745219012612	-0.8795770526878084	-7.054945566435833	-2.659543184000081	4.7436792937238925	-0.2597891699773078	-0.3060205000180331	-0.4609283708795384	6.023436463043225	-5.381707037178173	-1.6958657843339386	3.6663661646076933	-2.3226097232195957	0.3912503179685268	3.7300810003156215	-2.4910019177557228	1.4366086292768938
1,1,2-trichloro-1,2,2-trifluoroethane	-4.057231245105924	-0.5163212154634784	0.7407844174772943	6.154148447191936	-1.276153387256087	10.319048335639021	-2.9371481067761986	9.496554040687746	0.6138977913741143	-0.4548630260452567	-8.07145152176134	-1.45979284239301	-3.6315172256261667	-4.183344963130571	0.3040527060796771	-0.596889979809341	-1.6234149154809296	-0.556022550125765	2.695176185883086	-0.503423719718968	3.6046021114999864	-7.331650538331949	8.302356033687097	-3.389670681747563	3.4048925354621584	-0.6258216193648114	2.231942564825967	-1.7945080437201237	1.1961141272388478	4.723299912076244	-1.982935662863829	-4.558720782580576
1,1,2-Trichloroethane	-2.474151989416187	-4.076065936370073	-5.581686858884927	4.334435783618159	-3.6009113582705115	5.287100622980776	0.6237250033148384	13.557163189977803	7.553180012376711	-4.974558860371108	2.2295459390070147	2.7513680599946424	-1.525503540913682	5.295143430240726	-2.648958981206535	-7.616038931106246	-6.181423651464356	6.427528088334919	-6.951516433046471	-4.235005092030239	-0.6859136326583363	4.449313874430845	-0.6553492889292849	-0.7511441930857341	0.5306513780204536	-0.8287633928474476	-4.441500953012118	2.9852211360242586	-6.7117941966092225	0.8844232360885502	0.3285901129822939	2.0614784382811306
1,1,2-Trichlorotrifluoroethane	-4.192136359828334	-1.6012312375759117	-3.223971407581978	7.368139546674263	0.8748433291577765	8.817285942325672	-4.976411607810735	11.250098529118752	-3.748843292148464	1.4570479524358664	-0.5544875188318634	-3.6025618518018105	-2.619148622326096	-0.849814238709424	-1.9817092189286565	0.8656690601574415	-4.3522293449331	6.938778675572144	1.6400285445463456	4.651697342128914	-3.8300326421477777	-2.709178595649201	6.537556597959716	-2.578507306292383	1.4147724510315944	2.957431809621321	-4.0714806111934525	3.4102458193263216	0.814493302268051	-0.7402616053675818	2.100867740159607	0.4653094777865948
1,1-Difluoroethane	-1.1560467576511713	0.9744567481258148	-5.856526703963594	-5.29606584501882	-2.704423832859017	1.3406578189074925	-4.31153664308791	-5.205075282494635	2.7343143910068424	-1.506367862988913	1.0300619633153296	1.279448102325777	5.161849576583675	0.06311741528580786	-4.8759712645585935	-2.394508229586416	5.7565448910162464	-9.510214453034571	1.7006242697139091	0.8047990349697488	2.4506192286171324	-1.4601085279021417	-2.014314003429957	4.035465197980736	-0.7207380905190406	-5.636520284014535	-1.2044795432068258	-0.07969154355987311	-0.11856922671604035	-0.9834864190471452	3.6866057136241794	0.3963833845109259
1,1-Dimethylhydrazine	0.5321275875336432	-3.1666703214409866	-1.4603739053326918	-0.5493578312360667	-6.65694802760713	-3.2202052455309245	2.7688238275572883	-2.9034523614467878	-2.1157141481355213	1.4689091781411385	-4.157686715009528	0.9921830721225116	0.6287884233542246	-0.3195396886981632	-1.3560750789564926	-3.881051565483175	-1.6144806724252871	-2.5823776809409886	-2.1181369442373734	-0.6971990610230433	1.7012463946685414	0.277099825499182	-0.47207833157887263	1.0847803372322427	-0.22322825329565643	-2.09961164459977	-1.7716986977235738	-0.09672648815283165	1.0912772942338163	0.3500825314212814	-2.2615972777183653	-1.0998473028954234
1,2-dichlorobenzene	-1.9815073894116786	2.398514422356981	1.912742621182349	9.226957491220233	0.9257530049112429	-4.476566711535824	-6.1889758133834585	-0.6231247136864321	2.085012742697132	-4.673431736707747	4.096159722987568	5.513171244284462	-5.873990211785853	-2.176783310306737	-3.0345706065621183	5.872888239934382	1.641622873792211	-1.431750026618438	-1.9331370937363492	1.514399204659039	-8.519602053172791	5.551911093445892	4.045996375135347	-9.897829078605636	-3.281281396116011	0.6123605491489159	1.006541907300433	-1.3091010622678116	-2.2808442231291113	-0.7587989069671559	-0.8028676749997812	3.0107866176232196
