Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
1,1,1,2-Tetrachloroethane	-2.604857356112412	-5.661534699161598	2.8242455396462107	13.784060959684155	-5.418716086579196	-4.428356987027655	0.9146272851405896	-1.407413825245526	-7.967118528034354	10.866323549868067	0.9531539779031905	3.4507062028347506	1.0963386857150377	-5.7670512244403005	3.315442804807611	-1.4646061670740818	-1.1514832547214884	-4.573367664864588	-8.05464949823727	-0.08053039105839532	-7.113723615431539	7.462865023930393	3.284980396951728	-9.050794857095052	-1.600313901032223	2.446925944504372	-0.4441668179940842	-4.848330933679223	0.7775815072885616	5.743220095791221	-2.8207835082526187	-2.7304528292312913	4.041657899062859	0.22356332571817264	0.34030057075055087	0.6892853799137214	-0.3822016175460432	-1.5654495453725796
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.1609057255881594	11.619811131566161	-8.438396668884991	-9.662394481707327	-10.286011994515754	15.048905748638209	-7.4877876611753305	5.353793085866766	-2.2856799586635415	-6.266290933987273	3.7468078577338524	-11.365136697220597	-6.36041545988965	-9.616574685565675	-5.188220299147622	-4.334618150773975	-0.05888188595630634	-2.4867410976669833	1.7322365373499515	0.9094140678666073	-4.099804590034247	2.7124376439526436	-0.14205336077825853	1.5200662743314761	-5.5255510280447595	-1.300183485778814	-7.490655525128589	-1.173926986815274	-0.18970091031091196	3.174135630804283	-0.2195237102486375	-1.1308614843616285	1.2669729283334914	-0.8974464230356008	2.5763500309780145	3.640815607857716	1.0606593288289847	-2.7719391905107114
1,1,1-Trichloroethane	-1.6384722719567941	-7.7101145258435295	4.536578322404705	11.773011387143924	-8.466772223406934	0.8497000140965498	-2.0799439656748824	-7.304538898127361	-5.684306624490261	6.621856271289228	4.750159481419753	-2.0190780578219396	5.471645649168153	0.757656926469787	-1.2281147844288227	-3.2580609093981963	-8.040004924865743	-1.300963308630059	2.975882861313651	0.892692504717891	-3.416259851252384	-0.4663839673487242	2.1576440316137733	-1.5603592134324067	6.190913709437054	-1.7734893652443307	1.3754768231527936	2.878347912819603	-1.1440259236624528	-7.170150638884813	10.251552637804972	-1.6413426970040466	4.084292427786197	1.517261081630839	1.9673643352826877	-5.9562838381595595	-1.7513452012144528	-6.6273084614062885
1,1,1-Trifluoro-2-propanol	-2.3504768463039705	4.327800001695878	-4.308643600679193	-7.46745158797483	-4.897250618257353	10.69354826414474	-6.085786148977579	9.009551667209797	2.6504025573887566	0.21353202993363704	2.8876357213975576	-1.515627047030873	-0.9407416951006542	-1.9773212206175521	0.2275548819801799	0.3789960630591948	-6.841892876030437	-0.9681667453484871	-6.074614231345364	-1.8398591864220746	5.652799388054291	1.8215739733487122	3.732030363701494	-3.420804530633965	4.904781348087594	-0.3896425476913934	-1.7501786371740073	0.7810280388320059	2.020410190637405	-1.3556558398334584	-1.4091713826964183	3.5232445476123453	-3.5957246454376532	-1.563334520847895	-1.3907346484098764	-10.91687514615962	-3.7041267752572353	5.643188820866253
1,1,2-trichloro-1,2,2-trifluoroethane	-3.1642358263452643	-0.923548208371081	-2.410365230562682	12.387146996347559	-2.128870691464767	3.43081316281225	3.9299090466883295	11.050942294220306	-6.196092549544129	5.802289619294132	1.8398718214245626	-1.342032147280038	0.2951565886284304	2.5660580745977866	6.847731287452677	-3.017476609977304	-1.6342608140658428	-2.218981921393439	0.008001656029182111	-2.6836830802693274	-5.268781287907572	-7.402526488089113	3.3463692634453626	-2.877057134734261	-2.272124996102179	-7.151993515675323	-0.7623258949070704	0.23868161563398135	-3.461779663155369	0.6788253154917208	-1.2661939078727749	4.914789485888783	-3.43803633887901	1.0384046292426785	-4.064696461465557	3.1369553789541533	-2.748935739706192	0.046648044759209625
1,1,2-Trichloroethane	-1.9533530724358832	-6.9284519239052225	2.1862366203661208	7.700866874381796	0.02882458209600586	1.5027756185760612	-0.26516508218143	-7.490313199645723	0.5810226038880183	10.26253297689328	2.072349097958479	1.1981510610487622	-3.2975219117674155	-4.349187482570078	4.6120663331876735	-5.312451585692596	5.041902175964001	0.0023086208537076883	2.976214565945049	2.6207156960294116	9.602270933035667	-3.249669214763144	-2.603793080360135	-4.250761910928796	-2.5244909739133137	8.536807110546686	-0.5848270225884993	-0.0017109748399646073	-6.2232170225082575	4.5562923571116	4.401986872872438	-0.15915586549073438	-0.7977164316103017	4.053922338203995	3.209518912668492	-0.43505649565497656	0.33639484589227125	4.711530809050679
1,1,2-Trichlorotrifluoroethane	-1.840295227842131	-0.5063745397871524	0.48669765129540465	9.807702465898155	-7.159804839272883	2.874868738516315	3.7705356235527527	-0.9882335069431402	-9.862347199412635	10.58720840133272	-1.0185948289242073	-9.697115932882422	-4.022358663727899	3.1192635536491564	4.124103978623542	-2.5403323886717177	-1.4442354205095207	0.1408545034288594	-2.319516910681658	-0.1674707519600784	-0.36983542322333257	-11.6051356653408	1.8740522685627172	2.1626757037319706	-2.8453535505284657	1.6714647152691433	-3.7067779425629817	-4.252847718731805	-1.0487003288523913	-2.8392708478216457	-0.7620377439890503	-0.792807808460979	-7.235932161572725	-0.3476364407692151	5.772247986743363	3.5331743509853033	-5.662494576795171	-2.0384529114583736
1,1-Difluoroethane	-2.792845284894016	-5.200573639979939	6.048158939625006	1.1704757333134372	1.5522462657647635	-0.7758582440907817	3.0909331553301427	-1.0107738558711334	7.574872546246693	-2.48440949098726	-0.43431197748241385	1.2974318365737947	-7.02450838816236	-3.518199685098728	-2.1852258670692204	5.917044769852146	-3.239614631052274	-3.1879629101121045	-0.11220168146355111	-4.643326336136104	3.194112486186874	-0.07471442186764679	4.615395394792317	-3.2557782788079566	-2.88392125766283	1.986156033390701	-0.9667620951443603	-1.574113979635623	-2.24633292537285	-0.21857323508358045	1.4550539783743064	-0.18219362860523342	1.4923847948421045	-1.3660325972106204	1.7983947352937113	1.6517806438825298	-0.18958327990056362	1.619237255534504
1,1-Dimethylhydrazine	-0.9700494859869463	-3.199891860004379	-2.2595022081194203	-0.11253704093442664	4.333824451910694	-0.22359145748946535	-0.16879072100626935	3.2196175969339222	0.22528637259256504	-0.5658306608972736	2.399990389617498	-1.3451836332118592	-0.3029023000524187	0.6324895153825437	-2.5950078276442894	-1.5683446663458305	0.7658100031644919	0.828820215231245	-1.6525456099642624	-4.399446004910898	3.4255688938788715	-2.9474307049456763	-1.9441321720245701	2.5977960407461986	-1.0667992858521618	-6.5101479058301726	-2.743043382170099	4.029790974470773	1.2064629473784942	6.201914041943991	-1.195297494611978	-2.170025326654547	4.328543620659063	-0.6193249074430472	0.04128849500432194	1.0589394457493393	0.14632595453224745	-0.3668498089456456
1,2-dichlorobenzene	-1.4261163865096995	1.9360612297591877	-0.22811810523273574	-5.098698125159633	-4.742040956855063	-6.316204111039319	-2.6257590334281584	6.269644838826997	0.024568247046410016	5.186650965520757	2.476903456323824	0.16426827237238717	5.044565216957098	-3.989803193000193	-3.3861802276931954	-2.0936469245013263	0.37973079315137076	0.6450401489700857	2.521040811044782	5.461910372671263	-2.1687849756853828	-1.1692770494597273	3.8806993197874697	4.35149889863994	0.2906074932140842	0.8994542267787806	7.7178676435115605	3.3932453002310834	1.0214331925972664	2.0341196849731795	1.834919469216292	-6.104502517719809	-5.070730240306149	-4.339352227251463	-4.2265266195176	2.911559437317203	3.272946158855556	-0.2810427344324193
