Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
1,1,1,2-Tetrachloroethane	17.08537786804759	3.23281357307521	0.33061549361113196	4.9900819755564205	22.680047513076303	8.622896132834583	-2.707179515123146	9.353408758793197	-4.8675155662141965	2.873754142250813	-0.9622777426032529	0.5099682161309211	-6.524362553739225	1.8239952501838588	8.608794405710704	-3.607854070165609	-1.491425415276222	-6.064538446748714	-6.379639583429057	4.2673350871202205	-5.704952945002487	4.727396269297569	-4.184986514484175	2.892172836074863	6.755798056340325	3.2151896708472094	-3.4284756620014716	-6.118430490823138	1.2961589291200897	-7.422858776823441	1.3178204776335296	2.915861484040956	-0.4948706748570205	0.7768707801348393	-2.5419963646155	-1.4098399779709925	3.9164521621003736	5.773477277340543	-3.290689451848572
1,1,1,3,3,3-Hexafluoro-2-propanol	23.570414224861384	4.042959891389849	5.457743281916132	-9.975927188624954	-17.881736389676558	15.086712060496142	10.727799239637148	-1.6272008713241806	2.0237748991417663	3.673518392280926	-3.9615063093655007	-1.4034298734126218	2.698481712494793	6.9644350324809645	-1.4856465944154966	-2.0272358518485594	7.142824897289483	-5.479933720412953	-3.673296078631822	-3.554185250894723	-6.798287585030686	-2.5434115862460325	7.362134922163038	-0.7233062578586439	3.629386812017434	8.884684183407636	4.974448736203619	-5.84096692161487	2.4855786059886187	-2.62648152964764	3.858672993938496	-3.6652057329120953	-5.372376380777432	-2.893908779446616	-3.3178848031039725	-6.072614818759503	4.198822219918285	-0.9627568675866488	0.882014024163031
1,1,1-Trichloroethane	9.903825547882333	3.597519008796319	-1.5477449458103434	5.000024563658179	15.598833456556886	13.84205257374113	-3.2490256166181473	8.823121237515082	-6.552316532557053	-2.933697789169321	0.0011972076705725708	-4.066944828410766	-13.01577678367592	8.882884969800399	2.4299874429518615	-0.8367990865837457	-8.221942550179273	7.272667221586722	-2.0348874078946966	5.737522574458996	-1.0085616886604596	-1.9045148816821573	-7.840352705388278	4.6912660263250565	1.4646914357635434	7.171726487615353	4.58598826025256	-10.798987466548596	4.2096985150464175	4.458875128847608	1.407487830291015	1.7131542919295049	2.741075073470788	-3.6472803732622197	-2.9448180742086407	2.77779925426307	-6.373392373364937	-3.492997563266604	6.7575743265790935
1,1,1-Trifluoro-2-propanol	21.36966394120314	5.681724478084104	1.600968500105069	-8.12891715026076	-12.087871423876573	15.050787704653965	1.4578810744797621	2.8713412828124882	2.2741917914570537	-2.6311737367449277	-4.102925631803368	-0.19904032356534554	2.7899980648885583	6.304766336574167	-0.8107979436969487	-4.86175398898825	1.5018497439421514	1.3762743585753123	-0.5684650204583234	-5.224977190578743	4.859375018970875	5.379878397456324	-1.0802056989443292	-3.464526094054423	-2.3760000964330112	-2.794731545075188	-2.74464519767906	-1.4103950139176993	-3.8446679362411125	3.0617511044397547	-4.2526722232686405	1.4692885147620098	-1.8758027532711652	2.8809384704308365	-6.612054154614764	-1.5859398813250816	-1.8039255535953738	3.024096542134118	7.077728181998184
1,1,2-trichloro-1,2,2-trifluoroethane	24.698658289957187	2.2762211745192955	3.416508962151026	-0.12713463726980348	28.4293218075146	6.89972296864063	16.995590702060326	8.33592605042724	4.464377334219735	2.742247687729892	-12.177547157968863	-14.996609736089475	-0.19257533443461344	-11.209700863737458	12.348188698951795	-9.118404085231049	2.6281752449082783	-5.713919476813436	-1.0199252381240118	-15.404517268048142	2.5152282113338567	-8.605557533144445	-0.8551075336153597	-10.220056494637156	-3.3693034666315147	-3.4949350009960325	2.1783362611429795	-0.06212517547656849	1.1083471216009628	-6.0994393412638415	0.28721301569240837	-0.15025426065302405	2.7234818489326793	-2.19059086397023	-0.805549589529703	-1.9369460822570794	-2.0468171541493043	-4.22968353467126	-2.570188972287724
1,1,2-Trichloroethane	15.521080656237158	5.147325050137406	-2.58183437932193	0.4207233519389843	10.965781024036172	4.567040818176809	-12.683118347763195	-2.263885818852199	7.067411103776863	10.151400940413588	18.531483531838216	1.566839380425906	5.570485284654691	-6.452157537734751	-9.909659853032323	2.770207064854612	-3.9704968412127943	-9.77166518343137	-4.8455513762247175	7.265888553882151	0.48558780560503456	9.770297859731789	3.3980105888802394	0.9123838591497007	9.407267451133858	-8.837910607587387	-7.1387458349657	-1.2496011242715521	-1.09214198464595	-6.428732077245737	6.121557689501128	0.014475445228031533	-6.619426628028182	-2.5637389033272666	-6.824919336617458	-1.029324499924293	-0.5244353545868564	-5.680274464537182	3.207528359086101
1,1,2-Trichlorotrifluoroethane	20.8069407846086	1.8441982304280098	3.7744786088882796	-2.5203447410292	14.749721856482918	4.294300409690723	-8.578870509644418	-2.8957278890308857	19.73861044620707	14.779930331892208	10.995622433878285	-2.0096123136399178	-4.279140223567055	-5.508406435617651	-13.906819164111404	18.6279797842373	11.320729754693975	1.0611531170180313	2.2532750372758987	2.2344922682211954	6.982510789922882	1.4765121117563453	6.654721454021647	2.567826243877736	-2.294528354025901	0.34491840605735874	6.638725424764551	3.3752972751926427	4.308720155398476	-0.8804786856664524	-6.27156218663013	2.105981577010262	8.402078450085085	1.5324512103428567	-1.4984462446152056	-5.275659750372954	-1.8540894486803579	0.9733893432009731	-3.927772890298356
1,1-Difluoroethane	5.494538421117058	5.391668155627845	-5.161173635526465	2.081858559169829	-5.779832712376072	13.064249808577742	-0.18545426743000146	3.165233953829511	-4.64657878686492	3.435848201453717	2.458024117833667	2.4910885339237123	-1.7763580171795659	-3.5712421816699966	0.3999741251282444	-0.10655667521935452	-1.6007506170933044	-3.1610017172144396	-8.338348704167108	3.8275006407792045	3.095796093108728	0.8234106523047034	1.466415688890684	-5.148669674004091	-6.963016635607705	-3.3438150461174123	-0.3979444004318181	4.395036828302898	1.0448212754667856	5.196940842316405	0.9968941559435858	1.730699478485061	-0.0671347802524837	1.6638753054119102	0.33581064778923114	-3.788786767536156	0.015891781717056956	-0.8148394941811911	1.7573360306015304
1,1-Dimethylhydrazine	5.889112128866911	2.2346317755005627	-4.049960530870563	-0.47545713916623733	4.379420710885747	-6.717629655809142	7.475147505842004	0.21536970387351462	2.6187085642147063	-3.7997828191072425	3.5181296343124004	0.20235140547583155	2.149844221179237	-0.06095049403579861	-2.8007628529054265	-3.00618427873069	0.0045848647159293906	-0.4902216808680458	-0.9652046313657378	-2.8974015732252276	-2.4436492549466875	0.3673282307943862	1.6016473958003203	0.12900077771508817	-1.0339473339268401	-0.7826055687361353	-4.657439126823877	-0.8740890744684995	-2.22163707168403	-2.615739682021087	-4.639983959926848	1.7411681321223131	-3.966101857444358	-2.308934681474877	1.1023716476113643	0.2544545104601666	-3.1549957159050805	2.2559784912356022	-4.0394082711846275
1,2-dichlorobenzene	-5.302808154066411	-6.7683345008572555	4.31738363410743	0.7622229406074852	0.435219445274583	3.768606432831131	-3.9850836319280285	2.4718590409412675	-6.047214053131838	-0.010377586326340442	-8.029771064736975	-3.6346104050162826	0.9728377531787027	-0.25025925465704457	-5.568540042698218	0.6660859966062743	-2.249777711987536	2.9984987473676195	3.095043717736924	-0.7250553605011539	-2.4086118522510036	1.4523898919230458	-0.3024411911419936	5.762111720372745	0.08141509919422701	5.393456263381112	2.0204888100364404	0.9958560648116185	-4.732645767965732	-9.612972339178617	0.17426478548749066	-0.32142164015784236	-2.302168023521646	-5.890591368159211	2.767493924394467	-1.2054020778196066	0.6751658231905071	0.21101844623858163	-2.5459723476276603
