Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
1,1,1,2-Tetrachloroethane	-3.275404028826425	-6.780162318318489	-5.0820653079957365	-4.584177064647559	-0.22926220617319382	-3.3938968420001188	1.0695865269256768	3.9608558393667095	-0.36628013748171706	-7.95165800095411	1.675663432262254	-8.744477095447373	-1.6856364272334539	-0.20740777193338644	6.258594630401437	-2.2452141441360656	-0.7750225186859365	-2.3511208201234446	2.10989516008133	1.3619236952010834	1.4012466433826263	-0.5164698918253582	1.63176618789459	-0.7852599490663751
1,1,1,3,3,3-Hexafluoro-2-propanol	0.2686998703736654	-0.6293058699969974	6.902043864322266	12.568217950078164	-11.097617500404356	-9.197490901403564	-5.477228394446112	-2.689739039815854	-3.8771698347293984	0.42802394630626717	3.955543078324473	9.38812753447866	4.260204428796052	-2.0850584420767904	7.493268644099513	-3.9976753442632953	-1.3583168291317473	-1.6571511689317242	-1.0713702931593385	-1.365212543682264	-1.9948834497078873	-0.3458809259742982	0.25764690458269557	3.2927964162422314
1,1,1-Trichloroethane	-3.6848082063223084	-6.165101099767424	-7.048113865009357	-1.961552039714615	-1.4229274688876263	-3.2306204998732237	3.856771788582963	-1.5435976535659053	-0.7057670263167634	1.392673610880321	3.3514384487794624	-5.116113209575523	-4.897499905245597	4.384959296451956	-4.057156114057478	-2.2791800953404313	-0.8375872739791532	-5.2557766715514616	-3.4109650060670598	0.9408946944255638	-1.997070524758151	-3.078618834656019	-5.176646937721789	-1.2699620855099838
1,1,1-Trifluoro-2-propanol	-2.2431241291199178	-3.896655603841466	-0.7759688462217945	0.5318652648859497	0.912358464730226	-4.903460941504779	-7.325086668705702	1.47732563146234	6.144907328162588	3.066474763177008	-2.375332581392844	4.797984267704371	0.4244656368229944	-1.0003472853893174	-3.5397388634129703	0.8922348205563139	-1.4944978090714287	-0.8624807357115407	-1.9326719909909111	0.673568621537611	2.697983984682924	-1.97602195479119	0.48523658425197186	5.835226949536321
1,1,2-trichloro-1,2,2-trifluoroethane	-0.7310609057545017	-3.870084396731852	-3.1101802498366387	0.6252719213049759	0.8523561579097114	-2.189356137293265	3.557856820222262	2.2862953590735238	-1.4489372976176547	-7.414618339254201	-1.2678930672621684	3.234554700871085	-1.158480929833907	-1.0751964275708679	-4.451751501413285	2.9023781694228377	-0.9277143707244319	3.636755129101477	-5.001368017045925	-2.0909855647665996	0.1572115729921729	1.5190541264665192	-2.0637158291601696	-6.628998633119376
1,1,2-Trichloroethane	-3.1850173258549392	-6.814116751707081	-7.129567657446154	-3.846466779370319	-4.9015037319885515	2.5125928072269934	4.885401211290201	7.220937431200506	2.569608094799372	-3.89401767075788	-1.4587085071898167	-7.902838999098787	-0.34666258650332077	-0.6644852239405965	3.058975261645141	-1.7576314316672326	-1.74300413873681	-5.521792165989858	-1.264515204275849	-1.544025341771711	3.9216557124350415	1.6373067977428262	1.5591097533872194	1.0838620039253182
1,1,2-Trichlorotrifluoroethane	-0.9103600422641271	-5.248225781016519	-1.8097807028804094	-0.27716999505519707	-5.033934182030424	0.5894406987840188	6.67866808513752	3.5369015223421094	-1.845716591535637	-6.875491254036402	3.7452632754962765	-2.0082854325238118	-1.6328632048006944	-5.430934983722951	-1.1272770741337002	-6.908750951722635	-1.1434124727973451	2.228015530916085	-3.198106377068618	-2.9708964621367255	0.6385537731927622	-2.538183141869266	-4.690726644671466	1.7830981667244645
1,1-Difluoroethane	-3.983680128285054	-6.047403365532541	0.8213414994683259	-5.425155293210633	3.2244914818165333	-3.9479827485082963	2.2603122596811596	-3.625493763036066	-1.0900647503254624	2.3854473112244055	-0.712920716416408	-1.94104141013797	2.387582592060967	-3.199412401014834	3.188173185473874	3.5497840800762246	1.7941258236556745	-1.43916472021778	-3.9290382025974404	0.321623751380886	-0.49281857959888015	2.79486783041571	1.899474971189401	2.785910157197498
1,1-Dimethylhydrazine	-5.693409662867768	-1.6255713645593077	-7.231220733598022	1.6494381314946782	3.0193037899716884	2.85734730114859	0.9297778969664511	-3.562701773087223	-1.3974053654346053	3.005245139970702	-3.339979187492767	1.5000352115559146	0.043015363910662734	-0.8935962323700755	-0.46134056799739415	-4.739589101489356	1.3319045795494124	2.043654055003481	0.76485820265821	2.0104901215266526	-0.4856254091985145	3.7944628255097332	5.699568536705609	0.8600943226699976
1-2-3-hexanetriol	-1.0089840028231445	0.4006222746060112	7.282926784285443	-0.91562974747787	1.828146485101957	3.1166312169229147	-2.0114280667436573	6.194034669729206	1.5935542211330171	-5.060856843295245	-5.6337675435787276	1.7497372476170796	-2.9433301693405802	4.922276036904695	3.3001380412926635	-2.9483587777106477	0.3700369333222262	-0.7742764993287204	-3.887509605382577	-2.247159258136676	-0.34592515855266526	-2.0300701239516585	1.3494101524598483	4.693195556684773
1-2-Benzenediol	0.2730603710268435	5.5082509490266975	-2.415807850728971	1.738928172729914	3.5108223933375946	7.42999490172256	1.0839105744274953	-2.439284790271452	9.61564306353	-3.9786339620438036	0.5569356341966265	1.5997197522648061	11.436106200243314	-1.3920669381678157	1.8913610011904558	0.5385013932899959	1.2686135667501974	2.4100230883778186	4.888646539332858	4.632772551208835	1.2778753106045042	-0.6358305705768711	-3.9647051388538888	-0.32658679810592944
1-2-butanediol	-3.1961605762340417	-0.6620051789297966	1.0948578272419518	0.18241816086652843	-1.6692336102114487	0.5939400224662666	-4.223689038750914	5.509302024948246	-4.658970446734186	0.6336095829867977	4.051094445029668	-4.1805260677767695	-0.5454329208512588	-0.16367445600865	-1.1799965944659	-4.064647844961165	-2.726640195443548	7.8038360066591475	2.100925826739377	-0.9161014960147138	0.6171238574536269	0.9791217920819775	1.8861023030139796	3.7828019658496697
1-2-Dimethoxyethane	-3.6963386061750962	-1.0846887817765538	-1.7568725059266759	-1.179953352887156	-0.11755865659210385	0.2301074715798028	7.45445497901454	-1.8734792336112456	3.574129568400562	3.252913362359402	-2.9879687069029854	-3.4056892714585807	1.7390260711687915	-8.022451370464948	-4.014147516686395	-6.332651283520604	-1.1859244693854978	4.489086127377705	4.8647370540745385	-3.245837946736476	-0.19194007117007048	-1.054080078777428	1.4987648137810963	-1.8992619069234167
1-2-ethanediol	-5.59804421989081	-3.6825615992220144	-0.37226860258124383	-3.200840677364303	-2.1108923083783635	-3.8565371767881853	-0.5235002923267303	-2.072521504953667	-1.3151938350904742	-1.301499065075485	-3.103576176678339	-6.046153997115036	3.421416914655649	-0.8997734853647967	3.7138871082411655	-1.861809180480254	0.4420322400230491	-0.3328380884048581	4.3840689926119625	-5.736966857093167	0.915185927010608	-4.034310768039821	3.3357295433040877	-1.57001061505399
1-2-heptanediol	-1.179216521696648	-0.1012300387587778	13.91538282119481	-4.017077372551749	-3.3913779910857653	6.835594235844905	3.3550220198242213	2.506470119314818	0.5954133899901127	6.274835482125408	-4.595949872748595	-2.90056400537676	0.9321337646261126	0.34784091127164213	-0.935508215747586	-1.032524669554048	-1.6762732291082985	4.7582116379786	0.7788082730569295	-0.5988765897686831	0.9566689216580593	-0.0636939353159643	-3.1318866730062447	-0.9282599914360922
1-2-hexanediol	-2.5823973421051534	1.4336365934691095	11.64581883187859	-1.3012928300294762	-1.8919750146721055	4.788752091289941	-2.5513346920505646	2.87484420093736	-7.721553082875133	-1.195688295406435	-2.4160971790076866	0.062811377732139	0.6269707042111489	4.871846679173533	-6.751507286307459	-0.6561995261943918	-5.705558231139089	0.2480144333813031	-1.3744108470315812	-0.6083490707245891	-1.997440845575415	2.586126094586298	-2.843716408552144	-1.9824282681413898
1-2-octanediol	-0.043531650957896614	1.1556581100966692	14.780930643351745	-3.6816861219200954	3.9482799824416235	9.365628041166273	1.0547900860908273	1.0894351266854214	1.1142912494453225	-1.9419688638293946	-2.3792652294429493	1.604178467924152	0.040111806376579746	-1.8971878648269596	4.0980331352066806	-1.2405722642523762	-2.8762347995003705	-4.186888144928945	-1.9738635145279437	0.24002621371369787	-0.9440858763747352	1.0516035269255375	-0.6254240165412154	3.8173561354810928
