Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
1,1,1,2-Tetrachloroethane	-3.4307483799381284	-4.029508784921773	2.631662138749857	10.727721010707635	1.7443879371094928	14.911246146331258	-3.3300365262074227	-5.491389638580856	1.5543309684419648	4.4334462940954085	-2.44133992071668	0.3251417545001468	1.0872265911538712	-0.7946120172505374	1.7561666915597358
1,1,1,3,3,3-Hexafluoro-2-propanol	0.18409103999678067	14.005337100882352	-13.359979444773767	-14.06431275795937	-10.382438425655733	3.6911808701792683	-2.470818039517755	-0.6484410308214877	1.0152540673251054	5.943723191099024	1.9940642545064513	-1.1448917343882747	4.915592784452294	-0.07605121681779387	0.11125409604877459
1,1,1-Trichloroethane	-2.5816465984947645	-7.26098604692188	1.4304065289277919	0.8390936436181134	2.8104490206890156	8.657245724746574	-3.1251772965243054	9.535366527199166	-0.39931968869247286	0.4705671430280167	-5.674128898200885	-1.5980758658515364	-0.17302679971713453	-0.5662186075857932	-8.059737749087803
1,1,1-Trifluoro-2-propanol	-1.2132992584010311	1.3439398598622943	0.23494401621048566	-5.385407055889223	0.4549402263785027	-0.2623125208506884	9.699835768275381	6.2980543428203575	1.4697655058630377	5.855948230421791	3.131555939012638	-7.054379058541912	-2.174343362601359	0.9530578249121816	1.5134685905983547
1,1,2-trichloro-1,2,2-trifluoroethane	0.295939393243934	-3.325347831703038	-4.373575965111391	1.201606219048341	-3.271511902368774	2.588556831722124	2.287749205289109	-1.829666871935868	3.5305928291091107	-8.367872078481666	0.05264929696171098	-0.47978890162540083	-5.267668461973712	-1.2328199911164057	-7.825099847066236
1,1,2-Trichloroethane	-3.1228769231138824	-8.705183104435594	-4.632499586423821	15.645354668030107	0.362385053944879	9.029820461635033	3.341527220899431	-1.7435568227664409	-3.1109709149534592	4.844754571460973	-0.19862005011861042	2.2293615389353394	2.9675771057937066	-0.7147867104155055	-0.5846514773092932
1,1,2-Trichlorotrifluoroethane	-0.49826035105880834	-1.7329367461072627	-7.0640367269823106	6.284592149298817	-5.961970334275725	7.307771729421599	-2.305303545315864	0.8053404907611106	4.336947054759335	-5.6189925302966595	-7.4732857589027475	-4.978177432409387	1.3544145258926608	-1.2873432317965439	0.50418030980865
1,1-Difluoroethane	-4.336724773331137	2.5212884781501557	9.249495525266404	-1.1648207695244026	1.2963576928873053	-0.5068997202280593	-3.046719364927727	0.7325332477376477	1.1679062207050495	-1.909038451867472	8.721698410027479	-0.02881286663789155	2.72051397048852	-1.4858413874624659	0.9033929450920448
1,1-Dimethylhydrazine	-6.25320265928685	-8.090145617297978	0.9825017837204233	-3.66206144807018	1.5447564002360168	-1.906184139464172	-2.4278582992027333	-0.2577042902274346	-3.1721018614825125	0.873018768671529	1.7568125062051472	0.14470512163457414	0.3429448797190788	-2.615653099045991	2.152133308940518
1-2-3-hexanetriol	-1.460401118686421	6.531206618951157	-0.5742753042912275	6.141414851030761	-4.053543247740867	2.2537802164147176	3.622745133207899	-3.347057088222882	-1.271948121606374	0.5266856529624525	-0.2992422655286085	2.0216335339064146	-0.39919513907944315	-0.02500787321707928	1.4425518925479814
