Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
1,1,1,2-Tetrachloroethane	-3.275404023721433	-6.780234943052933	-5.081896507271014	-4.579757210059917	-0.2355916812391125	-3.3910172845161575	1.0512516448953153	3.9681271458500844	-0.3771429464049064	-8.015692516872283	1.697529669729054	-8.757299873030092	-1.6923163952930753
1,1,1,3,3,3-Hexafluoro-2-propanol	0.26869986305937926	-0.629133754114821	6.903515900338929	12.559234979398848	-11.096050062465187	-9.195132353098044	-5.482992090171231	-2.702881089300794	-3.8594622258591396	0.43012459577939316	3.9496864299269836	9.413128464071058	4.346813355744573
1,1,1-Trichloroethane	-3.684808200868604	-6.165200112147302	-7.048668986284553	-1.9540961004897592	-1.427452262681122	-3.243575521021148	3.853160000642235	-1.5083936065566454	-0.7529622932727573	1.349748336852395	3.350797568083435	-5.1532611912407	-5.259716048981298
1,1,1-Trifluoro-2-propanol	-2.243124124668395	-3.896586907128072	-0.7771179765241152	0.5346308411650388	0.920145139380801	-4.9042517978534	-7.318531265352555	1.5153482108281775	6.07001874071182	3.1030776101478112	-2.37730774613261	4.720288739886438	0.548853613654358
1,1,2-trichloro-1,2,2-trifluoroethane	-0.7310608904796457	-3.8703659836219253	-3.1115911778824064	0.6359327650234043	0.846401165328541	-2.181985443508146	3.5613736091723807	2.2820484679963777	-1.454580723503086	-7.456459855962271	-1.238901614672576	3.2050038400658947	-1.0471193673932906
1,1,2-Trichloroethane	-3.185017308345901	-6.814619256149272	-7.1313389020093965	-3.8268042737886128	-4.927261432012654	2.504930975344819	4.869091701115961	7.290712848408177	2.517639660852181	-4.045253737013842	-1.4136141221593577	-7.886647995392211	-0.38056386669302117
1,1,2-Trichlorotrifluoroethane	-0.9103600419597555	-5.248040225976183	-1.8080040869981828	-0.28065049148069676	-5.016926440383207	0.6001313272480098	6.696963070270858	3.4964690473148567	-1.8464624037735855	-6.86364561131316	3.7690757576827534	-2.086508578507757	-1.10711653072412
1,1-Difluoroethane	-3.9836801373773265	-6.047348022695224	0.823230440196402	-5.427649398644351	3.221862763512221	-3.953068011893108	2.264467710172548	-3.6451306060674984	-1.0353544395435768	2.395429590929865	-0.7213191105267807	-1.866012922795789	2.619436970893441
1,1-Dimethylhydrazine	-5.693409662674348	-1.6256509868368831	-7.2326846198174914	1.6527964308328642	3.007285748957791	2.8535677952533227	0.9302221606868273	-3.5575049671559436	-1.3771441049239481	3.006397639255968	-3.358299701182648	1.5304628613268858	0.05990906176938645
1-2-3-hexanetriol	-1.0089839918590682	0.40029066368948296	7.2789967552273795	-0.9033877434853934	1.8151157605862753	3.100589801107218	-2.022637564089129	6.257609591224649	1.5009955561403299	-5.127772749997866	-5.639370383928151	1.7256068993366844	-3.448718376742069
1-2-Benzenediol	0.2730603624571595	5.508770374460714	-2.4112876065954234	1.7276537496076707	3.5388278341911192	7.449739434461389	1.0905320714253535	-2.4701172890721153	9.632906668767987	-3.867125214009626	0.572047976523555	1.5220323691576907	11.70157287226875
1-2-butanediol	-3.196160582547878	-0.6618585819030576	1.0949851380552826	0.17392517106735583	-1.6641142488121246	0.5997806560445247	-4.223025032586287	5.4741759482984325	-4.657511022603939	0.6512424540905486	4.032905362508878	-4.180313259099948	-0.5110709596239207
1-2-Dimethoxyethane	-3.6963386086657537	-1.0846660404373683	-1.7573371317966495	-1.182951215270572	-0.119602191321351	0.22700656610993597	7.449881836361272	-1.8725637958808454	3.5988827657263096	3.3097753789733275	-3.008253443022536	-3.386158830313217	2.371651307621417
1-2-ethanediol	-5.598044214452569	-3.6827916267743084	-0.3741243091207054	-3.195203794872859	-2.128262636418452	-3.8580105320698577	-0.5445060947619152	-2.051810200849889	-1.3068123956245163	-1.353169586744625	-3.1020407515757795	-6.003658835378545	3.3884488626132723
1-2-heptanediol	-1.1792165256229217	-0.10105694860879039	13.917976678361464	-4.0212341426055564	-3.381260301794288	6.846757362454606	3.3558453254618166	2.4982345624845634	0.5753413784694599	6.270615820470033	-4.582519936728027	-2.9302428026542287	1.0064244768950226
1-2-hexanediol	-2.582397337155939	1.4334665606907624	11.64565222546652	-1.2976474523510704	-1.8958856647414253	4.782671283934583	-2.5560355093412523	2.8686535488538065	-7.746035345947343	-1.2768538261567806	-2.404169264764817	0.07169930660867936	0.22695401818510352
1-2-octanediol	-0.04353165481321888	1.1557557558239449	14.781080427016875	-3.6841117750003867	3.955901325690598	9.371236786822179	1.042814002032647	1.0833627752973072	1.1204491509629027	-1.9592172505274272	-2.365571098554198	1.6008974030515215	0.1860120610328651
1-2-pentanediol	-1.4030831162240986	-2.070486773601485	3.591361966440011	-0.7429335603838734	-6.5687579245516945	1.7507984033842472	-5.139476965467073	2.8401136618789278	-2.8444344755993676	1.7402396207732858	-0.7571853392513325	0.23345992079010325	-0.9752632714142793
1-2-propanediol	-4.5472977117941	-4.2469871122817775	-1.2888046447127786	-4.8893224002296005	2.5149367072176028	0.7986390974569401	-6.34787091871274	3.6170591988547	0.16301436114114018	-1.1723804311091655	-1.1930018709535626	2.035885953472326	-0.09477033748940998
1-3-butanediol	-4.066933263034985	-1.0843005361297426	-3.23726039991643	4.09152256187185	4.223771540501026	-4.125772978629899	3.464455816474875	3.135111653920493	4.350164207426755	-0.2412058477661482	-1.667995963398246	3.0603542651710764	1.7424037384005764
1-4-Benzenediol	1.2691013042773218	8.415597541587882	5.594239000761919	15.599037539346346	9.137868896176563	5.712933669242153	-5.752423778313937	-5.314864886401714	4.544407070681149	-0.903755136178833	-7.113567112622287	-1.0725791411533296	-0.6545645535314583
1-4-butanediol	-2.7850426697517285	-1.565190556648271	2.383843895424491	-2.6144099596948966	-1.63237285878578	0.596073071093609	-5.806946418316331	1.7625631713427052	-8.487521390972557	-0.7293991611640424	3.185762278997725	-4.392220546518803	-0.3293921009915791
1-bromo-1,2,2,2-tetrafluoroethane	-3.2002469135353846	-1.8314849667745938	-0.3198976572672003	-1.6423118269129775	-3.922182188258668	-0.2739378620887124	2.1747991273310685	10.37837825777711	2.169974240390018	5.293310205568001	-0.8804247152339696	-0.7396879351224745	-0.361615096045631
1-bromo-1-chloro-2,2,2-trifluoroethane	-2.6654263934157747	-3.4458304442957304	-5.922014792471044	-0.7247902657570855	-9.074026315996253	1.0119239793195784	0.6068137778515107	1.6919158799726155	6.222225287178838	2.467303476202965	0.9102808314683718	1.9885098926473308	-3.659965627277985
1-bromo-2-chloroethane	-4.561607822678898	-3.532684875271341	-6.320037749495145	0.018365386632020197	-3.6425397446731607	-2.3541671712851575	0.4867610837419262	-0.23525573512132048	1.9158273369757586	-2.499669576834448	-2.4971070323636515	-2.930237158806458	1.8682768193703665
1-Bromobutane	-4.275590279059983	-2.3257166405883374	4.849662349186199	-7.523419687570268	-4.4766657555086535	5.002944080183747	-0.49421710116911366	-6.395962230782006	2.52496540205713	5.627048301301332	-0.22040510277383984	2.05320252568196	-1.3754456314762167
1-bromopentane	-3.5497344351885762	-3.342453874940336	2.5990251954884283	0.8655524437100491	-3.770710548776186	-8.435109941385305	-5.199006060800393	-7.931213309183848	-3.682017617942646	-1.0590228491117424	2.893906963230811	-7.618937588865161	4.785634912124947
1-bromopropane	-5.473374011523638	-2.5288754972318777	1.6290049680506413	-2.4207528745264484	-3.939058191751029	2.395635621890481	3.7589276968651477	-3.153936253129596	-5.674289396802036	2.715242317101092	-1.372309247709598	-2.6793361821475568	4.368931749560462
1-butene	-5.377956179697901	-0.33987010728099726	-4.247126622529053	-5.18385515381183	1.0890725502874796	-1.157580981445526	1.2868495355955851	0.6491333006448604	1.1432054403459522	4.720255065603227	-0.027658639612384073	1.3238546847061772	-1.506999380069765
