Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53
1,1,1,2-Tetrachloroethane	-2.6341275940643354	-5.690255846377841	2.7969183890995364	13.758671050143514	-5.48396455621683	-4.2873047779166225	0.0511413586355463	1.1722783145240074	-7.396547526030793	11.826499900802688	0.452390000250275	3.1200910829133957	-0.7737438224065071	-5.659114002009008	2.292808732576311	-1.4628930342414093	1.7601025662783323	4.816720432556059	-8.80839074104795	0.49332132450978644	-6.780173386922264	7.673543037691145	4.059655498648706	1.0152140170728756	7.308058628526089	1.5072530129167099	0.7986092075816792	-4.301454963109554	1.1982732412047323	6.199252115839399	-4.255049392479062	0.5515831562397399	5.038989485527976	-1.0283081531115998	-0.40916428469830385	0.12014945661236484	-0.7553420049901054	-0.6732796441150224	-2.413767724126439	3.614005279193738	0.5052826258177464	-1.2149415343478358	5.959256146591677	-0.25803243050999586	1.6210596332206721	4.8430400339271715	4.132411851051323	0.8480711535889217	0.5510351544725486	3.2299383545673344	-0.018101596646966263	2.46649410768414	-2.932947769480921
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.1898765812232055	11.7007743746509	-8.317762076553525	-9.723276762755118	-10.076552435128985	15.673422877716815	-5.526107739013739	5.547822209711132	-0.9026262239000448	-6.3859350527873975	4.238008050248373	-12.740440448724556	1.9305901171900703	-9.94802533078435	-6.161842962743995	-3.335382022884662	-0.671419170271611	2.192322616131027	1.2666692677152596	0.8901697760581304	-4.256243745924153	2.459832184804146	-0.8770430001533203	-5.683438678316076	0.3454863579422191	-3.071501822362286	7.239688530184049	-0.0027248393541534277	-0.852877277579559	2.9951868082838526	-0.5367224564522025	1.0170962852678662	1.2930725498508107	1.4688319842024486	-1.963486411867153	4.5927864913478	1.520256002083746	-1.6212299735828506	4.992520223053257	2.5903536264102414	-1.695904328294472	-0.8647551261788418	4.51892550189682	-2.836066308594381	2.737730773913045	-1.9353443511098767	0.37125850041637004	-1.2523848392158001	1.429827278328151	-3.4782330024476926	-0.10479604609421198	-2.857647025320863	0.7589788760824315
1,1,1-Trichloroethane	-1.5968979292274736	-7.7404863529918195	4.465074992237826	11.891550484281561	-8.405297125781564	0.859003377436976	-2.7784479420456	-5.0225452600669955	-7.089202785724315	7.6413222844663204	4.378237724263981	-0.8749462477063994	-6.930964449397757	0.8515773808448734	-3.3428532570650638	-2.414882045931712	6.6582024581700265	1.1067545594528925	3.2142122230708408	0.4005923658159664	-3.307561917173723	-0.35557613241514313	2.476794272285459	6.254221487065535	-1.1122501952256543	-1.8637294115063687	-2.2983108131854375	1.76494920722619	0.04979152998424364	-6.020825742965527	11.520426645453867	5.762238298548825	2.225975568406241	-0.3123322910624408	-3.8650368355045215	-4.4438395831801945	-3.736751819239863	-4.846348089315082	-0.5943260754850431	0.20875014057141744	-3.0417121532668006	2.722554562991618	0.14479478339361793	-3.0887993858748732	-1.9123642678012138	-3.255287583175632	1.565951096955591	5.007551449111897	-3.715809061156609	-4.351197861447857	-1.4947012351830022	1.9539577524102674	-2.6930553829819575
1,1,1-Trifluoro-2-propanol	-2.387768474927655	4.281376057431916	-4.249596491571586	-7.489854609631967	-4.957178959271208	11.68211087957903	-3.8290728717161686	7.490364178687434	4.942716699161015	-0.43224175656996683	3.1722687543097385	-1.7018835787426096	0.5771528722779923	-2.043868341478718	0.08037869488660847	0.3796448881284246	7.570522440463765	1.4766174440663793	-4.801932856999138	-1.9971441329522026	5.680587407385609	2.4104207495507723	4.168277273292419	5.362189140148776	0.7376861470977052	-1.0501148247999392	1.6612260400702827	1.4443342886831845	1.2429444846561206	-2.140687372509478	-0.3637364849447063	-3.304158066884561	-4.161447679519365	3.233451825520475	0.15560375471275845	-10.211037961157144	-1.0379513974150527	6.729402236405366	-2.5508251999388207	2.925270435916635	-0.1561836268789437	1.949727451374889	-3.6671506928686477	-1.1672625311163558	3.1612684088626968	-0.7225599626678685	1.947618322838312	-5.191159505578128	0.058322977764015765	-1.2240002630958182	0.8173738793295963	0.4193291136959853	-2.6169929523416733
1,1,2-trichloro-1,2,2-trifluoroethane	-3.1691662433969117	-0.9477143635641612	-2.4028102000187004	12.358453983894663	-2.051048303188042	3.6560202931403514	4.969116579763865	11.892279633407803	-3.0132604211950236	6.024080964058398	1.6975177770607628	-1.7249390919640222	-1.347915271605951	2.410231341137472	5.650123619958996	-3.356059828147924	1.264107057647018	2.1718925462089573	-0.33862699399824764	-2.646765122730527	-4.940248857552466	-7.213452488826571	4.42092004601953	-1.639975531308517	1.3211345211659429	-7.610285272357381	-1.969099317252459	-1.0533047751061266	-2.573938116454553	0.3468604465172873	-0.43804813714826485	-5.648600779554752	-2.5082358215597207	-2.3639455999551213	3.827023237272875	2.2491445516395054	-3.516745248516522	0.0947340828196536	0.7397338611761597	-2.5935822241336455	4.185649453262464	-0.005154778021393729	-0.8926042270265043	-4.244546285687338	-1.158518268706907	-1.1284357425016658	4.21555528065657	-3.3721141163280217	1.754871866355614	-0.6557174769541623	-0.3264724486424183	0.8485591454381023	-5.605957126920373
1,1,2-Trichloroethane	-1.9035807904196491	-6.95388237056739	2.1441913288564547	7.74222496539553	0.06589845019531373	1.180214796715424	-0.8750080292093335	-7.226060747851208	-1.0062163569459235	10.944564177895334	1.7557698300091042	-0.6546022415954624	2.8225262516020693	-4.44288303462596	4.167837317737417	-5.89215457119449	-4.846350928580417	-0.12649632417147463	2.993438722738875	2.6821251350896573	9.687530043535864	-2.7117954307340937	-1.4052851685795662	-1.0905099939474978	7.564981729726908	6.131797423728218	0.7987878065860848	-0.6140331139044185	-6.363227069631507	4.9751089142438	3.923047861050867	0.8366899871061314	-1.2888695098451357	-2.7760333680693843	-4.001144481505471	-0.12734845533013392	1.8738965592082764	4.5049863978036395	-9.047147383282592	3.1247739043974816	0.6312143332384486	6.475587573948689	4.939021795213638	2.033227673475646	3.27198225809078	-2.3409760339035004	-2.7079750662447974	0.5240331041627242	3.643410013453433	3.4876687106557815	0.8403188896456509	-1.473519945355313	-0.4185551825447331
1,1,2-Trichlorotrifluoroethane	-1.754605374696346	-0.3576483499620079	0.5143920862456949	9.871508392411947	-6.67460240788917	2.0622513987841247	3.059990949618731	2.482652495281758	-8.487779030026843	11.457623156311778	-1.3537392742091348	-11.362059604099581	-0.7608426099780561	2.832242582990457	3.1746583192431084	-2.6375488607748143	1.7687630006567607	0.05781746642780221	-1.8863718268952718	-0.06962001770004224	-0.0017856498199653598	-11.532444985880494	2.352387120610864	-3.312629234861135	-0.3868043377009609	0.8084866161407238	4.385238990969748	-4.127781334833301	0.10121483700629051	-2.1649504677884694	-1.1102085545626377	-0.16469127668455766	-5.936573929455281	1.5615265812604475	-6.203216206337149	4.596131963089287	-6.99871683059756	-0.2507187790186478	0.08770029432056405	-4.585730917803804	-1.3194776535540127	2.3014327836111286	-2.581337845110165	1.5928344873498361	-2.864600467822879	0.5659512156477413	-1.557631515814802	-2.2593251907881475	-0.051625269687154925	0.41679084054686116	0.04551035714695699	-2.0932333115076944	3.9920664568661604
1,1-Difluoroethane	-2.815209550375673	-5.281892733657443	5.996683279004319	1.1830147472430947	1.4475516994004463	-0.8538126368815749	3.441451580007732	-3.7139240279584698	6.084032532415474	-2.752206899549656	-0.3880493351794569	-1.067866241485756	7.213029288398731	-3.475513420163604	-1.5061860060054924	6.192262933045086	2.7835863091226547	3.1449153678293866	0.30805298543536014	-4.874777821284133	2.963025192582396	0.42335010923855954	5.1418474121540765	-1.8513397755243073	3.9692208651414336	0.7702977791462242	0.8646511141434545	-2.2381676339061847	-1.4504142202011243	0.2958622162809417	1.5242348580141765	0.2001205736394815	2.0389613202523242	1.2151649806824811	-1.2674037061836736	1.9539085966693257	0.35194827658463523	1.4063724803595632	1.960028153060026	-0.3572679083613315	-1.037705642429215	1.7870349212412275	-0.3930508512534968	1.0410358508437463	3.035564029913232	-2.3317963758411655	0.3861864506835028	0.7057571555885644	-1.2911671812519752	-1.451196030625703	1.124293412543967	1.0602690422198353	0.5774296127404005
1,1-Dimethylhydrazine	-0.9904344537233746	-3.1900494650155706	-2.2921349573790226	-0.17242053056350404	4.294692711677943	-0.17621026264909076	-0.020657312910227345	3.068679990162845	1.2885269873245369	-0.7978549151329033	2.5093596655711687	-1.0373342551866127	0.17694614469715333	0.6041313372795616	-2.4461608883363257	-1.3717205300582918	-0.7435776088683921	-0.8649392189989878	-1.9206078815150247	-4.346207153508899	3.6098067531550813	-2.8932375512141433	-1.8942488168773834	-1.8874836588828876	-3.4349119718562844	-6.125700524261929	1.0600720246656363	4.940292267422915	-0.1411911001141451	5.752202484582872	-1.9984267606389472	1.3685872175152265	4.69676115889139	0.010645018213950573	0.23397992077460525	0.9600352091235334	-0.26487444971453095	-0.802497970620615	-1.6739112672992205	-0.41138686906148614	-1.598031660990902	-0.7920269868088862	-1.5470684963159604	3.1901392382541496	1.3538685536300694	-1.3841323572118283	-3.7296225051616605	-1.0836001127565704	-0.7455037052375589	-2.3439865268916944	2.0108522523042986	4.327212128154746	2.1529073677866033
1,2-dichlorobenzene	-1.4296136538035655	2.001683298284748	-0.2843121679191771	-4.984986550086572	-4.970455568771274	-5.944532754410846	-2.7279884168169835	6.670442946025428	3.172028933009684	4.293637383993862	2.7384199392918074	2.802215231686564	-4.193115715777025	-4.008473299621122	-3.2379150946635122	-1.8440671044724157	-0.24345705746689236	-0.5569082878321951	3.1860206058898455	5.17474618250977	-2.617750848383953	-1.016791999230313	3.143972357887855	-0.8968634311391732	-4.31785162903238	3.5801102959121143	-6.964021656843922	2.4740492000534866	0.6953148883546719	2.8570688914858287	-0.6653614671758753	5.846770439887175	-5.164475706543758	4.82274408088888	5.37780597356342	3.4954953261876964	2.5632767221237267	-0.9114408035053783	-0.13760185119841656	3.5650908152347625	-1.1276851820547136	-1.833758535976892	-0.13927621204629437	-1.421989969232272	2.8180498126195666	-2.3655882875987158	0.42870028455673725	-1.023433042773568	-0.10166254603830856	-0.3616697920105979	3.6358400497056813	-2.232759088679206	-1.0850506513827938
