Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1,1,1,2-Tetrachloroethane	-2.367162199548657	0.8824332641061222	-6.515746499575685	-3.940695814956929	13.106591303070148	-10.013093189577885	4.418407245446753	8.990883938593875	-4.675453200820372	3.273925223903899
1,1,1,3,3,3-Hexafluoro-2-propanol	0.9587204222684488	11.775229872730854	18.637872701280948	-2.943604757589947	-14.829065309427566	-1.8007104487941963	5.838539663812058	4.390266992858629	-9.132918242893568	-2.4170993966418988
1,1,1-Trichloroethane	-1.562285270959632	-3.792614515847625	-3.3093346775521346	-1.4046543953133959	3.1825459239806886	-10.071669713987072	4.038378869083271	0.5517483010979272	-0.35477793646564926	9.532695558485804
1,1,1-Trifluoro-2-propanol	-0.6523510317956658	1.1079352031879022	4.7737950676598295	6.851110975483668	-3.8454209018860226	3.4548020577206744	6.767136558917581	-2.0883051315221826	1.7395117335461017	8.271737502168525
1,1,2-trichloro-1,2,2-trifluoroethane	1.1973106186818734	0.2447925812711246	3.7074939798801303	-4.464100420963273	5.091731398512526	-1.0820416337850869	3.261394189548947	1.4234331088843848	3.1418062452900815	-4.3451562317812265
1,1,2-Trichloroethane	-2.4905255260090278	-3.159582727051422	-0.28342629882407927	-4.19771678398602	19.288491285932693	-7.210641977963784	4.405717817885583	-1.3559460669404386	1.21704011407966	2.272391699477561
1,1,2-Trichlorotrifluoroethane	0.3419403214227767	2.4639975428244534	4.594894843032264	-6.686064647782539	9.69351334959033	-2.791770427621	6.86161253983681	3.5676379420547617	-3.5708067496387583	-0.9271875886744906
1,1-Difluoroethane	-3.7869627053236257	3.669258465840335	-8.16389859540878	0.40081397628348936	-3.4751652679539786	-2.5298563231318583	-1.9313972076696477	1.2806125830037423	3.4128242006700185	-1.8194094857195928
1,1-Dimethylhydrazine	-5.577170206586325	-7.669154382480747	-1.8872551141849034	-0.7700481216847265	-1.2120720937353946	-2.9087794146995036	-2.8562725467151058	-3.6880366542792746	-1.8606126948800294	-1.7461987731632949
1,2-dichlorobenzene	-1.5206760677862088	-3.0575433227481046	-3.1424699493843526	-1.2940783090783408	-2.3439794594844146	1.9481719362130232	9.034901882193529	2.560861445780578	-1.4212298167368382	0.49697981050430023
1,2-dichloroethene	-3.9883645825883796	-2.7414908335171533	-2.6973887522874715	-2.723634717846493	-5.910627045111708	-1.202237884868014	-4.965706497828001	0.14482578377850322	4.183013566441031	-4.204769641038978
1,2-ethanediamine	-4.615444506199024	-6.60647950943432	-0.8435740479356753	-3.2552052201312556	-1.5866955813555654	-0.3160134388233385	-2.2488608596137154	1.3625919352865608	-2.908878305410664	3.4344850793735873
1,3-Butadiene	-4.180028118556587	-8.011561122562346	3.3598483121891562	-4.865138010159509	-4.586421003844559	4.3015600057488745	-3.082782188445387	5.173564678910947	-6.697398883307692	0.6183076324276782
1,4-dichlorobenzene	-1.6004358515083152	-3.577564622720476	-9.631396243195914	5.0378773360520634	4.174966341696091	8.465620207717151	0.6060758951157066	0.4587380694878119	2.291708262290382	-6.51030806385553
1,4-dioxane	-4.386699691428345	-5.010570581219431	-8.085542760872514	12.080050630569101	5.2628546429680485	2.6488874463530077	1.2062009050070752	1.1893849022922245	-0.5553548540873133	-6.094507749179641
1-2-3-hexanetriol	-0.8566186500820542	9.772119235364324	0.9251889151209934	-1.7486504498445152	3.862999103955449	0.36140019257975853	4.0321554876844	-1.5455941160713684	0.44866844551652313	-2.7514480083440414
1-2-Benzenediol	-0.09576143766066993	-7.763589028574137	1.5560455514759166	-2.319499231231339	2.6485251715418836	6.0874714801364656	-1.4769053509548227	0.25176827554857056	-0.48157261425696646	-0.23598746688307143
1-2-butanediol	-3.9609888060231357	4.216809930589129	1.2287281589370886	3.4448547820795272	2.440428769203222	-2.9003312981148968	1.4385115487323687	1.697851079425463	-2.8110296229370104	0.05100433504349436
1-2-Dimethoxyethane	-3.744148145599382	-0.6479003601925203	-4.0183446363033655	-0.9235687045089279	3.267875519945836	-1.9939514498684614	-2.8576938361325284	-7.098872049417149	2.7162133897628795	1.9580981284756696
1-2-ethanediol	-6.040136786014518	0.7414828564799073	-2.7396755425476256	1.9040236291148833	1.3593571198122316	-7.128898737754498	-3.0886986219900665	6.047778786412097	-1.669030849246058	-0.45556680665997373
1-2-heptanediol	-0.7612844702754683	12.276282523436125	-2.6225236896826876	4.478346016697648	2.1337620802833444	4.784184681383385	-3.9835066873548697	-6.634138901004749	1.8703365914778376	-2.2235140124668913
1-2-hexanediol	-2.551802657660819	12.81751580231512	1.4710129425423815	1.4729692115319342	-1.2513162280990335	-0.2515713955558394	-6.789331804342989	-3.6497180167200654	-1.031736936143344	0.1279444239387369
1-2-octanediol	0.1084457327692286	14.610053512831046	-4.7133450088133975	-0.45117336161329813	0.06250893085364029	4.306584643944832	-4.213048396886696	-2.4337746502609896	-1.2079316580015602	-1.9871365338444649
1-2-pentanediol	-2.1890689302717306	5.9593488768470495	1.4554349552191008	0.8667136216883721	2.748009025558379	2.9300186376249795	1.4983618794415896	-4.1565627992117395	-8.79268030134663	5.087625682474396
1-2-propanediol	-4.416155873431841	1.0354788565453017	-4.890258184428867	0.036918625304607024	2.7107235211684038	-0.49222243092772777	0.49310912901198894	-2.1974867627778085	-1.8037453996178465	6.995909082024242
1-3-butanediol	-3.488508076984661	-1.3726112187945543	0.5398666105428652	-3.001416301494637	-0.6149666648022606	-0.756829117610273	3.6639769309499255	0.01792586212716199	4.777575096294641	-5.2939762658166485
1-4-Benzenediol	-0.48413881236821954	-0.26493501638301725	7.892526253179782	9.4441106067513	-8.027379995656695	-2.982856208638559	-5.227534072630082	1.7774927571835681	5.025447682061265	-3.616881967773034
1-4-butanediol	-3.799729824261448	5.273011848191766	-2.917160485824692	-2.7147035593563555	-0.34676672529501235	-2.3495916208749548	-5.262116936843943	6.988925433518622	-2.599986941918067	2.2415485578615244
1-bromo-1,2,2,2-tetrafluoroethane	-2.452302907406345	1.2478392040657225	-0.6106601134569184	5.899914023532303	5.442530070273895	3.235709940816563	6.037442072527055	-10.28173014042581	-1.6716947884079991	-5.220016287294528
1-bromo-1-chloro-2,2,2-trifluoroethane	-1.0952812765526652	-1.2726755245163242	8.28471957889721	0.5812887623529299	6.9339437084350575	-4.250519812474593	5.5228728365633755	-9.823160863238716	6.247800923802489	2.9495261938273827
1-bromo-2-chloroethane	-3.703003229217902	-3.9730269688476243	2.69333963954418	-1.7213767313689312	3.2295627525854367	-7.041960725757254	1.7010991082682094	-2.3623251214586465	1.093773747109537	-1.7577531873789916
