Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1,1,1,2-Tetrachloroethane	-8.277685504254002	1.696768598685151	26.605597123573407	16.59595518895095	-6.577095939123795	-4.894443610566882	-4.180755504753865	8.71683649161607	-2.0555444611414475	0.3087307730778934
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.938953787632086	-1.6626274386874829	-4.702857152378519	-4.2034838415473015	-1.4925717241559913	1.3694382039332185	6.003151597545406	-1.8218518101833348	0.5624026127753969	-1.6006839539734652
1,1,1-Trichloroethane	-5.923038991365751	1.2200131396228537	17.741009251454404	11.632472541646823	0.048212105977016556	-7.09680909381247	-3.1112846052504235	8.639237549291456	-5.124171402040999	-4.9154138533939005
1,1,1-Trifluoro-2-propanol	-2.9012451645637225	-1.6646739044093	-4.722554940841616	-4.216001233945509	-1.4676002980041793	1.361530483192129	6.005927288038107	-1.8518127490017686	0.5360140771479008	-1.6132537095635013
1,1,2-trichloro-1,2,2-trifluoroethane	-6.941901571476957	0.8667846925210975	22.385022884876438	15.223764166596167	-4.139786255114153	-4.365378445212894	-11.920994578500386	-2.534771087878401	-1.2576218859735	3.3287026868477674
1,1,2-Trichloroethane	-8.253902916386489	-1.8870065909865288	18.534358001571057	12.338778487258834	-11.173025019377697	0.27554261909028244	-4.61692915941178	2.8392757159479696	0.3652440480725433	5.131172354162348
1,1,2-Trichlorotrifluoroethane	-7.55677812965585	-0.13003710932609472	21.42338986237222	14.029223846521498	-5.680639346529986	-3.7704721414996456	-5.374531994732535	5.106792011175134	-2.772485578028496	-0.38072454468569017
1,1-Difluoroethane	-3.17694035127134	-1.4185174011581572	-4.667596258018179	-3.505742007074311	-1.1378557715438153	0.19283159651799084	3.615500316128399	-0.9863944876813467	0.3677070900280653	-0.7489544100322856
1,1-Dimethylhydrazine	-2.546030714322167	-0.9565204998224108	-5.271205876483545	-2.448300699129794	0.5191708065408399	-2.5552623385713713	-0.9418414611017345	0.22872058276562837	-0.9954633187109241	0.38791114992540077
1,2-dichlorobenzene	-2.7798892860572537	-0.13754181784092456	-0.3954994812820549	0.9574366370266362	2.1457703316395143	-5.578722391080168	-1.8642326097027233	4.636538341394325	-3.6050687989849695	-2.403182465954045
1,2-dichloroethene	-2.3054004994586488	-0.9611674304688327	-6.047774941250738	-3.356241732455347	1.168053341187981	-2.3902417928746975	0.8076178461770516	0.22193971760526512	-1.1674475245335676	-0.7441771975303837
1,2-ethanediamine	-3.397807218308389	-0.7395038009618061	0.9449578569068146	0.9342256940702683	0.2795445991345749	-3.4330395886512064	0.8071586515381769	4.365089557807484	-3.095204660008441	-3.34645698159545
1,3-Butadiene	-1.741851739388263	-0.8254614657961094	-6.584886425888006	-3.3119897806911105	2.055920931257641	-3.3069760865426527	-0.29893522242840953	0.3139622830229296	-1.8630156812779504	-0.7161690106665741
1,4-dichlorobenzene	-2.8108786566396518	-1.2997118345227847	-3.8861532960634952	-1.9236401789815067	-1.1360778275327141	-0.8968274956697183	-1.2326205744961236	-1.9930176337928711	-0.21677857286053565	1.3577048532813012
1,4-dioxane	-2.703252186278703	-0.9956652324217484	-5.601294064198649	-3.1007529571474555	0.6341607866554367	-2.1309799283940163	0.871068374660063	0.5023512416623479	-0.8177988333354581	-0.4918372682433712
1-2-3-hexanetriol	-5.485127046488764	-1.6330809493739515	6.366002295424292	4.525145420960607	-5.231772146180614	0.1767581618760844	-4.083663445951653	-4.450053060817875	1.35296033999246	4.571119730734685
1-2-Benzenediol	-3.391543520938007	-1.4600257060932655	-2.315793751913461	-0.1584329772334508	7.338063614867484	8.897301296867415	-16.978248366626694	-19.225734036470254	0.9153358963515251	-10.797876501554018
1-2-Dimethoxyethane	-4.420235579140298	-1.804636396644637	-0.5670343178336782	-1.0702600709695007	-3.9930373525167955	0.8069519999280161	4.658148771212543	2.1361804230871253	0.2652832822618703	-0.5943172793917365
1-2-ethanediol	-4.295113662673151	-1.4963757485495788	-0.9221342914432494	-0.4464102998333397	-3.0648930252307727	-0.8737149817919913	2.1866439691268504	3.381637837807385	-0.3901491241854927	0.04601445267956029
