Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
1,1,1,2-Tetrachloroethane	-3.090325082442222	1.010183950321479	3.874686563100718	9.075602870853412	19.0599124398457	3.454391001300727	-5.979412011019032	-4.98081053943544	-3.7279762560652707	-3.198068090119332	2.4142677514961126	-2.475293902903914	-6.400973737173868	-6.211617492897985	3.0557460671868113	-6.997526228421095	-2.891195797875913	2.4068453739593934	-1.4424627950198505	0.5440605613295975	2.3911085968093633	-2.8391198329830805	-1.414030718232118	-4.0286075394210785	-2.9992878912152645	-2.1781644159490745	4.84650524286741	0.8026844373490565	-0.9215484930510778	10.358323968895842	-2.9341405047856854	0.23999270193664024	-3.5751047343688884
1,1,1,3,3,3-Hexafluoro-2-propanol	-8.010758470562278	2.7688189868644857	6.109442566509674	2.629624725397649	-17.078123445624822	6.912244661916865	20.132452956656373	-11.233170084817441	6.257058297623245	-2.1635808774202623	-0.7050135747947096	-9.478209271231147	0.8297602409200666	-10.798395763473884	-1.5888066048244691	2.429540594003174	-2.889337162554086	1.6473719560367368	-1.0656954793472893	-0.8676538310730356	-1.5050436235469866	-1.7942812490548643	-3.7180577927961553	-7.131111563230561	-1.842943585482314	0.4199850165261202	1.6788736236648787	-2.513353214934158	2.0823730489509122	-2.0494490605186164	1.0573578362602742	1.94481474484257	1.1165683813350855
1,1,1-Trichloroethane	-2.267976758359303	0.242137277256855	5.020975853448678	2.631253374832227	15.060068083220646	3.6974389704313584	-5.201248508722295	-7.639634284245373	-4.457714262643583	0.6708371890668738	0.6716413194269654	-5.034715996903634	-8.189739054660302	1.7012501374467561	-0.8603253547587112	3.0323506759453127	-2.3556186142919797	-2.021898473496202	-0.2460056935132964	6.399018728327753	6.902919862896129	9.496868919867758	-7.241711832202518	1.5475980083544052	4.54080970168862	1.8702827102976747	3.3264471773473394	-1.4469245169917602	3.8151099038584952	-5.560637034105122	-3.6868765031936523	0.17680780848079342	-0.46562339173145895
1,1,1-Trifluoro-2-propanol	-4.9610711591528736	0.923499963693324	4.682071755985163	1.2384439841121304	-5.860260952588736	-4.029094164316426	8.716664454535483	-0.8303377075548166	-1.8311573587899206	1.001195349523716	1.3966705442990484	-5.83233624255453	1.262625419726324	1.9004869616240576	-1.2446662375607167	2.529018550410868	-0.4090575665799187	-1.2160909436431675	1.2361172079862084	0.7710732269676811	3.911906876329802	5.018773048359554	6.828478694781395	-4.2420401346974765	5.124621671940047	0.9646311548571265	0.6759590268719324	5.5347067074622425	1.899166503457608	-2.9045095573026867	-3.57546317781884	2.1621167283196	-7.345529319219048
1,1,2-trichloro-1,2,2-trifluoroethane	-5.333669217441637	2.326562526067447	6.675350555508781	5.842918274343104	10.969320992554064	9.416238901112184	-1.720687987980295	-6.1635960470142495	5.760500673957827	-1.6329965038134528	8.858879664399762	0.6205225677432317	-2.3931339246571213	2.4613598173338946	-0.11759759894232892	1.5040935458550928	0.646689292313736	-2.550800817526424	-4.047691245591617	7.188830967356702	-10.673730913042995	4.021687314342181	1.0171928356233972	0.8152961451913959	-0.1108428074694789	6.794402627573397	1.6219239679491817	-1.0288257664300653	4.906717336673491	0.2992656753836768	-5.482633166541645	5.661658753542731	1.6228272310580683
1,1,2-Trichloroethane	-2.368788095866993	-3.4007047126360854	1.169139212184991	7.75403941453438	13.01891164589149	1.8775641075820158	-4.628517240921715	-3.4116672847411933	-2.0741314529721517	-6.300533120075939	9.734969956957451	-0.7261203817652891	-1.1062411391332736	2.735834237839756	0.5076886506460636	1.069400805213908	2.146935313611776	2.5992325001977146	0.5862670901482191	-4.281313434305832	6.259088599140816	-7.057667523341262	4.42452844197434	1.3866087875678408	-0.8632971971311619	-4.908287775678068	-0.01102125962020581	-1.5551540995868138	-4.9933027075764835	3.478128775862354	-3.225074728651816	-7.945017631872606	2.3737282024904878
1,1,2-Trichlorotrifluoroethane	-5.1473470248814355	0.531155139718146	5.539702972343865	8.139039228421732	10.933617480064516	5.6926378156106345	1.8367444724913677	-8.53475225488151	4.525477459760542	0.748755850531742	6.878407195706333	-2.9317549354247627	-4.3702424453595645	0.4038406825313784	-0.5799721531272479	-0.12274648921877254	-7.637284171359032	-5.349416132854096	1.9330110652265189	1.6044051112773698	-0.10041559366476634	-0.28280143520372625	-8.335521501587865	2.9826246172983257	1.1229132044502914	5.012368174357452	4.681707338193808	-4.171841906542697	1.387138823016624	-0.11734912497634403	-2.0008744333115644	-4.676864654456854	1.5560953341821315
1,1-Difluoroethane	-0.9063190827909	-0.38469633828817296	-4.692836473926256	7.117564314318823	-1.4622933979529957	4.806509607795075	-1.160805651900378	3.1995372438736616	-1.7871916220628272	-1.787020082128743	-7.272393493799295	0.4629514074420041	5.662601012071882	-2.522272352124109	2.4450122342453957	-6.248275034447518	3.673490637509428	4.895819383259615	-1.8545405496947813	-0.12865394394084673	2.273839107025604	4.4290990591502455	4.3000975340120355	-1.6362479971830288	3.6323111518389957	0.908782620452039	-4.375370417389926	1.742976818951429	5.989257819026511	-0.8853798526450041	2.777000344400538	-2.3889897924722927	-4.171591687051816
1,1-Dimethylhydrazine	1.8880730445697673	-5.128178484237301	-4.914859943644778	-2.3407134246087136	0.43983562002797627	0.6365657890216956	-3.4152215526953125	-1.3907376135179776	-3.7085010617661647	1.4815472833658356	1.8219854286727672	-0.787042620895847	2.4869719051619867	-0.5701319092327046	2.1181069070374985	-2.7787909882413566	3.523276949564672	-1.5422107624065662	0.48069018807924385	1.1017050987798638	-2.1687268907124397	0.3551678782939696	3.2753038946110378	-0.09798107775962477	0.35663910429449924	-2.3262759867027887	-3.581825305201871	0.05187480564440109	-0.08123491316746329	2.318642151173601	1.609884944156793	1.6425873594036107	-4.217464564657681
1,2-dichlorobenzene	-2.797824170950604	5.494500632734748	5.184690482181242	-2.554164660520006	7.285308660352377	-6.529451154430336	-1.2659375123748342	-3.943381002951141	4.019256393509663	-5.610712573383627	-7.742931703090557	0.7671530570297049	5.5151661844013615	-6.725793544565523	-1.5242917106239078	1.7549263055607027	-3.5158716545323783	-2.6659334851669136	3.384138738829248	-2.1617380500484087	-2.441974310622458	0.8748938464000257	-3.220383243002899	-4.630262128036431	-0.09205757877123842	0.9875881586739683	-4.910931064341678	-5.734684742722584	-7.587100869726845	-3.370063275381552	-1.7543791039947387	-0.5073685032780022	-0.44104891637485927
