Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35
1,1,1,2-Tetrachloroethane	13.42276407550742	-1.8346780997510743	-0.7973285617099442	5.555646281642225	23.714345514180287	8.621230479401842	-0.8048753534523273	-6.123259328695081	-1.7969019320283026	2.6416658923653227	-3.61382619775385	0.7241206671351071	-2.4574035349196155	1.5031779245986079	9.345127864410234	-6.7523706741080725	1.0589526632333488	-0.7865456158043346	-1.1274375005427024	2.3148914050651963	10.037479635220235	5.723896488645523	4.904626842939084	-3.36217621820635	-4.6720469165310305	-2.6326891976399427	1.440163893175974	3.557996724767256	-0.3399808089578888	-2.9519692960375767	0.2839632328710198	1.1660094354561437	4.104440685776256	1.2388926089836896	-0.7479473203293868
1,1,1,3,3,3-Hexafluoro-2-propanol	20.36384222880435	-0.04764823647995943	5.855814764781327	-11.438549439979996	-16.955847150876185	13.378389041828553	10.10931512744665	-0.8079220254800034	0.13990278541289755	-4.372608399409197	-6.450912516771232	5.920725255395071	-0.4766219838161472	-5.150585616793667	-0.09938930182974633	-6.017804962846106	-6.29082488125598	-6.344240746980916	-0.3154591102786138	6.383652331126135	4.1383659780600555	-8.089744224742667	-0.1878517587197843	-2.9905940283148986	3.679356920383193	-7.180141046901697	4.739780148859309	-1.9632764200052315	0.8618804121627899	-2.1294369163431632	-6.159190499065193	2.2691973215943517	2.26108672163191	-1.2031142263080898	-0.1272062290660777
1,1,1-Trichloroethane	7.29184669819796	-2.902262462003168	-1.351115174587568	4.687512959420885	17.368889527109307	12.139139397212004	-2.2509012491038	-8.338204588450765	-3.2304627936083246	4.63241811780441	-7.526160321298934	3.929685806058352	-9.108498926150407	-6.14561538132082	13.418688378164154	3.757757829328679	6.228442709150327	3.783834760378929	-0.7064362960277049	-4.231689013918703	2.140128943374851	2.6794179638613937	-4.079303976165091	-5.826965235819823	-0.48612291280596837	-4.659167822513269	12.442032041404195	3.0874166671407433	6.201031720971	1.4314048741239032	5.707949518190501	-2.134318566787101	-1.3942988175958682	-2.423472101917799	-0.4102890183457711
1,1,1-Trifluoro-2-propanol	17.567385310567637	-2.249362872698515	1.8224440678128924	-8.524278939104866	-10.670052847818614	12.64819818538758	2.311968012167148	-2.7466260499269866	2.1974549772996443	1.2846595972720758	-3.8912331638345776	7.328920891603519	-0.3131438999269522	2.117319752440249	-1.9492079699105456	0.8622413833745198	-5.144115371659927	-1.9997482342268038	2.6704806154841627	-1.6726955227279399	-4.9250193589144216	6.13987072907177	-0.7568040890907913	2.898508396379017	-3.4907464925756977	2.0365078731381216	-0.6613690824551648	3.687304519921024	-0.24671329510073867	-2.0910553337166315	-0.07268156081968206	5.133923388727597	-0.0221112566877759	-0.10408338158051572	-3.146445577341567
1,1,2-trichloro-1,2,2-trifluoroethane	19.82890999584515	1.2174597532690905	-0.6985596025791851	0.15771401080090533	24.836772099803394	4.665434192680487	21.380789793586555	-7.410177213737597	0.8756291881234668	-4.941801851516002	-7.108125881530163	-2.6409550921471934	21.872967409710114	4.513938455949262	3.1115856978524237	-2.174328359200086	-5.02084922321507	-3.2642840440605028	5.298453528893912	-9.24835164091289	-1.514092663077496	-0.9579412265704585	2.944599833651977	9.83358764645743	4.845263504274363	-7.771828595321506	-0.404203262751591	-0.47314514750554604	-4.7162894662793295	-0.12391554495608435	-3.9141545023072966	-3.626811023695548	0.3162782418213909	-2.7720710304786826	1.3244532439944152
1,1,2-Trichloroethane	11.914836787021859	-4.498005535294986	-2.156459904091312	1.07453448483372	11.63318029941212	5.9153872421102145	-8.117142711373704	7.773100822207705	4.89774113291604	-2.584170223216719	20.441793206076596	-3.4401359805941003	-4.474706873123283	-2.0932677703435156	-7.04488698951784	-8.500662128980377	7.018046774386365	-5.698979422761032	-2.050568540553385	4.893729918616152	0.31229120856718756	0.7073294636426234	6.393235990792772	-0.27548635116063624	-12.41970832768884	-2.037892087205878	0.9412404308559408	4.6638730442147605	-0.7403613796449384	-6.596204434038144	-7.7556230490383875	-3.388286305700797	3.5471916723232213	-2.382028530062461	2.2873455538225222
1,1,2-Trichlorotrifluoroethane	17.235675739315823	1.087935893681719	2.4972915054546827	-2.1330694652290374	14.396976251668528	5.404158902314779	1.5087583501760546	12.041451041882539	14.270001625729725	-11.944925567786832	11.494973263966813	-16.92041033546071	-8.45696351441111	-12.696754877447994	-10.160447078308149	1.0438340653821192	-2.1989596552045376	-0.750864127626134	-0.37160103210347817	3.4700173465808812	-1.451776237476648	-0.22009109274503438	-8.579911682553625	4.8653463564178	2.077700337738862	-1.3666708404432635	1.015642983436242	-2.290508431363819	-2.7340388459541183	1.1622761852455705	7.306724028307244	-1.901843590008712	-2.4122877768423256	-3.278736716618526	-8.090549592257311
1,1-Difluoroethane	3.424715667441796	-6.212320954030302	-3.108792668437269	1.7110861985709351	-3.6161680374061076	11.36789503352173	-2.1907624138039123	-5.858831603028426	-4.079408203829936	1.5072576204129906	3.1588364390941526	-4.90788454350194	-2.4262571002480335	3.143030086800695	0.39234081792479536	-3.858579768002026	1.7372773160199415	-7.717010012002835	0.32855932176042885	1.758686716811128	-8.818176671797085	2.704437559521794	0.24356623934212282	1.056374989652536	2.577019305926869	0.7114514805856162	-5.870773963205844	-2.6523511389092027	3.4346136722687093	0.4960016522762568	-0.6741365830775543	1.8549074969931274	2.892705394807573	-0.8859757925337944	2.9830914271937874
1,1-Dimethylhydrazine	3.5953559190049185	-2.9273043984222786	-3.9469254765813915	-0.7871958905685823	2.854629040691636	-7.181738379882054	6.925486076892937	1.4368514658616423	-1.2704205004762936	3.492971014558967	2.692997924648346	3.7177715458294522	2.1443300626671062	-1.630517903794076	-2.6014743341157835	0.9561855281301362	0.7242668665736868	-1.8142870627328778	0.2719265690045806	-0.2637837189938007	1.8193733743431355	0.5858176683148497	2.4646590277931018	-0.36551079753554316	-1.8538695182912879	-2.214227111322037	-5.029035650518983	-0.6357877816489098	-3.4542515030913044	-1.8298937754838334	1.4483570616370431	5.9792299075877215	-2.1503495902425187	0.5463377893399187	-0.5806306233700769
1,2-dichlorobenzene	-6.979579524774209	6.780652479087281	1.4380702593707806	1.2406453528109829	0.19680356998565762	3.340616355457291	-5.544310792955622	-6.13393608281699	-0.3008867800390746	-3.5731210664942696	-4.534443583721546	2.680142917910615	2.5221065124444246	-2.9778485799321124	-0.04598469423260687	2.770984134852909	1.9016257708169493	2.2387328978181005	-3.074773620861678	-0.07844886505865672	10.193100228055187	0.5445295303748486	-5.555259253664443	-4.4601771714228065	1.678687051221864	-0.8286362676057251	0.07400162588903941	-0.513556444606336	-6.78455827017156	-5.1252121602800615	-2.9996002269897217	-0.2856203854103918	-1.9014449869301608	0.5831424921243312	-0.385883738396526
