Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22
1,1,1,2-Tetrachloroethane	-1.8086385469175386	1.2722856768180917	7.867231210860732	-2.7225397039695207	-1.917517318489476	-6.146897256554136	1.3189967265895923	-3.344564358171313	2.1937166682142952	-2.5002343371326687	-4.6029783668993725	8.155186304640115	-0.8251345166436335	-6.965603378610919	3.251771701089144	3.3947842709195593	0.4536364440697024	2.3216880485602767	-1.0761689234171172	1.4830454509692264	0.9448921058897427	-0.36698085885401666
1,1,1,3,3,3-Hexafluoro-2-propanol	-1.9203388212370585	10.33804847414144	10.342897287646116	4.140979721820101	8.53112070851598	13.46887269370247	3.861029435692849	-0.14508757240767958	-8.09689860014647	-1.570310487825363	4.5353162900093436	-6.203950498032422	2.4649398022420073	-5.528607337307078	5.401136949894876	-0.6511410405187469	-0.8125771634773847	0.8789353927069262	0.2813770250315701	-2.461772026020943	3.8177164398266084	-1.607694455314436
1,1,1-Trichloroethane	-2.8641615069429727	-2.561531292984412	9.673331758658469	-3.212361765147143	0.40677676053797773	-5.063414487517716	-3.2231569241215396	-3.1555662241714812	0.1377820450840027	0.6787281934231519	-1.7340062423393932	1.6661012039758822	0.4804422278965857	-4.053605065443752	-4.891978410348484	-0.399610803955869	-5.705454271705259	-7.045045476338262	0.7211925130357258	2.941038057494861	2.386463828351608	3.4996586227415554
1,1,1-Trifluoro-2-propanol	-3.776373717334329	8.342225107250057	10.627811931909617	5.143442253552333	-2.884237822149155	3.355088516477914	3.8970011415841226	2.898867919771869	-1.725259545925017	-3.879624294696574	-4.983336338026883	-6.066755178462084	1.6780753358588192	5.581081255135667	-1.0907899939576224	-3.2205376917054056	-1.6472991844748182	-4.1450568729169195	-2.0388699732891324	-0.9849448320735843	-1.2319447886132715	0.9552174128456393
1,1,2-trichloro-1,2,2-trifluoroethane	-0.648314371691857	3.1555966015280252	5.142469591747361	-7.165019881994579	-5.049210263881326	-0.029419092844774238	13.743509138655828	-1.886599195286496	0.8606375277315823	1.5700587817143263	3.1488480455119845	2.8233933419713857	-0.6620521384270187	0.8742500819249553	-7.850700752127011	-4.839856052609987	-1.1580680461006159	3.144915154575441	13.327929191727558	-0.4774105711451463	3.7561773672552228	-4.411251418907166
1,1,2-Trichloroethane	-2.612747537550714	0.31703409970688506	8.1370278103198	-6.400329369012302	-1.660469062514455	-2.1523359742160637	-1.770771756523779	-2.683743554289127	9.77513090239401	-2.9277899744214166	-4.720838070046569	4.706102923639534	1.0211126872699614	-3.8604751899438763	2.5918702272928202	0.09548289251613082	0.2883936315405036	0.05594182391512007	-2.2382260023310443	3.805629690107571	3.1104785742432486	-0.8700267469349378
1,1,2-Trichlorotrifluoroethane	-1.2787022988511647	4.181485872608777	5.464880441985433	-7.75439215347042	-0.02340070760241444	2.250836672353296	3.2574330196024937	-4.03547508719185	2.1548257713569594	4.092919234823363	-0.9625013964369501	3.288316754065878	-1.5870474801794419	-7.340201998095904	-0.5458388498749368	-7.007653608420711	1.2080429865042752	-3.444230140351702	-3.64315229723419	4.136852219408643	-4.642082506703251	0.8777692800295875
1,1-Difluoroethane	-5.163286690747514	-0.4551373715484757	12.37122481279616	5.174054103680832	-0.3576152032009917	-4.217902796639353	3.475399932006818	-3.3657431274931278	3.270785382036582	5.215564821839628	0.44242862231770447	-2.5622654039431887	0.3305380356927236	3.1952085719350802	2.071385209577549	-0.7425904103698427	-5.107601979272118	2.9608800996348834	-0.0825868808892103	0.4185929910046797	1.5481675025864392	0.7903418313723672
1,1-Dimethylhydrazine	-4.350233235029399	-6.464517109664564	-1.8091329558856823	-5.786337307812406	-2.0813143699893883	-1.65575368788479	-0.8656293127713716	0.12319396601394829	-0.5253809875980765	0.39133449086389277	3.0465427299573435	-2.2083021113483348	-4.357399458897274	1.4478168563641063	1.4205736311100854	2.2045363972132184	-1.6780773431767344	0.24232429788860102	1.2055619805161373	-3.668735407576944	0.1311303192508301	-3.714400901769197
1-2-3-hexanetriol	-1.4744707161425894	10.556605407799825	-8.68659097771422	0.7146672365205132	-0.21519058542397673	0.7508493113281249	2.880796450960519	1.4145343065755303	1.9006770959017025	-6.415490216516888	-3.356039160162123	1.1910144439502077	2.348751837347707	-0.048574369158897276	-1.2791322006477208	3.4804739954374906	1.6924854361786676	-1.1376265184341499	-2.015844550456106	1.941306653750185	-0.17274751953712655	-0.4662885749758002
