Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
1,1,1,2-Tetrachloroethane	-3.275404028891811	-6.780160647703936	-5.081951406245726	-4.584487470655997	-0.22936334979800424	-3.3938572798975217	1.070451549451629	3.961848450197523	0.36634406897949573	-7.952995741929236	1.6760795115040255	-8.74543503879061	-1.6834183299537837	-0.21117289893326957	6.261009270277629	-2.245433322256725	-0.7860559295451224	-2.3780899644109437	2.1082022068021757	1.3914327939490274	1.4406858827878217	0.4737534162044603	1.714294073329188	-0.5800191838190644
1,1,1,3,3,3-Hexafluoro-2-propanol	0.26869987063999723	-0.6293001665438513	6.9020635003531305	12.568467330549774	-11.09765076553537	-9.197228484718238	-5.478094785126338	-2.6887676378398697	3.8782190723964733	0.4294654056930411	3.9546540568462323	9.395117956751225	4.259503681035636	-2.0919663287312225	7.490038359125965	-4.001257450096738	-1.3683155040157404	-1.6272193254425393	-1.1108849350803087	-1.3926142625937172	-1.831828601334765	0.34028795140978274	-0.011645170005961143	3.2070712655365186
1,1,1-Trichloroethane	-3.6848082063253713	-6.165111418147751	-7.047776065808266	-1.9614964071338359	-1.4234988381579678	-3.2310157144781466	3.856853364431854	-1.5443688022314785	0.7099475035818142	1.3965661486068253	3.354029979009332	-5.109995203317915	-4.902648220844087	4.388912428669464	-4.05241118366241	-2.2355197825543094	-0.8592091809031623	-5.278099168677645	-3.299315503795772	0.9923070473063806	-2.277546466234647	3.393763002232546	-4.700539836967279	-1.1366017137153837
1,1,1-Trifluoro-2-propanol	-2.2431241293954125	-3.8966490290592715	-0.7761311314604377	0.5320036196997393	0.9132988776730612	-4.902912559913745	-7.323798698690343	1.4784624958196033	-6.145696826436989	3.0633988724777708	-2.3770269872859346	4.799184950533588	0.425594089568062	-1.0060498628737915	-3.54903321632558	0.8662390163620186	-1.4840029818743126	-0.8347993105346765	-1.9778309664503306	0.6221635701486284	2.9979622086302102	1.6655736712639795	-0.07635240356243231	5.7005174460222765
1,1,2-trichloro-1,2,2-trifluoroethane	-0.7310609058548944	-3.8700820377874323	-3.1101800154828307	0.6259851335013783	0.8525001143884048	-2.1890730661794744	3.5559538713933336	2.285058070822993	1.4536122380071879	-7.411163098204836	-1.2705271133119427	3.2481915724484463	-1.1656089125395321	-1.0782532739730726	-4.460288696958257	2.915276038156805	-0.9436857508301402	3.6952151589328652	-4.903877881404799	-2.016491568595459	0.03899288379074457	-1.2762265940497222	-1.6904320183023454	-6.783282901026209
1,1,2-Trichloroethane	-3.1850173252205973	-6.814099709263148	-7.129702341559032	-3.846995408884484	-4.90095467500534	2.5134729821351036	4.885872321292686	7.225086695214237	-2.5738076715872005	-3.900047311353823	-1.46005507529874	-7.9099566161733925	-0.3381373835449609	-0.6797035822953271	3.0555273338082056	-1.793539490136063	-1.7593549070958139	-5.510552143564562	-1.368106954693252	-1.5689594501173738	4.247045598469226	-1.7670947244378667	0.9554185695297651	0.6424409947716204
1,1,2-Trichlorotrifluoroethane	-0.9103600422397701	-5.248213388119064	-1.8101530139636106	-0.2769471940733529	-5.033291405898867	0.5894019937664623	6.678516874911898	3.536933383956959	1.8435358023813682	-6.877453153095187	3.7416421739469516	-2.0086463460889545	-1.632476115700022	-5.437858420760155	-1.1352077966898666	-6.948941528527897	-1.1239268916468956	2.2712013501139645	-3.2857243219088272	-3.0289612257066754	0.9043419630813765	2.5267388863766715	-5.109094662167311	1.1099537466393743
1,1-Difluoroethane	-3.9836801283207643	-6.047405562714253	0.8210733804938141	-5.424704318180513	3.2246305587051927	-3.9489621800385284	2.2612103436768263	-3.6270274001265057	1.0872278359432577	2.3880693654583656	-0.7109238550821882	-1.941854993325899	2.391212174009252	-3.1925671393005	3.189992826833206	3.534115689186623	1.8454927641175085	-1.4319434417237573	-3.99267519132045	0.18158093348532023	-0.3203479944982088	-3.1851153640839285	1.3565171942301046	2.701223511607419
1,1-Dimethylhydrazine	-5.6934096628481825	-1.6255764586842165	-7.231121452199118	1.6494475656410998	3.018824835237247	2.8566998013458265	0.9305496782145474	-3.5633548200487746	1.3968545358748599	3.007189948714398	-3.3362460479035834	1.4995217287302418	0.04350166278209534	-0.8893092943526808	-0.4516709276777384	-4.734267055636686	1.3549642528484735	2.0160472339227176	0.738322086928834	1.9668768480577226	-0.5171873299130839	-4.063986608153058	5.558080692093089	1.4316203908217688
1-2-3-hexanetriol	-1.0089840026792438	0.4006245551521376	7.282752551612999	-0.9154245960634809	1.8284724807662263	3.1167933714208957	-2.0123999493463303	6.1936541152139455	-1.5935005676561251	-5.06039475457662	-5.634583788879428	1.748686185586552	-2.9450180664093457	4.925156418022696	3.2907282513269847	-2.9567414661458558	0.3732804311602191	-0.7501840540575414	-3.9364644194153127	-2.303705967310361	-0.13030677514444652	1.977138592846744	1.0214624224508049	4.868969554013676
