Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
1,1,1,2-Tetrachloroethane	-4.138836804223878	2.67419324775085	-6.774049587123598	10.002467263913204	18.740507874238936	1.202869035921394	-9.41164295845593	-2.371662594804424	-1.4920841222645949	-0.2909413624777092	-0.7423152747604381	5.046364969294203	-9.536022808689141	-0.5719637318070513	4.611371176241749	-2.7516205472218846	0.37111966162892346	2.1162644748135184	1.9513539449206645	-3.4253700862085723	-1.0349402798902159	0.3791600034162871	-5.78006188230345	-0.30813834815611096	-3.656684872321793
1,1,1,3,3,3-Hexafluoro-2-propanol	-9.114508339889701	3.6926622168426384	-6.178711019016339	3.799552472427236	-16.409339463607406	6.759315193514399	16.822316661384455	-6.66648597773761	6.763129878730797	-9.424304352218627	-10.815901527423174	-1.2309810140852584	-11.61797895155545	4.41410108779106	-6.489826939252105	-6.570694853551165	3.303533519568395	0.06263339431833458	0.41777063956791677	-1.8132375965916425	2.555852001070601	4.869037706970909	-4.540546247275482	2.2526894659790164	-4.588450933860308
1,1,1-Trichloroethane	-2.9773952824943297	1.2019818219799765	-6.518633402219471	3.0335138286337693	15.839710709965038	2.49364105931097	-9.247780191951755	-6.120833127332304	1.3978395745873677	2.7929953397244547	-0.5743121105012096	-1.4383261318311282	-4.375457613804363	-5.394324784712514	-6.533887094179399	-3.0704871061111843	-5.012367437039735	2.2977511152605334	4.037083681623904	8.320058892215181	0.596160339159875	-2.068002417092536	-0.35488713442835645	-1.083487645547734	-3.2559949419366667
1,1,1-Trifluoro-2-propanol	-5.757782329893144	1.2418001780353476	-4.396454118681781	0.4040285017140173	-4.79646103547112	-2.200328794581882	9.379528483403469	-3.522268430489023	0.8445381614899306	3.1034724458275327	-0.967768085690442	-7.091533033656951	-1.8926093569744658	-0.9441184409515876	-2.8514692702230766	-2.149183986578384	-2.5780443997569287	0.8769506829356182	1.4531118736109612	4.378011966844251	-4.80158378753843	-1.3069057182905062	2.997743509340159	10.886023527817319	2.7473719283990747
1,1,2-trichloro-1,2,2-trifluoroethane	-6.576076367032361	4.696107045537345	-9.577801469433059	8.257109898622174	9.064631288763653	9.001973372374245	-6.690547919995697	-0.2211047991715092	5.889857606490104	-6.456330888535295	2.3313810097143564	-2.9733863354131236	-1.9091946630018908	-4.913484219140981	0.06689289076632193	1.4218080673720261	0.19042599738538546	-10.181102776473354	-4.922561490194331	3.837099182035919	3.250619446969668	-5.0551482881564125	4.020284720853748	-0.3967711047868593	-6.46482597374013
1,1,2-Trichloroethane	-3.3938614459949963	-1.923341449827479	-3.502077403210353	8.840285901969981	12.575965999451379	1.6818596035023061	-7.453734654855496	-1.58786571424841	-0.5429520810237513	-1.3406884859896198	7.458899196258573	-4.702496892347704	-3.85146401238158	-0.2497252557451688	-1.3749790631146142	4.5576128658218735	2.070701597152605	2.6032528366572634	0.5740332954181944	-10.081591219725192	-4.693305284999738	-2.3623455863769665	0.31803223999681923	1.5213655476504018	7.003410773178435
1,1,2-Trichlorotrifluoroethane	-6.293320663404972	2.394731707058167	-7.906426254644072	9.197257354979179	10.418932545810211	5.013358060123547	-4.444527390473577	-2.270188660493555	7.810286311386094	-3.3587289078649145	1.0637839460845075	-2.7825671458710217	-5.017329032072579	-6.230847542513499	-1.6618208999042303	-5.168865768678806	-6.087400343150365	-0.5521504517504744	-2.6394143969464103	-2.2265043615366302	7.69513067249724	0.23281573387445997	-1.0065126073460953	-3.4157488738472237	-3.131217566639535
1,1-Difluoroethane	-1.7843712654487183	0.060951395289427085	3.0165312743766757	7.684208273663948	-2.200840244753796	2.2413224530389506	-0.951940226798116	-0.3548123435162718	-6.245417211029286	0.6135649732665995	-4.616626353425653	4.054516319105819	4.231852874531054	3.7058857000239325	6.024224988143507	-3.77946736451754	3.9346161000237063	2.3279801864312337	6.203753334600233	2.482854586616374	-3.097187436482197	-1.8052536311600869	3.5062273207743444	3.8884956984285943	3.8154834137763283
1,1-Dimethylhydrazine	1.1807658113417943	-5.00171857754408	4.745296910380163	-0.7793489849972194	0.9154452282218081	0.9581037687424845	-2.823368566715903	-4.181950134187478	0.2385727591016123	3.3031536681614773	-0.18267865371921033	-0.3403040058743541	0.24003501942975156	4.277675532539112	3.1304094714242052	2.6236620843920355	0.04699685552416923	-2.5503993020760993	-0.23291519325089896	1.5810865609784528	-2.147830001614143	-2.3019651373248937	-0.024699826891329706	0.10988797997585947	2.8698401224677985
1,2-dichlorobenzene	-3.3484013734238274	6.579739659292712	-5.599908217636749	-5.377189876101946	8.356507262943158	-8.00944163840729	1.1201459691648314	-1.2674019482616798	-1.7180463631071592	-10.843368450028517	-3.1700635868691824	1.7588232837427824	4.9833843997594665	4.937938014020189	-1.043066626403729	-4.926169298814731	1.4524762953260575	-0.040248882834761	-2.1600433987610264	0.23745970956329557	2.989266107247892	2.911930033523872	-5.1855727762381205	3.2400284996372206	-2.3130814596614413
