Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
1,1,1,2-Tetrachloroethane	-8.230722361690114	1.7343411962975883	26.458283355595718	16.73257600159922	-6.826533747133697	-4.803176231978014	-4.0939222384889895	8.787717200999772	-2.0662047398947627	0.28740671963228914	4.356955565997555	1.0369882822460161	-2.0154826453740022	5.50564852880299
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.9313154972173976	-1.6625739553460666	-4.666951178729112	-4.232826819872483	-1.4304226806785232	1.364366216195924	5.950452220446551	-1.8984785116691236	0.57292730274664	-1.5888123619631978	-1.26146098545052	1.5787751282933722	0.2368906679568281	1.6395719813976992
1,1,1-Trichloroethane	-5.897667771770925	1.2508470466338637	17.773811183394628	11.819827545681337	-0.16006052573091567	-7.039031221154401	-3.1312687048260184	8.649889191864393	-5.136871743912824	-4.90021138059463	1.3419634779502212	6.9568620596652595	4.153145669877676	12.242294373601148
1,1,1-Trifluoro-2-propanol	-2.8937030752238067	-1.6646273297460894	-4.685632076432857	-4.244908548738808	-1.4054251867556427	1.3567355018627036	5.952631559521623	-1.929126334909297	0.5467353191234525	-1.6011510211836826	-1.2912905951903706	1.6260779884255216	0.2176210018107639	1.655094888824876
1,1,2-trichloro-1,2,2-trifluoroethane	-6.905447196560289	0.9097825445517848	22.41068225090983	15.454371226956846	-4.326178950801376	-4.2413452517886565	-12.058613693813687	-2.519205981819853	-1.2811019211049055	3.4095146412660085	-14.24798194544575	3.4869373587763466	-5.437806496820477	8.483802283558548
1,1,2-Trichloroethane	-8.212472100085991	-1.8678989674679856	18.308505050693817	12.342513551805556	-11.323215521638128	0.38448264439764956	-4.461100836894361	2.9407722431599694	0.39345784565037156	5.054829059041592	22.48693492070852	-4.909931143687489	5.086768019105179	-11.790307106358659
1,1,2-Trichlorotrifluoroethane	-7.517600508769842	-0.09790073726902392	21.34346248445142	14.169983755733549	-5.878108910977342	-3.6737554112572144	-5.358798594774716	5.147137783441484	-2.7762002402969177	-0.37986457473627044	4.486442554693276	3.0351681401167485	-0.39853179278689044	5.781222375599119
1,1-Difluoroethane	-3.1675403704047675	-1.4175142583455327	-4.641367835318493	-3.5349839403529835	-1.081278275860954	0.18172795984680326	3.567191991561471	-1.0373807038606226	0.3668876305892034	-0.742190595757335	-1.4867191440344427	0.36099958757843925	-0.5736060418741289	0.718595831577526
1,1-Dimethylhydrazine	-2.534469417190563	-0.954331444829405	-5.243871865197377	-2.4702065229158143	0.5647960051735923	-2.577339855795494	-0.9883290287882107	0.21530039474321425	-1.014863553124195	0.3849985131918186	-1.9349420407766955	-0.6571635740023076	-1.6312265212227213	-0.9091653796868173
1,2-dichlorobenzene	-2.7661142410068407	-0.12890389236088812	-0.3515208957959472	0.9945035803334996	2.1179416264461177	-5.594280398952922	-1.9026391625025227	4.629810206742143	-3.6316517449650263	-2.4038385880106783	-2.242369903501438	2.5460319968777845	-1.8877034383854225	5.276449245470416
1,2-dichloroethene	-2.297180844360257	-0.9607324674756333	-6.0063928452398	-3.379383264759751	1.2159101441355658	-2.4167450507429415	0.7645173439302608	0.1945656795520995	-1.1792211416035108	-0.7474635178203716	-1.1855174002822741	0.464777999695211	0.617701268754286	0.01647218454906579
1,2-ethanediamine	-3.385580893731258	-0.7308441931048713	0.9889626671045252	0.9740562677708409	0.2508418476828616	-3.4264322780192398	0.7666842559864802	4.33030219219741	-3.106185076335317	-3.340060516775156	-0.6549965077786303	3.307546380645165	-3.2608108096386546	6.305755380587657
1,3-Butadiene	-1.7346820454804635	-0.8250403220903746	-6.53047428640131	-3.3288391328405145	2.100965290153694	-3.334813801292117	-0.3465246576832077	0.28910664834147176	-1.8772013469553845	-0.7203229487154396	-1.491376470280538	0.7611156846047342	0.4628758372288071	-0.1833430116465285
1,4-dichlorobenzene	-2.7999653377930387	-1.2952566400420575	-3.848789371652697	-1.931578295269396	-1.0870521540556302	-0.889417914652829	-1.3062377814447823	-2.026530935396608	-0.22774410488044178	1.3727658096718856	-4.184620027751523	-0.7818121899975647	-5.052377230931717	-1.227656055703184
1,4-dioxane	-2.692785703368048	-0.994937812885566	-5.576118336604336	-3.1299353047459393	0.6821901470695547	-2.1599556890822034	0.8349201979277613	0.48270074027369764	-0.8321741468052347	-0.4978842611902717	-0.7968127419922852	-0.08906279950766761	0.6356820882174026	-0.23314509243686707
