Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1,1,1,2-Tetrachloroethane	-6.769887558791682	0.5682226145175309	-18.620141450119544	22.429471176457405	-10.571274319100073	-1.9101763937412133	-1.3997056288266116	-0.40287495030433346	-4.652174603447595	5.102242169309359
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.051986824658543	-1.8885434566728407	3.4537837799492346	-6.520194305933059	-0.312900313146482	0.46814574944206794	4.227375890447231	2.605262056979832	1.4654939568672467	-0.865760063942951
1,1,1-Trichloroethane	-4.766860728228884	0.6269646192216538	-12.995546831860956	16.673511895645607	-1.6950883157443877	-4.701841916568905	0.09277083918550537	-0.3782345579908745	-5.251092917919627	7.265372995838949
1,1,1-Trifluoro-2-propanol	-2.0206043317786073	-1.8880415938305621	3.4598998618827848	-6.537521667966973	-0.28035044620406047	0.4606651102507063	4.233647022256812	2.5936013101429363	1.4930194459851394	-0.8713450583565858
1,1,2-trichloro-1,2,2-trifluoroethane	-5.539469874613714	0.10774339449465584	-15.706384336679898	21.240422961054225	-7.2062170094766955	-2.270752535103975	-7.737915287689337	-6.06514947148448	2.2910381745649313	-1.5517823440188374
1,1,2-Trichloroethane	-6.871098056628452	-2.7609233148258268	-12.503896311687779	15.695825671916506	-14.834235238807008	1.7488430460262387	-2.0811543928419853	-0.08128145764353364	0.02454080031711079	-1.3492871163813427
1,1,2-Trichlorotrifluoroethane	-6.165639819869462	-1.0294617565010984	-15.000192192473852	18.882793504904843	-8.877204048534255	-1.4165223245712761	-1.7828354719457415	-1.0945009951500684	-2.4787699541135115	3.301945507992171
1,1-Difluoroethane	-2.3547409094083736	-1.563238589223208	3.6056270717834638	-5.220012942370521	-0.10894124642106158	-0.8428867729593402	2.0036895536064683	1.378553428918181	0.618892324604548	-0.5119910860419906
1,1-Dimethylhydrazine	-1.8226142400034777	-0.8987466395330733	4.183580263997794	-3.099827213972242	1.399909635206417	-3.7398066557869396	-1.9167154286082928	-1.226848802961735	-0.4791354308183571	0.3777126927224075
1,2-dichlorobenzene	-1.996994323683302	-0.16761312797239858	0.5818631992148482	1.8704871173769966	2.541043808908688	-5.812271976497228	-1.6470966296249112	-1.2995142062349418	-3.448074841115945	4.35839453732148
1,2-dichloroethene	-1.6025850390581182	-0.914922860253796	4.594962331337943	-4.447964886665583	2.2953234261462927	-3.5294760382731307	-0.16584025166888786	-0.2291296205728684	-0.39471174665713216	0.6255786119473274
1,2-ethanediamine	-2.530484791393869	-0.9234078116794352	-0.5445784789684318	1.4247690382424563	0.6292289194779329	-3.4375074110676342	0.6863936979340746	0.30872776582959555	-2.97683374025841	4.199782582714276
1,3-Butadiene	-1.0808267947308636	-0.6984726798898016	4.929847865174006	-4.175899605271961	3.252940552048382	-4.464347608633198	-1.0236999401239093	-0.9841230445445915	-0.4424334841060531	0.897745826623671
1,4-dichlorobenzene	-2.018023972432039	-1.3195121946872	3.1086322169474023	-2.5480480179649665	-0.4218123021659561	-2.016266120999974	-2.3235536056491752	-1.6412261505252923	1.2597598632258693	-1.2418877537181432
1,4-dioxane	-1.9723626018383695	-0.9874886140308191	4.368866690641033	-4.177602951858001	1.6336869981069957	-3.2752869285842143	-0.1882081110192974	-0.05484297357332624	-0.6561300598903251	0.6127983689876972
1-2-3-hexanetriol	-4.403839787684647	-2.0605229504126865	-4.01026619509603	5.508639961544371	-6.591447364148898	0.1125018258466255	-2.332723501885014	-1.4083696945851218	3.8179452131854523	-4.816988181284825
1-2-Benzenediol	-2.5407129540060067	-1.5274416682436123	1.8488979758017305	0.29679457634234807	6.599550332322805	7.676332149785876	-12.883934513395667	-9.855129814782904	12.06019494889494	-13.104307292705295
1-2-Dimethoxyethane	-3.459238265335443	-2.173797062466169	0.8942318273517282	-2.469248922377619	-3.905834719060204	0.26353074997077014	3.3608394636142194	2.9030826915138785	-1.0266513457781945	0.8101802172895899
1-2-ethanediol	-3.3865991441538426	-1.7623338980304848	1.3177837096502978	-1.2723350167589778	-3.1124902356832673	-1.5305534744724623	1.2535979166507663	1.6558972345250726	-2.131498069273228	1.5700829755596866
1-2-heptanediol	-3.848412016155368	-2.1441142805064755	1.7771233635937764	-3.679061565079642	-3.8574258007519107	0.6515337224425679	3.4590060991921625	3.177824877248557	-0.9404188391967963	0.15698874319872258
1-2-hexanediol	-3.711311746358374	-2.290816527172179	1.2994214303489833	-3.514842206369433	-4.24467008546745	1.0191706341207933	4.016010712853682	3.4440107745075785	-0.6722797917940556	0.1730984693204886
1-2-octanediol	-3.901495792301522	-2.307718518863342	1.5720771386642425	-4.036582260854395	-4.269918769324103	1.335702087361512	4.172970478626322	3.614515373789751	-0.5350980294910539	-0.14801616212335883
1-2-pentanediol	-3.59736427214257	-2.1054087910029367	1.28478452122473	-2.710971362320088	-3.851836794291414	0.11649160901452048	3.053742610247114	2.817022893589278	-1.1690433536654248	0.6628057471106024
1-2-propanediol	-3.023182458121528	-1.3995154475396592	0.17546654314212026	1.4007790750320428	-1.631743142758663	-3.207902662110384	-0.2782331341420975	0.3712034883960515	-3.5060574499992785	3.7113343450738094
