Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
1,1,1,2-Tetrachloroethane	-1.8086385438439094	1.2722055712067626	7.8654959658696235	-2.6982316114863374	-1.918610816436689	-6.163646912600792	1.3789343633169566	-3.4264192921530743	2.166700409263086	-2.4296333640737946	-4.62148334916495
1,1,1,3,3,3-Hexafluoro-2-propanol	-1.920338820805127	10.338102043230336	10.342420093698054	4.147926846294702	8.545261352530533	13.46222631221792	3.8770192660252785	-0.19332925739088416	-8.098440867866154	-1.3310246789206799	4.7034694553604375
1,1,1-Trichloroethane	-2.864161510331462	-2.561706873324549	9.672890892648885	-3.2218162646269457	0.40234547425225714	-5.055928024662085	-3.202465386817656	-3.1681931410605837	0.1264886874067786	0.66828821372215	-1.7690905361993938
1,1,1-Trifluoro-2-propanol	-3.7763737201742065	8.34243518467996	10.629137064985814	5.126666965874625	-2.9039723796931236	3.3802918822210546	3.9083213771941367	2.8610069035144647	-1.760243129326843	-3.9700347349109966	-5.021684362360139
1,1,2-trichloro-1,2,2-trifluoroethane	-0.6483143708061906	3.1557753002141706	5.142672971171857	-7.173270983446523	-5.073566182203128	0.007404241708786702	13.707546692819914	-1.94312331730491	0.8698284833420862	1.4204221531300432	3.2017578048912654
1,1,2-Trichloroethane	-2.612747534863887	0.316954980004331	8.135280164148758	-6.36915612575067	-1.649507713173819	-2.1865257816494066	-1.6997223694849095	-2.7432603137356084	9.733403164660096	-2.804588185261251	-4.742845227346468
1,1,2-Trichlorotrifluoroethane	-1.278702299318942	4.181795316641781	5.467664056208056	-7.7834442948839175	-0.03478246879957642	2.2771344040675965	3.1157113695342282	-3.922315100947478	2.208891220492736	3.847877704664983	-1.0457217093062647
1,1-Difluoroethane	-5.163286692320559	-0.455293395974672	12.370828982247511	5.171432961192953	-0.33512153951826956	-4.240023834380719	3.486071248781903	-3.3401030474270477	3.2699337935529393	5.443396762946606	0.46537128403984074
1,1-Dimethylhydrazine	-4.350233231699869	-6.464425578606691	-1.8098460414406332	-5.774205163292728	-2.084578461766679	-1.6646458334103402	-0.8565361131558955	0.10189922572883697	-0.515583668055113	0.3617465189271619	3.090006359478124
1-2-3-hexanetriol	-1.4744707132448427	10.556696071377509	-8.686981679297215	0.7299078119368753	-0.2055942364271484	0.7363714449021055	2.9130955156827203	1.3758270280222482	1.8837838650931955	-6.299911848719276	-3.398713701475573
1-2-Benzenediol	-1.0742097481003747	-12.428790698732746	-3.7082559185678776	0.9913249305175105	-5.055045340329285	5.1587173221960185	1.4197384882339192	1.8483235475209423	4.516086254578758	5.950519598587388	-1.935732927953697
