Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1,1,1,2-Tetrachloroethane	-3.430748380078895	-4.029531054804709	2.6316052494861206	10.728014348935721	1.7449602374615227	14.911768990796046	-3.32931766205401	-5.491304290478077
1,1,1,3,3,3-Hexafluoro-2-propanol	0.1840910403958951	14.005434461878442	-13.359837874552412	-14.064893600916893	-10.382720623531105	3.6913447128434154	-2.469880250463789	-0.648237493436771
1,1,1-Trichloroethane	-2.581646597991321	-7.26085585933249	1.4305506093972273	0.8386711918193799	2.810667745409941	8.657910269317433	-3.122441807100723	9.539896867516283
1,1,1-Trifluoro-2-propanol	-1.2132992581109523	1.3439822696921024	0.23505034361721291	-5.386213116454628	0.45444831937396674	-0.26356205746256467	9.699842208327974	6.293362759395162
1,1,2-trichloro-1,2,2-trifluoroethane	0.295939393503535	-3.325369117945039	-4.373479112555001	1.2013540908596827	-3.2717186104520883	2.588618985589324	2.287489181395379	-1.8301028722449784
1,1,2-Trichloroethane	-3.1228769230417788	-8.705098969188043	-4.632502274611755	15.645095475239446	0.36229419291482395	9.029792650340593	3.341584165747216	-1.7428438662627246
1,1,2-Trichlorotrifluoroethane	-0.4982603507171921	-1.732879716870689	-7.063921073110933	6.283802656458555	-5.963379352180879	7.306408116262033	-2.3072932603351903	0.8024392397518039
1,1-Difluoroethane	-4.336724773982881	2.5212139444475827	9.249246130891828	-1.1636290047269295	1.2971310922850217	-0.5054425841136735	-3.0466521234272683	0.734855436861976
1,1-Dimethylhydrazine	-6.253202659628107	-8.090176705196637	0.9823615171210587	-3.6614143233619134	1.5452768778626813	-1.9053299030320467	-2.4273393239099783	-0.2557578416303265
1-2-3-hexanetriol	-1.4604011189949806	6.531038436974895	-0.574312258453436	6.141328696231037	-4.054040392180551	2.251991256078248	3.620676861918426	-3.3531337786602764
1-2-Benzenediol	-0.9420901835724845	-8.624875762925914	-1.2915450077098702	-0.6390188186716445	0.2449686842277915	-4.720548447205018	0.9101658775935648	-3.8197143742650557
1-2-butanediol	-4.557161263869162	3.432361770609463	-1.1867337740945785	2.0938703747292857	1.6408197229609192	3.8512225515208636	2.3884557664042694	-0.7553231554361439
1-2-Dimethoxyethane	-4.38204369757964	-3.2623797886669825	1.7012352915905455	5.7267067272009164	0.9769301789911109	-2.697980122449554	-0.662041073945003	5.430062074393588
1-2-ethanediol	-6.610048630898435	0.5743178937540246	1.7882305766685727	0.92049416328575	4.613911783128426	6.337456764468691	-1.8783435460855693	-5.589797944289193
1-2-heptanediol	-1.1963679656293618	10.839441649528554	2.23565081728037	6.373289712287519	2.36965861852618	-7.127269888987603	3.97330580319687	0.704348494683989
1-2-hexanediol	-3.1108891152075575	12.04721033846761	-2.1939490899115874	3.0689528632783434	3.008528373738472	-3.731325780995519	-1.898355443075522	0.49423043866383953
1-2-octanediol	-0.3265626666302369	12.577169387931026	3.520680285409259	5.724840070438434	-0.7552775039986633	-5.334371419605627	-2.925447976038444	-0.9699963373948458
1-2-pentanediol	-2.697510468020013	4.428423942586234	-2.609815532699462	3.297209511697131	-0.8356411997247029	-1.459754155586144	-1.1324636741167884	2.4456298402396395
1-2-propanediol	-4.920008730938137	-1.0555150150865216	3.939170522588892	3.9522806579753165	1.6101558809428902	-0.04312803245362639	-0.7155517620629582	1.19876421675459
1-3-butanediol	-4.093296765074895	-2.601747240486125	0.4618642656438963	-0.6726692361092806	-4.2105784361830345	0.3885818873406008	3.356273061857406	-2.971068175860369
1-4-Benzenediol	-1.5393699110793797	2.9283975774393087	-3.210978028312994	-12.554498950015748	7.376153061876935	-0.8589286910893634	6.792985199471493	-4.280031596234871
1-4-butanediol	-4.396992827905272	4.421603606616323	2.1822492351918976	1.1254977357796676	3.833967137439874	2.625789484677562	-6.38559294323791	-5.7142250300450215
1-bromo-1,2,2,2-tetrafluoroethane	-2.9396810665333946	-0.049945201439788506	0.928452166825941	5.484610071187753	-5.105656570563325	-2.4536381483271583	10.691944038771098	-0.634844552711888
1-bromo-1-chloro-2,2,2-trifluoroethane	-1.7057860297957297	-4.474047059696762	-8.983996385692551	4.0498548164894705	-1.0352515076007813	1.7264105970948214	7.235521559157612	9.097637630666917
1-bromo-2-chloroethane	-4.652544372813908	-5.5143426776664555	-3.893296563248083	1.7250327658032585	0.6762782417178514	4.067609355618203	1.2275017920061706	0.9617693605115356
1-Bromobutane	-3.752338527210324	3.3791720147186513	0.9812635636797921	2.951299082478614	3.6068974184691225	-7.853094027683674	-4.008852128707893	7.503701416927244
1-bromopentane	-3.7107958332870266	8.90413335989239	0.9112949488026522	-5.031382928314889	6.604827904265062	10.803896569830622	-6.665927944998367	2.5866935946351197
1-bromopropane	-5.453251799768523	1.1640741087437398	-0.7996527935091695	1.4882587880821163	1.6740698403034688	-2.868566463130435	-7.006838838349805	-0.8460484479599972
