Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22
1,1,1,2-Tetrachloroethane	-1.8499907428515532	1.38184309193237	7.8444223249956995	-2.718674270157712	-1.9103845361487923	-6.127920393563556	1.2130837418380116	-3.6262382621120883	2.5940400363874003	1.8334503493171386	-5.711276656322635	7.015789438119831	-1.355495201469391	-7.325436182931832	5.099190475974443	-0.010552999684049083	1.0213786751951133	1.783214915365214	-0.9349353683032103	0.5611766300756328	-0.7428104233391016	0.3327171789464706
1,1,1,3,3,3-Hexafluoro-2-propanol	-1.9394105710197975	10.385351393697347	10.304249071099072	4.0862332768168255	8.584753831426747	13.334696447356182	4.093817846924494	-0.7737453588738322	-8.057608003978086	1.2942783309223305	5.363996694865399	-5.441741823998404	3.2210563902448675	-4.243668644807564	5.625879344544865	0.39207057055175515	-2.265083582195592	0.5790704461005461	0.2521516849607083	-3.6694784096496016	-3.5179749476128777	1.0252085217279037
1,1,1-Trichloroethane	-2.9068240603849587	-2.3891841209197042	9.626137513606505	-3.1808306239479167	0.3467071288597842	-5.08910666973911	-3.3784462926525074	-2.90752129166305	0.09939696145174932	-0.5937053215786047	-1.9921182427399655	1.2428809666254395	0.5068144579030043	-4.789141481861816	-4.164106898959291	-5.217525905059062	-2.4326291921760346	-7.397103821343843	0.9478959602641086	1.066777051874816	-0.8535853310675622	-3.7144345980718225
1,1,1-Trifluoro-2-propanol	-3.804536267709407	8.490256600118123	10.524968678162866	5.122852029727766	-2.8797042679889326	3.3592409156445973	3.990788849754658	2.826175396804471	-1.7192881490477372	5.543617762574085	-3.18200610590921	-5.5009509776729555	2.215384095708886	5.989621585738952	-2.6758403610701946	-0.7550053454550708	-2.1550253754604007	-3.9598106803627453	-2.146993052191534	-0.7692893547068835	1.6410508414356642	-0.5757515719572789
1,1,2-trichloro-1,2,2-trifluoroethane	-0.6925697905449939	3.2847259108243776	5.027955194206243	-7.151074901835287	-5.0748680725398	-0.06464959535856382	13.541604686618538	-2.356415362847062	0.9522557410751027	-2.4490208273348104	2.404245392363373	2.909968547402522	-1.0732714344786856	0.08169204030367665	-8.605558638259287	0.3690083963045254	-3.1668822836003856	3.2611281100961262	13.094381770516119	-1.2181153499228714	-5.159207255639697	2.8639738160473196
1,1,2-Trichloroethane	-2.6523267655153084	0.4440435516018146	8.097129607332935	-6.436489565390582	-1.6217874028205828	-2.1239024487610236	-1.93365157445094	-2.600032281421527	9.977483376890548	2.378770724351906	-5.1591956003724615	3.9630520072918634	0.8610178959360395	-3.735091581933783	3.3144704819031943	0.9285742984596024	-1.129111931079569	-0.7096527500208762	-1.9370528258975277	2.856790466026804	-3.8183745804412172	-0.27872662311442803
1,1,2-Trichlorotrifluoroethane	-1.3075659605310648	4.219377751900902	5.420385606281969	-7.751970017827679	-0.014293245811508079	2.1941438338147514	3.0857261735925356	-4.204365471756525	2.1175461014870436	-5.1874431243021055	-2.594359766443253	1.6778578552294858	-1.0760639023222718	-6.147958478870436	-1.487303902351783	4.340196327557272	-5.993812389875566	-4.419940874850548	-3.3045049877492296	4.180413265779918	3.9480114488443667	-0.17174830553976983
1,1-Difluoroethane	-5.195041474826891	-0.24704198118183093	12.26344792817556	5.131584285025535	-0.4327404419815233	-4.222889046049882	3.147757830936507	-3.019810246663211	2.981262620032677	-5.137531729233718	0.13955075782755993	-2.875698138988727	0.8422741736805808	4.052653608294872	1.3483103599564177	-4.241263995915779	-2.8309893452649866	3.0454917708389604	-0.02829337832926275	0.9320383326097765	-1.680442003259578	-1.5014432794556176
1,1-Dimethylhydrazine	-4.373476355140418	-6.435269866719139	-1.7979863764050779	-5.7602806356221725	-2.097149555430369	-1.6166544714745297	-0.8023487820903621	0.06811596729919625	-0.5024186117029591	-0.7909932396208513	3.023692169083025	-2.4531277077964657	-4.157619711216855	1.6626102341372917	1.445573987383162	-2.635061413494363	1.5457683076743258	0.9050020762729266	0.9604915486712906	-2.788813663433131	-1.1251002177126415	3.560564870712667
1-2-3-hexanetriol	-1.4935235202936488	10.574444523330891	-8.730063240779977	0.6985725871051351	-0.1666684258313406	0.7737026769524727	2.9243722602163644	1.1672670733448174	2.220436598178946	6.898035929621539	-2.4120901872262017	1.8299030127828015	1.9256699355903135	-1.0269458134005829	-0.2795311022271688	0.026741880615617306	3.643509593779423	-1.0448840809531228	-2.068669502703251	2.250105927418777	-0.6913398347703336	-0.24571488953172774
1-2-Benzenediol	-1.1201230585547375	-12.29093950171028	-3.6729730762345025	1.0090484036572587	-4.96634251838076	5.140036316830991	1.3580815624447629	2.1987022951419926	4.050436317533583	-5.941312151360818	-2.8564355594540207	-0.617208407443994	0.8355138530169324	3.3062959196395982	3.5716235404696635	1.950929850702735	1.5862587515037667	2.797220084157572	-3.385690407131096	-3.704050869005668	0.8799601510221063	-0.09848249657723047
1-2-Dimethoxyethane	-3.8950260213506307	5.242175833980935	-6.3427488405288965	-5.42320374691479	-2.8230051066403377	-1.9030422405347593	-4.6149730942724005	-4.305403061801114	0.650462323808765	-2.361086179535188	-3.4582308963117425	-0.6848661250070781	-4.482159546588041	3.597059552403802	-1.631072862881534	3.011128108562637	-7.081654913466298	0.47595950791784053	-5.941562783735407	-0.5201510052610675	0.7539722262785585	4.2466912582374565
