Molecule	PC1	PC2
1,1,1,2-Tetrachloroethane	2.9215173493823814	21.180380562962185
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.7781893813090326	-3.041489965101023
1,1,1-Trichloroethane	2.065317066326208	7.569325089309067
1,1,1-Trifluoro-2-propanol	-2.7721131478505723	-3.1491447197029627
1,1,2-trichloro-1,2,2-trifluoroethane	3.2333573734612813	12.118535298120415
1,1,2-Trichloroethane	1.499546122643796	27.421912287401966
1,1,2-Trichlorotrifluoroethane	2.450121295420726	17.49953838262022
1,1-Difluoroethane	-3.0596727695745964	-2.332272719636563
1,1-Dimethylhydrazine	-3.5946099025204163	-3.8925398972796974
1,2-dichlorobenzene	-2.5895466625061845	-4.101575175848944
1,2-dichloroethene	-3.7215641014797445	-5.1947721843824715
1,2-ethanediamine	-1.7411400622487334	-2.012938874035894
1,3-Butadiene	-3.821989645161137	-6.984823078799199
1,4-dichlorobenzene	-2.781667046098376	-2.807005500499639
1,4-dioxane	-3.769359930090257	-3.647055883418162
1-2-3-hexanetriol	-1.120734688742166	11.805105042420143
1-2-Benzenediol	-0.19936258049851868	-0.9275366263509679
1-2-butanediol	-3.205855232626436	5.719030628937128
1-2-Dimethoxyethane	-2.6205423442663927	5.338476705739197
1-2-ethanediol	-3.1825652470682972	5.373720520230265
1-2-heptanediol	-3.1881320725445113	5.908415253544428
1-2-hexanediol	-2.8472614143092336	5.911169668642118
1-2-octanediol	-2.965797554968357	6.064032220856952
1-2-pentanediol	-2.9390400982530274	5.693625450433394
1-2-propanediol	-2.5488029171766255	3.3379830244243953
1-3-butanediol	-2.257863118813996	2.5691498189519533
1-4-Benzenediol	-4.007259986312865	-5.311968980993806
1-4-butanediol	-2.803191381060411	3.796037074126937
1-bromo-1,2,2,2-tetrafluoroethane	-2.740878223049825	3.163785929135897
1-bromo-1-chloro-2,2,2-trifluoroethane	-0.0038511964062622815	15.206472751930148
1-bromo-2-chloroethane	0.7944634247625711	10.014816120411638
1-Bromobutane	-2.7609267844774945	3.6589849592265073
1-bromopentane	-2.760317546581543	3.730675696307086
1-bromopropane	-3.637004126775436	3.357200853242873
1-butene	-3.9331890444363204	-6.716250775369899
1-chloro-2,2,2-trifluoroethane	-2.3833691235237833	5.346630942216618
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.306889152991988	11.382718320577466
1-chloropentane	-0.373344426312503	13.051085174556935
1-chloropropane	-2.986138295117078	4.8395787240818695
1-hexene	-3.9480288759680318	-6.56766039388782
1-hexyne	-2.974126754454938	0.952715581345042
1-methylthymine	-1.9933358086292559	-2.6117376672133363
1-nitrobutane	0.07441519634414138	10.622954364816536
1-nitropropane	-0.13298373557244375	9.532402032563816
1-pentene	-4.150549418851219	-6.750659161760094
