Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
1,1,1,2-Tetrachloroethane	-0.6674549064744361	4.481713040650247	-8.909632787294997	13.189473659722989	7.005022554599821	0.8090380435038262	-4.191972999986649	-6.6316438951801855	-8.10492342284511	-7.220041786810323	-5.0338997117212365	-0.5611177927201092	4.609565402557741	1.2460949459278485	5.524353111653576	-0.7260511865001731	-3.2486811030114455	-5.837811427735899	0.2857209007300531	-2.8225836741125923	-2.5398771833985467	-0.9387522220977984	-5.58481225471543
1,1,1,3,3,3-Hexafluoro-2-propanol	1.8719522090956118	14.022284325848172	13.325144933269577	-11.65970650033994	-6.278317072797539	-13.860750346786096	7.822245538902083	1.7629574068103762	-7.386326101820517	-12.894648752426155	-1.1936900947111804	2.651662408586539	-5.677397002909323	2.7997277910101044	1.7765327677674694	0.7109240573798297	4.380634894329481	-2.912536155156711	3.1667955661049243	-0.9440283712591852	-1.1320424543439012	-3.8702335111055186	4.53721576394755
1,1,1-Trichloroethane	0.024042482355844632	-0.710132110253361	-4.234511042146447	10.438767854741425	9.842781435712205	-1.6565315597277683	3.2307431776898525	-5.167736062512767	-7.48717203305731	2.1834773463297554	1.1430375117899718	-1.3043850396100016	-3.7518034110026677	-0.6337227087270177	1.0837535718001023	3.166782134561555	-3.345353667009967	3.6397161408647642	7.992680222086953	2.7728304532989134	3.0198811433648634	1.0012391998375145	7.980203502495203
1,1,1-Trifluoro-2-propanol	0.15360643697206106	6.61726250749984	8.652718369198535	-5.1472330345802	5.20337231503598	0.6061980764634696	2.0165363886890715	-1.456651234784928	-4.844910287201226	5.013810929527008	5.733926030508556	6.623302359420846	-1.1723777698343887	1.4486115098028667	-6.6092266535746615	0.1102586893489517	-4.9045812904272115	-0.7856200369768179	-1.4857045540538356	1.141079485934437	-1.530221695066788	-6.233564366595863	-2.1543207148901486
1,1,2-trichloro-1,2,2-trifluoroethane	2.763897476754355	5.662334176602412	0.31394593435765233	9.015929591925893	0.07113672549649483	-6.3821921539746045	-6.127125838873146	3.2732377476402443	2.241752042931468	0.8807101590001296	-1.044733446018188	-3.528387088109559	-2.330252378953112	-8.644120217287833	-2.767479887450228	-0.04382371739148683	3.348999963387417	3.833632046186391	3.7205163266301087	1.3217906876501493	3.920622133036073	-7.813538916848314	-1.0962930960169084
1,1,2-Trichloroethane	-1.3066605960674393	3.0029939784794117	-3.961753688055612	19.195935160589976	1.3646146768244014	-1.0067213176197993	-10.334914971387184	-1.7152542924278784	-6.399183113729981	2.0445807534291944	-8.398225467627682	1.8215373608390004	2.6007191917078756	6.989029424659543	2.3127089753461196	3.76411210127375	-4.984145346264421	-5.869957244172558	-2.4696251239591254	-2.0749048638715784	6.08281132254113	-0.9974951261447957	-0.36205723986695354
1,1,2-Trichlorotrifluoroethane	1.695036934925735	6.740375010056112	-0.5098291214387275	11.660341275414188	2.3119611657793198	-5.534593570436676	-7.181259778058457	-1.3103471353972318	-1.9390011013242798	-4.858546984504436	2.416027384770156	-3.6721155174221276	-6.165542522947019	2.6503868314488375	5.758784251588545	-2.6347217236503258	-0.2316011445244805	-2.785212534031565	6.515375482987392	5.9751173691613495	0.7669656247914959	-1.2199549077511362	4.379307699620622
1,1-Difluoroethane	-2.5712145392097088	3.8222538899127607	-9.145105984116267	-5.174008026850027	-0.21855547953578858	2.262172417579126	2.044574559941313	-5.466235743395324	2.420250095930637	-3.811257419140427	-0.08912705147839636	2.01168277730466	0.2267723985159133	-0.7792266536419034	-11.072028423682424	-3.455228751595644	-4.070157165724166	-1.572322083569048	-2.6716911593502166	-2.4596063701527937	1.857435569969006	2.1826761901429945	-0.3965577549209086
1,1-Dimethylhydrazine	-4.325374996114109	-5.771174360223936	-1.732783750216925	1.5935283254347732	-2.399938765937455	0.6815813909854704	3.70435746800277	2.109225126256673	-1.6244914617858945	0.548393428409487	1.5355750092194582	-0.9861654821859686	1.9468686053070188	-0.5645647825398525	-3.1408220527148787	-2.6131454976772157	-0.9230938468165771	-0.058494647729793764	-2.051414598120835	-2.5517310575667826	6.081193359144794	-0.26891484030920304	-3.7294643147738546
1,2-dichlorobenzene	0.2806297607193314	-0.7519931377856444	-0.24654641688006051	-3.03276625156459	9.74795711200814	-4.988922432900908	-3.321874468248424	0.919160637712605	-1.8977762526292572	-2.9889919694042226	-0.2370100854473058	2.1522190771971186	3.2443747889471783	1.5374103426989898	1.1937592858884596	5.563563768069067	10.119519495923033	-3.3507159402808244	-1.9429618900876324	2.157713803975175	-1.1653924526840505	3.8493938180488914	-0.11753324214719832
