Molecule	PC1	PC2	PC3	PC4	PC5
1,1,1,2-Tetrachloroethane	2.9215173493823903	21.180380564817515	-8.95292429897424	14.261485203499966	-6.473579238880223
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.7781893813090437	-3.0414899642338655	5.4564287730807814	-0.9603579487678903	1.6462710780644485
1,1,1-Trichloroethane	2.0653170663262137	7.569325087362771	-7.699634876300226	11.574541650905172	8.057090849495994
1,1,1-Trifluoro-2-propanol	-2.772113147850583	-3.149144718813503	5.379584312285954	-0.9673196995901059	1.669734442808581
1,1,2-trichloro-1,2,2-trifluoroethane	3.2333573734613217	12.118535298870682	-14.378077270440595	-8.083927193718925	5.852633478194278
1,1,2-Trichloroethane	1.4995461226438753	27.42191228693158	-11.975661809492742	19.239926582108083	-9.481811901578883
1,1,2-Trichlorotrifluoroethane	2.4501212954207725	17.49953838316996	-10.393790816611833	8.483655114004995	0.8490306881844757
1,1-Difluoroethane	-3.0596727695746053	-2.3322727195639295	4.757810785838413	-1.0415793031370195	0.4990334892617725
1,1-Dimethylhydrazine	-3.594609902520428	-3.8925398979774295	1.1933316817428956	-0.717542552782407	-1.2007803159408803
1,2-dichlorobenzene	-2.5895466625061974	-4.10157517606041	-0.7996330106291897	2.844149313992533	0.9211204647910252
1,2-dichloroethene	-3.7215641014797605	-5.1947721842967844	2.021898430846825	-0.07125535966247408	0.4081965985740428
1,2-ethanediamine	-1.741140062248741	-2.0129388741462164	0.4391597108385155	3.6648703228602155	1.5167690619706933
1,3-Butadiene	-3.821989645161157	-6.984823078560688	0.31602421254437485	0.07374545035604932	0.4116526381393172
1,4-dichlorobenzene	-2.7816670460983834	-2.8070055005930117	-0.06224794693300289	-3.549019535184598	-1.655085909792272
1,4-dioxane	-3.7693599300902645	-3.6470558837251073	2.9018929043347996	0.04369876709718126	-0.12365010827411217
1-2-3-hexanetriol	-1.1207346887421346	11.805105042849842	-7.127116969619386	1.564950554607792	0.12605423210047967
1-2-Benzenediol	-0.199362580498518	-0.9275366259019773	-5.05742969641501	-8.370397043042523	-1.965612884073386
1-2-butanediol	-3.2058552326264196	5.719030628728701	5.66274470829368	5.437277140933213	-4.514087366069427
1-2-Dimethoxyethane	-2.6205423442663798	5.338476706423882	4.037337876393756	7.1039829999478075	-4.4518372793265995
1-2-ethanediol	-3.182565247068284	5.373720520250597	2.895524280978959	7.800403840607607	-5.642931859262533
1-2-heptanediol	-3.1881320725444957	5.9084152530954315	7.459312607377071	3.832311492956289	-3.557954552238319
1-2-hexanediol	-2.847261414309221	5.911169668866968	6.450520634808754	5.11412688266039	-3.9148847424931517
1-2-octanediol	-2.9657975549683417	6.064032220626105	7.846060871876286	3.6288680671151754	-3.3014426926688443
1-2-pentanediol	-2.939040098253013	5.693625450671751	5.089537531896196	6.174555213355801	-4.558131061668948
1-2-propanediol	-2.548802917176618	3.3379830239777597	-1.3959433812396826	9.992765222858349	-4.34193996689068
1-3-butanediol	-2.257863118813986	2.569149819297027	-4.183669011932379	-8.282032246459956	-2.7311492792363388
1-4-Benzenediol	-4.007259986312881	-5.311968981415233	0.822843755793913	0.3418335492113994	-0.5591553043881701
1-4-butanediol	-2.8031913810604028	3.796037073854039	-1.2287889404496966	10.264306531426259	-5.269695298162479
1-bromo-1,2,2,2-tetrafluoroethane	-2.7408782230498168	3.1637859298206954	1.9748329939890927	7.2078964581251075	-4.207362530447112
1-bromo-1-chloro-2,2,2-trifluoroethane	-0.00385119640622153	15.206472751822064	-3.366967177716909	-12.364148933427701	0.102216512669073
1-bromo-2-chloroethane	0.7944634247625935	10.01481612048184	-0.5253233858467226	2.443654589549966	11.49287092047714
1-Bromobutane	-2.760926784477492	3.65898495914244	11.317773181962922	-1.2509401500068278	1.1811002737325078
1-bromopentane	-2.760317546581539	3.7306756962234706	10.677835958574928	-0.6088168602051147	0.5621077558770166
1-bromopropane	-3.6370041267754276	3.357200852317568	6.610975455202732	2.2926077319314744	-2.590227873401328
1-butene	-3.9331890444363413	-6.716250775308495	0.3292839536235832	0.18783234278489855	0.1900753608668202
1-chloro-2,2,2-trifluoroethane	-2.3833691235237726	5.346630942466558	10.649929447998385	0.9360147790074212	-0.6611897189948561
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.3068891529919542	11.382718321605376	-5.066850717075054	-0.74546134797366	-7.564788272824836
1-chloropentane	-0.37334442631246934	13.051085172245791	4.040716786221759	-10.148733305005965	-8.253915472937013
1-chloropropane	-2.986138295117069	4.8395787236213055	10.189921193585432	0.5414333199800622	-0.7583645712020628
1-hexene	-3.948028875968052	-6.567660393873442	0.4196893150299231	0.20591092965105307	0.14140385759641608
1-hexyne	-2.9741267544549403	0.9527155814036171	8.478946996813804	-0.8401707458745735	0.9485035384538879
1-methylthymine	-1.993335808629263	-2.6117376676866386	-1.2919260949831788	4.204366072584887	0.9239809060515862
1-nitrobutane	0.07441519634417176	10.622954365871758	-7.091665061835508	-0.09895475220442934	-2.8407318193302897
1-nitropropane	-0.13298373557241575	9.532402032841938	-7.099778921541838	-0.15855152117856633	-3.738647700085141
1-pentene	-4.150549418851246	-6.750659161972018	-0.1964931042177568	0.4919331167331532	-0.26240073059382124
