Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36
1,1,1,2-Tetrachloroethane	2.6695692061281635	12.970015948235481	-6.187469905713413	6.88248607622195	5.731161525490791	1.9946682191087706	-8.50554993324286	-2.004070856689169	-0.10452303226695144	0.42735311129316994	-0.2293863239484176	0.5028532078956728	6.729494380220661	3.615407645842574	0.24196879948458055	5.16433843873689	3.240013554756055	-1.0679860059618473	-2.120171219774474	7.561913813112649	-4.587013914089172	1.5454282069590322	-2.221202943274235	6.958838115607241	1.7230053424295722	-0.6151888273540496	3.440667859357502	-2.6730792366407363	-2.3597283373586766	-0.7532161759421647	-3.8282942125964334	0.44448100358465437	4.651000815891758	-3.570162632690942	-2.350845891616603	1.1618536023422876
1,1,1,3,3,3-Hexafluoro-2-propanol	0.8669721007002873	24.842911836025078	-2.462705978194406	17.635158901360395	-11.391015515830427	1.9556059132823127	6.7752497465448895	-3.5691918392876154	-3.61967869219874	-2.163556957334422	1.4051261359755731	3.1795014226831584	-7.309117310397519	-7.899105555202829	14.618752808564132	0.14802468499136914	-2.3777622793131217	-0.7144921598295094	-1.5354830933810883	1.8252172730467127	-2.0555202170906437	-3.4991405770160653	5.774456396882385	-0.37889023685418927	2.6027257852238703	-2.0348117345106242	-1.4574760332211238	2.0285940056609704	-1.2952606158668152	1.647796200122643	1.2978908716396538	-1.4204371522959691	-1.1679506194089322	-5.103929445616899	-2.41920147508635	-3.128007734835272
1,1,1-Trichloroethane	0.7304732702109885	8.37083357447626	-8.181153339022611	9.027642509733264	3.3725521060553922	0.3348335582011734	-5.3497629888028655	-3.062601676341937	-3.476418727402486	1.6727575551751739	-1.1349558907369417	3.9913528331768933	10.8758427289494	2.136184887139975	0.36229062062339684	-1.7934320521196507	0.2809156169750737	-5.20355512109604	3.3921907823069986	5.297895336890386	0.4475039674039022	0.7572263507424108	-5.65201460743277	-4.218101178709749	1.3817229228739296	1.0378685341921408	1.9010453483679182	0.6420854898653916	3.3427572984851404	4.920386736475696	-1.6180890775625196	2.108372995724957	0.8596181174048905	-3.678554174075276	-7.377707157207975	4.07697151252697
1,1,1-Trifluoro-2-propanol	-1.0895054117725191	23.737762905192497	-6.121862001989464	16.229555754737316	-10.22841818067232	5.210953331446752	-1.748815684491582	-0.061037046703794534	0.31318293591085855	2.5640701146362495	2.09808865851463	-1.108291576935681	2.6166994686630174	4.174202296119073	0.8837260406939009	-2.73172552868582	-5.889640320925307	0.6975452320599896	1.3973454411747812	-7.143110599369515	2.711951512244551	-4.246591112671034	-1.9275980969602955	-1.1445920440118849	-5.088823981965082	-2.117444380217975	0.3436249395534944	-0.45462355682451233	1.7971892666851157	-1.6256443422808913	-1.6027467449364228	-1.394762350755325	-2.176881386840905	-0.23954146008412452	3.7591140346163914	0.551020661555716
1,1,2-trichloro-1,2,2-trifluoroethane	3.753222503316008	17.855234625835557	-4.554538706779108	8.075482145821518	4.322029052232239	-3.369694548398721	-13.039296517733792	9.798904894528068	-7.192202813923023	1.7125457780903828	0.2197616222972637	4.05655453580753	-6.108464378782762	7.322647352632709	0.45940480891497815	-3.4616343709228716	5.270687777399925	-1.6817923539802082	-3.104417556299823	-3.9070316956435676	2.066561211285785	-1.7047954339732616	-0.7324806802878606	-4.0207268517947305	4.158801867962336	-2.1606701704932365	-6.196783622825335	13.924741418964599	-2.6708499452762755	-2.8299440181267883	-7.525377392680673	-1.9827176851029538	5.95693526603386	-6.5645643137740235	4.244380346347151	-2.283870324807034
1,1,2-Trichloroethane	1.0037297202332593	11.733100936542641	-7.471850108435043	7.396052405169599	4.772317126288898	-2.579408430452016	-7.534212510856668	1.5400449413012613	1.1900481071478277	-4.529907592932777	-4.122143245916569	5.727952078310233	6.637871952180947	0.024305538499072625	-4.671407539080465	5.354067598617086	2.0069795323939403	3.1894890219718537	-2.552372433867059	4.453350344000932	0.34868784291094895	-0.9102591319342248	-2.143175242779562	4.202839054635105	-3.9400077733194947	-1.3965677007857644	6.032593194463455	-1.2123899465064212	-6.238742057055561	-2.0291015143725923	2.1777437468384355	-2.4480596804180674	-2.427099630687836	0.049119144418105394	-3.422424436375787	-6.418784252020277
1,1,2-Trichlorotrifluoroethane	2.6487640926150413	15.796439949666215	-4.469764320044771	6.33637152168799	2.0670072586941832	-3.537323525655299	-7.5842086108309825	2.919324658627856	0.5341687927104543	-2.5151109531585885	-1.4425730102137637	9.57114664548837	-1.280841654609159	1.557382628169821	3.536300231649833	4.328391522579966	5.150278231227625	-4.451590218016009	2.7401985843108894	2.066307532537127	5.3687501434164115	0.41529348006612943	-2.6489330651606595	-1.74081805617279	2.4312613528163185	-4.36028826775229	3.1397789921696635	-8.023321507356384	1.8103235124923607	-0.8267318003714941	0.9310100842731152	3.876495057041135	-0.8368172587762782	4.204205640058136	3.540625842649443	-9.839926547889569
1,1-Difluoroethane	-3.1637226401279186	10.522769743684968	-9.844386469996238	15.104648847847184	0.49464724657173215	10.663613405105197	0.7107633975699846	-1.727963052763044	-4.473311863013117	4.552001670721246	-3.8270134662764628	2.5311270052482966	-3.064756523989427	1.5903811060086637	-5.016674046282509	2.2956941352547426	2.004651463231879	-1.5907523390747837	0.09645633235315317	-1.4496289820845525	4.66459786418631	-6.288229781099777	-4.216616475424207	1.5449174900856728	-0.8534475702648171	1.6517138151342434	-4.498413671615576	0.7363390087331295	-2.7467054131764024	-0.48700535195779676	2.927474446389001	-2.4600431595837757	-1.9486790636437028	0.5947336817195997	-2.168451471024436	0.9305714898398826
1,1-Dimethylhydrazine	-1.5554031175003211	1.8615349853667884	-2.50007304472571	-5.147454686990907	3.2915513036252313	-6.804860760526696	-1.7253928393401599	1.5947270532284459	-1.2314589376784753	0.023814427592011446	0.25138998345256425	-0.4403719046320159	-2.5833456788191387	0.04133945036785383	1.534444823160149	2.5553299452909135	-4.455197739249726	-1.95011001131534	-3.376617520856597	-1.4138531448514013	0.04467724103567134	-2.385104296910404	-2.720928508374128	-1.1470091273447722	-2.285809396381372	2.3160242984451602	-3.6896874392362067	2.5574705557542217	-1.6812815284588507	3.474456511134482	-1.041806166200765	-1.7127202679874185	2.6739585940526824	0.25873678240189923	-1.2235934398282564	-1.427425053453441
1,2-dichlorobenzene	0.054414349337942425	-5.015543121167841	3.1944008852693115	-0.05924466781919559	-4.088051882775238	3.8823395187865186	-1.3348014763562508	-0.13604033512380273	-2.368588713940777	-3.546281648148683	-4.380871552039871	-0.663284845721646	5.694327849549001	-1.8461327970847303	4.344137302590673	2.2925441700917504	-0.9868115608144777	-0.06793290748041447	1.6320670992403947	-1.5586507311591902	-6.0480852060046395	4.2519183131520775	4.164293910628667	-1.6156406571092405	3.3950025703199005	2.231158558898614	-2.211626170959363	-3.1725677131087138	1.5702979970721465	1.4636778059173654	-4.085922679202624	-0.005658094395633564	-4.177707483050774	-1.2670758418069035	0.09317457024919018	0.09769095968117562
