Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35
1,1,1,2-Tetrachloroethane	13.308105352113408	1.902589868812811	-2.271401583012343	2.4488765114374362	17.74312048644249	11.929433711765922	-8.271264089053757	-3.5884297808474956	14.461649494488007	-1.3669804931832423	1.4638647524253083	-7.2397608450878375	4.523120959500857	6.59966697542494	1.1910937629030653	-4.402278247261597	1.1149922592522343	-4.724386455023186	-6.496590224138993	5.296064212878609	-2.9349241792776795	-4.304154898202562	4.341076787717208	0.8340585556792367	3.652070022795255	7.804797468387818	-2.516861534691338	-1.4420040064678246	-5.076983699208245	-3.063535582479174	-1.0284920416179792	-4.9378716491606855	-2.0822752716956483	-5.677384056399579	5.305792182465605
1,1,1,3,3,3-Hexafluoro-2-propanol	18.795788242976535	6.530469152999052	7.1091460480458215	-8.502141682807585	-18.511780860924304	14.222912467010842	8.361049951183388	-2.90768234678979	-5.372555629606382	3.8235998912241773	-5.914323898581654	-2.189447019161722	1.1487910096395262	0.5616798500423897	-3.139068631642684	-6.325231524986414	-4.463302563948118	-8.408596327724291	7.168305554731989	3.2413708953525644	8.607198222540008	-1.482653813645265	3.291418011864432	-5.262183767579103	2.1771745402559657	3.268188358104804	-2.365283136793203	0.2504195241861102	-2.796292528402654	3.235953742065227	-4.193411155562346	0.2169249912395362	-0.07186775425195703	-1.6720908149727882	2.8443727692697007
1,1,1-Trichloroethane	6.621759934902031	1.833910117117183	-6.151949931761836	6.678685424740889	10.253733523058656	13.607452249086128	-1.9769243290064258	-5.344468982021981	15.890780053428927	4.287699238217207	-2.177973703691817	-6.919801826261417	0.748783380805573	8.629436614393756	9.051410089190146	-3.5914801713809132	-1.253132166883224	7.8981196619164304	-1.1808947364702442	13.906103015872707	1.6217089006236503	-0.9148323598057231	-5.051358791989243	3.25635077162596	3.5514419409981333	-4.101162877233943	-1.828666842752027	-0.4654786801576519	8.38694538637778	-1.3388058706624406	-5.884276719542622	-1.943908854959369	4.9434833929218644	6.796094511454542	-2.473667973805039
1,1,1-Trifluoro-2-propanol	16.599125154374967	5.562082150798874	0.391460468380455	-5.771156908147777	-15.883192450251316	11.412251304883505	4.7369622964730596	-1.517958174950372	1.210521336899319	0.5695898917739579	-5.412276406209941	-1.2490808962578288	1.7777168105968366	-2.0332400447728802	-4.535921789610305	-1.2888539789597393	0.13043715012397342	4.783519773603843	0.8325082485901216	-2.1228738698455465	-1.9518273373305437	1.7901650406667171	-3.756370353421107	-0.60324530939206	-2.3314662265643125	6.655795402436424	3.516501129465478	3.374764423194269	0.4818635129210896	-5.468170371062045	-0.7190222615895464	-2.2774772742090335	3.3452634392421485	5.479429677344563	-1.0336697374111188
1,1,2-trichloro-1,2,2-trifluoroethane	18.172421890487655	2.0186085374342957	2.443724478969867	-8.004144497477819	23.5581223911086	17.609532502666863	-7.8350788248104815	-10.810089370185063	1.4241226313914144	-17.3693378110121	-18.010970581589977	9.244145922839474	4.823969466764359	-2.2055568911435937	-2.356900569270695	-5.098567203191727	3.871723401556126	-8.438641118618586	-1.8894595599229145	-6.8391841344142055	2.2621559609139896	-2.2660664891035696	-2.207886230324751	-1.3393980901937845	-4.92230720694756	-8.39390973037852	4.894767976851973	5.682517515584031	-2.8749511388738025	0.4313051407115351	0.8848675223398367	-4.643293349693367	-3.6664551032285337	-0.052105972448993114	-5.865291022597922
1,1,2-Trichloroethane	12.158600780942816	3.039630767745085	-5.268029468313093	0.532928881987353	8.799069372098478	6.321981932715831	-6.048190783045615	18.23032892361771	3.579567030718293	2.6035395743313927	18.81067265579926	-0.7270714822161516	-0.5456132485147464	-10.745943244112732	-9.719036958242393	5.258276367552169	-1.8976380236513468	-0.4970466574866121	-2.9432972274280362	-0.21122436703210437	-3.904413031674672	-4.03998345405025	1.4966792907309177	4.894286977451956	7.394179762964386	4.811764596329577	-6.951950814039065	5.570953288590645	-9.164222450548657	1.1344172254187401	-2.864182247972448	-1.440496763867613	0.5235059977824265	4.290265796592058	-1.358767415222544
1,1,2-Trichlorotrifluoroethane	16.388082675481517	3.8469080140151335	1.76929307907693	-3.0553532917185464	11.531595622487842	8.748098445051953	-9.553326267352901	11.772251673539591	-4.443405651237973	12.630334509222163	13.207160886622887	22.933889846768093	-2.766836683493629	-6.641100162566405	-1.697863688085707	1.1130086246087991	-3.100363296079325	-4.537918983267146	13.119044161842266	7.521729881433431	-4.365476668174844	-2.6955431806499432	-1.3123732311595466	-1.2491872419629277	-2.6084317045242074	-4.143547702732173	0.942430804238571	0.05483353109349282	5.834932465429626	-2.9228077264659	3.904905654591187	1.9324628861365734	2.04120082992321	-3.752328760175339	-1.7379655848258675
1,1-Difluoroethane	2.7974373674671793	2.5217894987746563	-5.83768536918396	5.476055886683682	-5.7483212094878375	7.817250398027904	4.3291226938245115	-2.5651976275728363	5.165444238299046	-2.6287420160280868	6.481248603887885	-0.3835673367049032	0.22677364845303086	3.6425212099229145	-8.562104264870404	-0.3080799076542247	1.1529580349513655	-2.4029161536585475	5.0098837284978766	-6.430923464967259	-2.384033134747956	3.401895281182728	-3.368524049540667	-0.5986737790900842	0.7925384672664151	1.781255703625715	1.7086548434935862	-3.1016882957612575	-0.7586233774704261	-1.7975192218678326	3.357670631505951	1.3609709716444103	-0.6109855152152018	1.3800593749235825	-3.946072363565267
1,1-Dimethylhydrazine	4.11292885881725	1.325014466659285	-2.7909909833124997	-2.5272901581871263	6.665156010491519	-3.6457386037233634	5.316499888186599	0.47797693559574983	-3.1000581549908577	-0.8333756688151339	-4.9210272735655085	-0.9353858250887725	1.2768149996860658	-3.9573289181585354	-1.8359830805638433	1.7555350627979498	-1.2830933668572648	-2.127278612707328	-2.086797365121007	-2.2873321863089098	1.4832082171830085	-3.6170328417293973	3.476769437759371	-0.7314526314206568	-4.050317003647104	-0.2088918299707842	-1.9345823428225728	1.537212780681249	-1.7936284309006878	-2.1262369512150263	2.2210334620301966	-1.1031706658598746	6.60086520007643	-1.863020991857605	0.6315405145944816
1,2-dichlorobenzene	-7.237703793096473	-5.628125703109448	3.3421666741352545	1.1871251223360935	-2.8758229582130372	1.8421278090635613	-6.0763314401709225	-4.760270206353834	4.823953828035707	0.7282587217986736	-0.9228632107024973	-0.26092066384367407	2.9274766217627017	-1.196139149049395	4.3994366363912425	5.407374177946449	-3.649802226401795	1.8676369799291783	-2.1253097642841436	5.020904833207337	9.109117751427878	-1.0156607497060834	6.140332382137479	-0.3269408452331834	-0.48254799828688183	0.2258896087440635	-0.7371900182455956	-5.43316710852965	-2.081123599815716	-2.454611349915202	-3.8191950354499884	0.5769030568419242	6.573510424658375	-4.464186758817392	-0.7808715103128285
1,2-dichloroethene	-6.847322063243057	-3.58417962269082	-1.4314524685926762	2.935346743385506	-1.982161996968785	-2.9322576152627553	0.6236937887084574	-3.6693202961727547	6.697230812985986	0.39148786030893545	-1.9496267700323302	2.682340896596811	3.789029351587542	-0.11374731456880306	3.455724551661133	2.9681373205307775	1.2424196213611822	0.17758523547057853	-1.2943139518190352	-0.668213779381483	-2.487152535511908	-0.6332326621091898	0.7487844639534625	-2.484865994297424	0.8394080213835957	-0.2893761090688995	-1.8576637571957328	-7.019176147387113	-1.594203964195756	-3.328302761298455	-2.8204436214135464	-3.539243215446672	1.5834169868106887	0.010282533357901339	2.3898280991861927
