Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
1,1,1,2-Tetrachloroethane	-2.6341241524444086	-5.690234090719055	2.7967718510534456	13.758723214387873	-5.483819766547195	-4.286256660447485	0.050675836216488454	1.1736732274464357	-7.396155878966904	11.82826756048034	0.44696519479682717	3.122053247539631	-0.777617785993723	-5.655667963644202	2.2884677902186583	-1.4647740936081233	1.765154190042366	4.813400353067802	-8.835293836533681	0.4995355383204173	-6.795947393893168	7.6482433668000045	4.101500735878687	1.0269587297869394	7.356472832207045	1.4899470678652993	0.7814245220094324	-4.187898703100236	1.0430629256170192	6.163901492131145	-4.266338677233955	0.709174721572457	4.738899813415336	-1.1784629980332988	-0.4702647440968459	0.06143726760727318	0.6924778446876878	0.6184046887830414
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.1898741118113914	11.70083230781852	-8.317740493706093	-9.72293309279759	-10.076304936561082	15.674512142603348	-5.526225018510924	5.548809472666888	-0.9030832397958525	-6.386621810960613	4.236027396800444	-12.74499813765895	1.9333274813813128	-9.948350358424056	-6.155109416594351	-3.331307497525156	-0.6690817905917734	2.19538201093545	1.2588762601304924	0.8958829492478582	-4.235885041302739	2.4475643227278243	-0.8869353474932956	-5.714679835739395	0.36482293705258817	-3.0848011409357	7.382082550224152	0.10561070160706473	-0.7573984533534521	3.0617733378467356	-0.7124920117337125	0.9139965201950437	1.086894875642259	1.2955916774154421	-1.6020682263315897	4.64020912389765	-1.6044413889307847	1.7499895583361469
1,1,1-Trichloroethane	-1.596908491055826	-7.740577689353586	4.465145315259677	11.891182693134223	-8.405967799528895	0.8598690985516945	-2.7810867944752466	-5.0233285384426924	-7.091279717124073	7.632955976209498	4.38543243804747	-0.8826469161014205	-6.9240936446523635	0.8592758909181074	-3.3341606185463575	-2.4182313747779327	6.63035388548546	1.1222754790820235	3.2399284969009767	0.39881331668621806	-3.2524137482635656	-0.30140642006423746	2.3776332323153353	6.229389097759225	-1.1804835789336812	-1.8847312639537481	-2.2487579609908375	1.6598752446618166	0.18117787325208123	-6.052180894217634	11.524765897013127	6.239560517682174	2.314800315741577	-0.9736974353402946	-3.792503527340923	-4.786130069753061	3.9122403024056194	4.8524719186136345
1,1,1-Trifluoro-2-propanol	-2.3877610683387767	4.281366374812688	-4.249686648640151	-7.489239165350165	-4.956916413996606	11.682063880723383	-3.8284814094183583	7.489470841570909	4.943913603580779	-0.4293075834886806	3.1690307675800553	-1.7012280930737003	0.5803987406722261	-2.047515408390009	0.07933146614928867	0.38093383386276203	7.570734866641493	1.5063742851012603	-4.823133302513187	-1.975342263967337	5.663465425071991	2.417202140967041	4.172384686644014	5.366465951694993	0.6866943096924377	-1.0139826807568286	1.6445730297814942	1.4895912536985831	1.3514030866831814	-2.1479400458844617	-0.37360606882191844	-3.548520591902216	-3.8798134222379854	3.7241537985815887	-0.27856214667551654	-10.297831348564515	0.8578550799136778	-6.190476914905416
1,1,2-trichloro-1,2,2-trifluoroethane	-3.1691645863605102	-0.9477519849819501	-2.4028609858993986	12.358371372060386	-2.051407686781675	3.6588148118926664	4.96674139748177	11.893555769643456	-3.0140137953687542	6.023789598970294	1.6925376356086699	-1.7231664161025388	-1.3482510785573179	2.407518752163504	5.654775612935259	-3.3626552692810607	1.250051806484966	2.174266070497255	-0.3605651356393453	-2.6587026350268577	-4.959697547542216	-7.200082443233149	4.433094233413669	-1.6394610426274854	1.3097390283005284	-7.58199106483957	-1.92196062786341	-1.0021779903533032	-2.592629333206733	0.23645449684213515	-0.38614626761454424	-5.526137614623018	-2.592537813705262	-2.2471233578085585	4.143843616940222	1.8325868335117523	3.511624998240679	-0.09315597324625152
1,1,2-Trichloroethane	-1.9035774095645575	-6.953965847372874	2.1442940065079865	7.742173055709353	0.06559223794810615	1.1798781021088554	-0.8749971136561059	-7.227488700712282	-1.0040085319694851	10.947148549350752	1.7530339316028802	-0.6446415884449088	2.8226408768645808	-4.449789931817347	4.164784222489616	-5.8967401629620975	-4.856114398641214	-0.1252782388836512	2.994966266251201	2.6714108603564624	9.620073958702804	-2.6672196304863505	-1.363216712309953	-1.047202046283777	7.530590190609594	6.200484109775457	0.7110123160443339	-0.6372304659870657	-6.2979139832288205	4.870054425677425	4.09761019755994	0.8078770918320659	-0.9880238221529395	-2.46513692755081	-4.566419856330527	0.44881666357737054	-0.2334099834369054	-4.605962414848741
1,1,2-Trichlorotrifluoroethane	-1.7546099729384697	-0.35760616443356047	0.5147391784929473	9.870626450871793	-6.674708773145073	2.061635089332567	3.06119682431746	2.483564035128362	-8.488682405087339	11.455544696607358	-1.3522564858502941	-11.354057346900168	-0.7661033024867072	2.828383896125199	3.1706096955716045	-2.6494745329637883	1.7570048223479016	0.02284573166341708	-1.8790589466543486	-0.10922902895875299	0.0022753043249634447	-11.525782170075866	2.390813449385877	-3.315930753265967	-0.3293173963989414	0.8279715329961929	4.438997529170095	-4.1369197320361355	0.09362448749195516	-2.1164961409971053	-1.194713774378355	-0.4613224614908141	-6.108451663182194	1.3293423290174349	-5.565787319910937	4.280568730920018	7.551301716507715	0.32574093710222196
1,1-Difluoroethane	-2.815206600209401	-5.28184543652779	5.996520314399926	1.183564849560465	1.4479307521311398	-0.8546040525104752	3.4422957664472236	-3.7145077803835758	6.085628450474772	-2.749923607254124	-0.39068891725878385	-1.0713199606637112	7.2160638362310765	-3.4705142888568004	-1.5097840396178086	6.20189380913475	2.804704953365881	3.1736747072748086	0.30128702288658255	-4.850098023372267	2.9813965057521803	0.4057076223120736	5.1475550220636705	-1.8739394503972677	4.012587668098122	0.6928036060350717	0.8834550705005391	-2.1305469802565105	-1.5017032043268306	0.21994054129244758	1.4847663309174202	0.34635502879762636	1.7158625285014475	1.2014048403015334	-1.115520302851037	1.924628984065226	-0.4188532242795314	-1.3736883545039067
1,1-Dimethylhydrazine	-0.9904302287637535	-3.1900553856669265	-2.292504843650586	-0.1713603427536554	4.294973038788345	-0.17763784178086509	-0.02038125136485386	3.067670031523195	1.2888835696749594	-0.7940016088650631	2.5118957456123243	-1.0448813794276086	0.18013490268976756	0.6039193198567315	-2.4411635506252356	-1.3551021818978022	-0.7235903960760343	-0.8511934583515705	-1.9157289930802262	-4.3145195965294665	3.604954164625729	-2.9515647704612125	-1.9045430441832385	-1.837715626847197	-3.4129260663237537	-6.127305499969414	1.0383392259436317	4.940798182673025	-0.1942336867621189	5.8445139975212825	-1.9606745859724581	1.4519556585722322	4.554295224592204	0.17045356964755282	0.09213121228779066	0.866530559064266	0.4530187673985082	1.0292961632549211
1,2-dichlorobenzene	-1.429616587528467	2.001739848253175	-0.2841313990220984	-4.985733820857332	-4.970306306307058	-5.942923078934125	-2.7277948566827748	6.672414193568686	3.170867082622675	4.290675023074864	2.736252272694838	2.80265659213533	-4.197518107252846	-4.004955465392173	-3.239432029446403	-1.8493103467369194	-0.24915042669199983	-0.5712917688336138	3.184148898968226	5.149126692684221	-2.592028043363159	-1.0070296202266396	3.1439548108133217	-0.9683494523165673	-4.299366379500205	3.5408091181682084	-6.920333129562061	2.44169789759366	0.7323339956749004	2.8874135293470213	-0.7721818245627259	5.7078119137221845	-5.223839552030302	4.957885074982639	5.511675037740789	3.3940993686407896	-3.104102216364329	0.8371771492716645
