Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
1,1,1,2-Tetrachloroethane	-2.667858714129815	-1.8796322613292802	-7.17992673706361	9.242460265353271	-7.346811709918955	8.545622122775887	-6.745195278249246	10.503331783973923	2.9842193403560757	-0.8032201542290431	7.331175776695134	2.8592313664521543	-3.7108595026439986	2.4184629065780685	-6.487672583510377	-4.074944419559957	3.5502061062026677	4.103017833889551	-0.17164283996599022	-3.258966031721403	0.5913915238813486	3.77811871058999	-4.586242769809063	5.136411546287874	3.530692083619752	-0.9652170310610158	-6.576749977786343	3.8053798036038833	-2.741917582702621	-1.0006639609337373	-7.502557679884899	2.3897811573265826
1,1,1,3,3,3-Hexafluoro-2-propanol	-6.131581375736641	3.6545396610299012	3.4164517821642644	-7.531289517855105	16.84149581469997	8.01110366479202	-1.8962939558242669	-1.158851621562677	-23.014683872110215	1.0835404456851796	-3.3841048010834998	5.585127388279257	-5.5030465725032895	1.7558733610751882	-3.967885448513734	-1.5196224882252474	6.552244875001898	-0.4758461466555989	-0.6412482270414656	0.9371294653716653	4.336413929743285	1.7832673013178544	-0.9212239142824938	-7.451779177584764	6.42016078296819	-1.4994134944922468	2.326443654169465	-0.9172092519825288	-0.3741442852432354	3.1255228817183327	1.834885225372612	-2.148672166415521
1,1,1-Trichloroethane	-1.708664909293264	-2.7438250468854464	-2.527818098283702	9.042458107223778	-8.360703134121698	4.090655789134373	-5.05461061184969	12.908218963487247	-3.3652366648511074	0.2964611235849372	7.616229889857784	4.456638554551969	-2.4173060082738025	1.5040555597040135	8.158668192541102	3.1194090876675262	-1.9560741051753863	-3.842032174018428	2.992184153797325	2.6392993102893	0.9065525044197099	-0.8765322574428938	8.320689570706135	1.775241297848335	0.447331208169509	-2.5459498420482802	0.11213046797745331	0.9078437849707869	0.0896314488541598	-8.689966502588955	0.2459525607187261	0.719164801910585
1,1,1-Trifluoro-2-propanol	-3.7373576421026264	0.0017821602218283058	1.2501204353032394	-2.105684600753341	10.655654726756657	-0.4959548463866488	2.2002507264749216	3.196940360446403	-5.530364227258202	-0.7769303198589853	-2.5244039373773273	5.600446572383944	2.5231911332470114	4.545613059469649	4.762315015157112	-2.6815093983815204	-1.4318278731408658	-6.676507893998089	-2.7959127543814537	4.721666370979408	0.20451088040343868	0.15890888219196272	-0.919300093521171	6.010514792994576	-5.357703509428636	1.53165768231447	3.9784599787765673	-2.1904597263528696	-0.45163231693016803	2.718241184082554	-3.0296206570021047	2.1930995939357683
1,1,2-trichloro-1,2,2-trifluoroethane	-4.082498156671796	-0.5341747268954568	0.5121109051487178	6.078078287666674	-1.2593223546676124	10.308841987562847	-2.9676054590780723	9.36841458711948	0.5306112770678674	-0.3793538623350095	-2.2659851991710247	-7.734382061682128	-3.4025346321072365	-4.3928930211840855	0.027332535654251002	-0.7008922775543979	-1.4029652667152934	-0.8557684222903138	3.092168496958654	-0.38611815475422323	-1.2149933647543907	-4.79268294164535	10.970026969753647	-2.9052327279995525	2.3969739033055797	0.4462616350272484	2.70939547473813	-1.667922623400337	0.5321426714100445	4.4860877146044125	-3.2151117182406557	-3.810670118032525
1,1,2-Trichloroethane	-2.4974604063924284	-4.061525342147324	-5.713635183439357	4.272932197354937	-3.6002381714575513	5.394892670449579	0.6246481471786834	13.533542528756357	7.614282601433187	-5.027153714150595	-1.6081222078054855	2.7425174702746324	-1.4065347667228334	5.480849210362334	-2.529504747488819	-7.42361889860034	-6.788774205935743	7.10556504000127	-5.9630910742058765	-4.400949291222261	-0.21081282450812794	3.890831930266541	-2.1025790261637805	-0.9081048162371839	0.9640596495156315	0.9637074053442647	-5.183070342584078	2.8519658482439474	-6.167811822963529	0.4911470302776879	0.34465613513185095	2.2002974246451483
1,1,2-Trichlorotrifluoroethane	-4.20699683729333	-1.5808395411204665	-3.2981169786349915	7.4445213619212405	0.8115271994857944	8.809273612559885	-4.985803936180642	11.123167593607505	-3.6977319759570375	1.471421771373792	2.8440937315260317	-2.4565452842310416	-2.3824643124134037	-1.0857721094661468	-2.047245040014162	0.8581261755927908	-4.211338915010766	6.691596627195534	2.3289159387080747	5.013222515640447	4.590508196331728	0.6997241315154769	6.404638104511908	-2.4378616705184304	1.3384015607605828	-3.106108759818191	-3.9994923740280095	3.328348090374435	1.0333859844373194	-0.20812438261669416	2.3268628719981677	0.2505799033712872
1,1-Difluoroethane	-1.1638392986899917	0.973504071088485	-5.8654745052494635	-5.457343509125912	-2.524057452225228	1.3039775300015963	-4.317562213098951	-5.206092135083467	2.6463571144702414	-1.4901026521309655	-0.5799863492617274	2.1257377288489656	4.894959572078493	0.6453284924471914	-4.897067147013754	-2.3179677362025832	5.678536361830105	-9.542837951565549	0.7019195016173392	0.6641232442111278	-2.331456329682399	-2.610276943972353	-1.0209211808939935	4.090547489756153	-1.1944638058136468	5.466667668987584	-1.342704577951223	-0.09390560232323746	0.09539226553398632	-0.17335906572155857	3.885072655174844	-0.06838011584553706
1,1-Dimethylhydrazine	0.5202895775161004	-3.184852024986354	-1.5709310071257334	-0.7416179113246073	-6.583478266499114	-3.2065881785346773	2.7719742946038055	-2.869620366358838	-2.1548673150915993	1.4666097455480693	-2.7612292071670343	-3.09556218557549	0.7326194925982409	-0.3449639190190454	-1.4640205571477702	-3.8532733233194185	-1.6319910463225855	-2.3870079657051297	-2.270633532649621	-0.8418350564233984	-1.8913202782737235	-0.47866504979799995	-0.11319499556441984	1.1773439235701315	-0.5691859817698887	1.8937678366734672	-1.6026222886001262	-0.13798522939876556	1.22678873343791	0.02444857009544764	-2.421246822865484	-0.7743194866961438
1,2-dichlorobenzene	-1.9917127356735027	2.389975466581297	1.8457496109124678	9.286937507007448	0.7439469760221183	-4.493297184826359	-6.172071523882446	-0.6373170902531933	2.1532460243147806	-4.672179875809227	-3.0523642053744227	5.7780355914692905	-6.171404756911287	-1.7893058295316715	-2.9414624042195725	5.889532711269919	1.772004026968354	-1.3033023003807593	-2.7768891003030185	1.839696417557804	7.0195339025268835	8.131778232099732	0.9060556345852353	-10.06050516423337	-2.5652827397242595	-0.4298916113317699	0.7646318635684098	-1.2321283063085757	-2.3478719746649404	-1.5467694503922673	-0.25866157520052047	2.7891555508552073
1,2-dichloroethene	-0.39114718011022315	0.5235041636819492	-0.644042305384835	-1.9642839202237241	-2.995047652551707	-4.6361538163187985	-1.7687142162287284	-8.963362719082781	-1.5652077990105497	-6.360285612232232	-0.6761906294118655	-0.3035497646716616	0.9773482604374372	-3.926318838101925	-4.561089671864439	4.93766110375977	0.0015133782004395264	0.7402409989705647	-1.784902656435579	2.5061910641103915	-0.13888137023931166	-3.029684175044593	0.8696105664772495	-1.4871282052507715	2.335827148182026	-0.3891863362719811	-1.2274520942744167	0.4733927502358878	0.6283700056409194	0.02673015910003442	-3.6351966705413576	-0.958244285985616
