Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
1,1,1,2-Tetrachloroethane	-2.381777490232023	0.9098795139874437	-6.563512441824308	-8.465125462710713	10.635513094014742	-9.887354505150576	4.609857625347149	9.047676672011512	-4.791149011565247	3.0585492895359803	-3.375401851329128	-0.4513743556413701	-0.5768489084819498	-4.575426303388263	-2.156220618886789	-0.9550405145681845	-0.5975545871244106	1.3065476503863658	2.9388266025828407
1,1,1,3,3,3-Hexafluoro-2-propanol	0.9449721153871904	11.698696880467224	18.606009864812055	2.459667711249411	-15.023477375823648	-1.6131267342202371	5.669080770118397	4.23073421275021	-9.133058169110768	-2.6708723699167933	-1.6632161378354633	-2.821274430123933	-3.103856660725797	-5.711675789504783	1.1240983709585237	1.4784364717646692	-0.5868577683628796	-1.9652237913267072	-1.4145926169382241
1,1,1-Trichloroethane	-1.5873620036104936	-3.73758778234342	-3.368238994741876	-2.515084397055055	2.309218431414427	-10.018263415747354	4.271907659340772	0.7322254529205144	-0.6792889629313804	9.425828313983837	1.4055886315242518	5.406844897114854	5.428369081478123	1.361554799224457	-2.112046232410053	2.0123330535675117	2.2416675679481513	0.6555223319467033	-5.603786068603043
1,1,1-Trifluoro-2-propanol	-0.6719798430105564	1.06703492788364	4.730448189060208	7.837197819253143	-1.2416912530462425	3.408517886895801	6.737969835281498	-1.9794407921029409	1.613632456224191	8.275670079320673	-3.122869493415966	-5.464115925939773	4.623066165327848	0.9513319761006376	3.060482066681904	2.928417497652791	4.201369588762109	0.8488997294605974	1.033917566097151
1,1,2-trichloro-1,2,2-trifluoroethane	1.1661942306900495	0.30128988839833143	3.7285816759394543	-5.858494783309037	3.2206955859890987	-1.0468653498607088	3.3870677150220856	1.5510078472892275	3.0126132909079093	-4.31796273957989	2.6025298326179813	3.933206978084925	2.043227812495542	6.950334995435652	3.6649624198982096	-6.162549182341954	3.351031777990501	-2.3922378003472664	-7.784925994154187
1,1,2-Trichloroethane	-2.5096422576805093	-3.124565066543687	-0.29459613643925125	-10.81792466758459	16.5071007632796	-7.222458251572857	4.643130145211102	-1.224619998715797	1.374934261906623	2.3152415068180128	-8.977953597562285	2.205836420687272	-4.278728639244019	-4.0968368818797565	-0.046121533750159274	-0.8139338201912452	4.5589164262902795	0.5436748446136705	2.870904207561988
1,1,2-Trichlorotrifluoroethane	0.3216917155625579	2.4291129377929255	4.5734946803505085	-9.71840215933162	6.532788459672433	-2.5180084575661934	6.925993531026146	3.51040628271546	-3.461971343382442	-1.0875897679650055	5.19812366067396	7.742595548595138	5.513851159256992	-1.670539185520333	-0.591414381867027	3.208275675513295	3.181786959770707	-4.5141157239309075	-0.9237886405714427
1,1-Difluoroethane	-3.807279707577735	3.7115887545918422	-8.100762947053461	1.6222896637453132	-3.0578607572140335	-2.6072422010076868	-1.9076893423008463	1.3806905796025915	3.261696423272588	-1.7855644889280171	0.42860378914546254	-9.308633148008802	0.07481122130498347	2.5037818654313866	4.111777678255737	4.291497743207198	1.7731213449872163	0.6748988518028846	4.807454332087408
1,1-Dimethylhydrazine	-5.596690929324691	-7.603802485910005	-1.878081809553772	-0.34162562955624676	-1.3614730490013562	-2.9584208542140873	-2.823956320712258	-3.693082127517332	-1.7994177579993405	-1.7640952219660562	-0.720819263515633	-4.181777451433171	1.3285853533306153	0.7597260641547443	-0.07415208015937938	-1.1045292872088914	4.871346409065742	1.0827606426886551	0.2925945557902425
1,2-dichlorobenzene	-1.5441540873705115	-3.038742049867297	-3.195505346461902	-0.4435244576510242	-2.821144669398355	2.151159521300298	8.87727077865182	2.483305583524071	-1.373174071143932	0.5179160112694492	-0.3747481910133863	1.323599900986684	-2.7033953517276443	-5.305630356526694	3.1224748903191544	-0.3944357667939927	-4.363890703155809	4.4119794022786225	-5.632816079638043
1,2-dichloroethene	-4.011848947549112	-2.6731846096615532	-2.6548671326488726	-0.47592722562219	-6.371747271198386	-1.2300686775368848	-5.028205843228674	0.1271714831426686	4.21006133372028	-4.027068605814852	4.7089727026506605	-0.23941624939462636	-2.8697093552445705	-4.976072225090554	3.1650411765754036	-1.3623932798627911	0.13481443940832022	2.3283045417731887	1.0203956596633048
1,2-ethanediamine	-4.634781916623649	-6.556713754287582	-0.8362502863616935	-2.5004395663288745	-2.6041166660992965	-0.26331104349469076	-2.2976512761570236	1.351264299995818	-3.006494079482637	3.3290953599760176	-1.8070099989314956	0.013727575428477962	-0.6140302982050013	2.210911260793956	0.5599508118548361	-5.7585344808345695	1.8359711418568008	0.7698231420544958	-3.5488489089710806
1,3-Butadiene	-4.2025654448819125	-7.951670843138254	3.3570987524797764	-2.9250685685932476	-5.9438065473344865	4.386182951495058	-3.2561323594428364	5.006026694784281	-6.742460663386326	0.42641117103690235	0.7039723303368048	-0.6080738240859989	-0.36869584760369084	0.9824836988385879	2.3667144817379207	-1.8729363356700537	0.8704787706229793	-3.2949332694625073	3.9290053466183426
1,4-dichlorobenzene	-1.6292979448018778	-3.508558713522291	-9.585321445188281	3.3797362548221224	5.791067968149667	8.298332612095665	0.6017712408902582	0.5287717186440779	2.1630437738567756	-6.396705146245179	5.076825823546351	1.4925090143085322	-5.319000003509548	-4.519982222326676	-2.589194203903696	-3.8599377648938162	-1.3919939343152277	-3.924937286976043	-4.830732019623124
1,4-dioxane	-4.407722423322595	-4.974997364563712	-8.087622021403524	9.511841351220031	9.204601531339938	2.356086116558267	1.3510713685276936	1.2929263060819642	-0.7716514200157972	-6.127355665004308	0.437648750309475	-0.7370947614384894	-3.9396144976256964	-1.705209329450205	-3.800909138915053	-1.8667707970189054	2.9956129207455917	-2.652142210014783	-3.037837228489094
1-2-3-hexanetriol	-0.8691273393967234	9.753659585252063	0.9524805292090855	-2.9810406309442588	2.9400253344789697	0.4558814339788165	4.01386579309716	-1.584436670421027	0.7559688118614205	-2.741551602498581	-3.387639203114455	0.3639165977806882	1.2475115637610008	-1.8471757915049816	-3.2373256103527606	0.01569558606120825	-0.6945808056345479	-1.1695217184516289	4.443062761770224
1-2-Benzenediol	-0.12717754658880837	-7.702441830989193	1.569678154673134	-2.988910325604254	1.741173251277967	6.061468873465232	-1.5071789899879646	0.2786559921944131	-0.5041374427658248	-0.20532842253053118	2.8321017241666726	-4.834801954961806	3.6629554634187818	-1.1099900230475075	-5.724418911416842	-6.081627136906107	1.6249125801069946	-5.324276483812228	1.385199052352656
1-2-Dimethoxyethane	-3.7605999888095143	-0.6221871458522202	-4.008529247621965	-2.1311427949881536	2.758147113157727	-1.9519503232043705	-2.868627248333442	-7.198836410816305	3.1612133141201215	2.079668375376786	0.29442480946943683	7.63517626244059	3.30857879143154	-3.694469025062999	3.022625661155813	5.514515336053971	3.749474579816914	-3.6904618468494395	1.4138300129166232
1-2-ethanediol	-6.046939691720352	0.7315433173889261	-2.7643269219744404	1.1322221739898848	1.8409853325761047	-7.122014094234378	-3.0599693893941975	5.952911184004113	-1.5346951786272773	-0.5434930952124103	-4.759292344736724	2.063131572757185	-3.337122341780914	-4.870805612008647	-1.3637654294053119	1.2444530502913485	-3.9616796128663805	1.1704672343732538	1.876156708562323
1-2-heptanediol	-0.7765242815264364	12.290233195736226	-2.5682503085210073	3.4764462879732294	3.7403119962418194	4.672385338408027	-4.056147710933153	-6.762234437010642	2.3706621070465483	-2.0659353565063614	-1.0691336936946396	2.8157652434655445	4.105978102193414	-3.6880173584067193	3.9305974204477745	-4.709061017841745	1.315234918060922	1.3760810869434976	2.400702005812713
1-2-hexanediol	-2.557693371605354	12.812041389608574	1.4869325706203147	1.7647516433102564	-0.5631024049316166	-0.2411981849242496	-6.864421235760566	-3.8584161452924306	-0.5307817477888735	0.18373344078572518	-2.7070951362490634	7.907503696632264	2.635825767939568	-1.7796799265243748	1.4060879023502155	-4.4921526636727	-5.05991789334054	3.498819854865306	0.7187167378570288
1-2-octanediol	0.08457178329708853	14.70532621357929	-4.579598086647348	-0.304661870242811	0.2351141071271703	4.076274538042004	-4.237556211649673	-2.399322016791422	-1.3668852985271522	-1.9314436794553134	3.6092026057806446	-0.6293068898961751	-4.194153471331296	-3.852913983853668	2.608184819243888	-3.633021348050556	2.728935015140613	-1.8932163987596213	1.1670976483132813
1-2-pentanediol	-2.1978866393145826	5.953813078126944	1.4496347234869582	-0.18366351913904883	2.882462144927328	2.972576652449665	1.4375117050680968	-4.274908237988084	-8.644817744999868	4.8980555845672	-1.4649941599036131	2.920425721644468	3.4165501718873683	-1.006499440153015	-0.34010210779491606	-1.2425578111260407	0.14162077182800747	3.472249930531185	0.2954835158922285
1-2-propanediol	-4.435041194074223	1.1286127119105336	-4.842450921101506	-0.8663635250037106	2.6686703106161693	-0.6364301772238083	0.5980368916715926	-2.0548599445037903	-2.2071678324206454	6.907080031492706	-2.3563478287989996	1.3290516796666965	-4.7257121014592105	3.391924963138274	-3.411481061876644	-1.2887173426872545	0.1039357747244259	6.060840623963612	2.987238755599725
1-3-butanediol	-3.508363585217375	-1.3260967817358194	0.5662008392986809	-2.537954100464662	-1.6184497903179957	-0.7532418310983017	3.669198493070844	0.12157443458216616	4.775696939368678	-5.149034573871977	-1.700053859919045	-8.188760998505998	-3.4156948309144393	-1.6775899820589795	1.1525499645809938	-3.302712468726592	0.3712691418602184	-3.7361304811161467	-0.022480210968323918
1-4-Benzenediol	-0.5064276149414655	-0.30848420581220487	7.884900061204392	11.673390348262492	-4.154843266731351	-3.1600477953355455	-5.193201032108222	1.764145978207837	5.147264894146	-3.5041524937102535	-2.442206530008013	3.2517228239180382	1.6621090797029876	2.0413697222940157	-6.0081408831434295	-4.78902861970689	7.425963476356294	1.0193570090310522	2.1668129155016667
