Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
1,1,1,2-Tetrachloroethane	-0.28064825425861895	6.3763728398132455	8.954792286644354	-0.3933401238090034	-4.332472157360376	1.8383616905065714	4.796032059636789	-2.853481163086291	-3.1982979437832837	0.5567991505056429	8.220268494813245	-0.8316098765637011	-3.278511837634914	-1.4608333963321118
1,1,1,3,3,3-Hexafluoro-2-propanol	-0.8412120824837062	15.228854751503027	10.108687006206669	7.475579428441833	13.921420778230457	-3.3236528790549826	-10.870482307043153	0.5638837076408627	-1.5928113559394221	2.9052377696816687	-4.807979090190691	-6.532671763711653	7.862040336238674	5.923010242312576
1,1,1-Trichloroethane	-1.6333776472147872	2.5980978652897164	10.533090676672682	-0.6424918222464315	-4.298027698675761	1.5832682908119982	-1.485319875884418	-0.6494085641911491	-1.8579045400566323	2.774399352112637	5.645858207563265	1.4091592093939183	-3.2944332827916822	3.6303667917798808
1,1,1-Trifluoro-2-propanol	-2.808277960364121	14.116310542785877	11.327350856372398	0.15383293383689425	10.667486090595308	-2.1003727466047604	2.4877522172835205	3.120074410290601	-1.9471218650510531	2.3417995417622017	0.48166231676069443	1.7051657847061383	3.4263654438847397	2.987048419474892
1,1,2-trichloro-1,2,2-trifluoroethane	0.8657923454962336	9.510421538343136	6.391805856023764	1.49949766080949	-2.4088248800379173	-6.61870665493558	9.704047604463618	-10.72561497821956	-1.4880899341958664	5.742399888306482	-1.8445203799993408	-3.687630140465652	0.4743807230040969	-0.8726208746424817
1,1,2-Trichloroethane	-1.445703604891134	5.115010281041841	9.372796875050513	-1.0381021771125962	-5.788164892624246	-2.334371722218875	1.7923448812459135	-3.2393092528442975	4.431542005201031	0.5758599515989282	10.813416578195183	1.537977979180147	-4.608196641361416	-1.3591860704305512
1,1,2-Trichlorotrifluoroethane	0.09695440315557886	8.852845206838674	6.432294395144603	0.9348288832615765	-3.4726564050401594	-5.446289194457716	0.8317907931716939	-7.274395923343469	2.877093845438537	2.98739484983119	1.7682566148732732	-2.7124427069264194	-4.004989089441829	3.500936385187482
1,1-Difluoroethane	-4.544591249777029	4.164501271403877	13.335262301774627	1.3392571951303043	3.2462360839133724	7.4157694388396065	2.262244669610242	-3.352975093052535	-0.5026469704110507	3.812656679116071	-1.201031756417246	4.540542482708256	-2.419168169893625	1.6039102660330844
1,1-Dimethylhydrazine	-3.483099169176125	-2.2931752421721265	-1.3602965470194586	-2.695159803120375	-6.876948164264045	-3.885496773755246	0.5017611187618122	-1.3197132480988074	-1.2733164762508749	-0.7228440418798251	-2.635849566852435	-2.502802166335153	-0.726503129848629	0.6031249288101806
1,2-dichlorobenzene	-1.3810681325849135	-7.945886157033723	-0.2533222014015532	-1.9771564456532291	2.847473708379049	1.4595092057117562	-1.8279165197499014	-0.9771932329264882	0.9868581841329424	-3.0790015221532245	4.386963753148914	1.6738272116459065	6.934529198120558	2.594163887053245
1,2-dichloroethene	-3.738353683969417	-7.294097165293594	0.5992071750894636	-1.7785242330229911	1.697856449720152	2.8085379495090965	0.7355019578146421	-1.2127902690732777	-4.201601272848614	-3.9982857921083252	-2.2667727098192443	1.970001166905462	-0.7157802434684122	-3.534792603082381
1,2-ethanediamine	-4.689428606748161	-8.33504042299287	3.14827409544351	-1.4067602167582844	-3.2616778683526504	0.6789131374007836	-1.5724386375646304	-2.1036121641291614	-0.8416879319481355	-1.1139340130346487	-2.773552931320155	-2.157212383148359	-0.32840618639	0.21074204776380281
1,3-Butadiene	-4.2616833502241285	-8.2777961327993	2.060296571098957	-0.5140991751722169	0.16233846796430318	0.3801311847731811	-2.8927161789156433	-4.14905520628198	-2.2362349554823546	-1.4595285227312105	-6.026259566708546	-1.3979541567026974	0.006820659154324113	-1.698342203390125
1,4-dichlorobenzene	-2.2714761808814132	-7.9713812590386635	-1.2122941975816648	-3.028122490221651	-2.490189786137179	3.0086273277890023	1.8953448490082332	2.410249491241552	7.200485807826613	1.565341247513443	4.357459854211168	8.28848673145813	4.8142283721151164	-1.3982821394531644
1,4-dioxane	-3.883598207458501	-8.313721809834522	1.4888861652719487	-4.614166561654132	-1.2353717920854517	2.165449702297346	5.605700618362166	6.007922902408153	1.5930915545350657	2.758251732548483	3.639391788027615	-2.2889569250338018	0.10472239765628008	-1.6924220606658031
1-2-3-hexanetriol	-0.24322910390832303	15.510239021322336	-9.542367913025945	0.41113203029897044	0.9901190083900546	-1.4350427518438185	2.8618516566441374	0.6034392730858054	-0.6739226979574414	-2.6835114684721315	4.0160052101270995	-1.3266584425795407	3.2207273213411094	-1.9818129209187243
1-2-Benzenediol	-0.5313281187080088	-8.267048001284374	-5.11493259154057	-2.306499626557927	6.107064636384489	-4.718567287925482	2.4087172839184463	-4.19501079229054	2.966742047450515	1.4129385628819011	-2.3183094590041704	6.368074668870558	-4.82304844664866	-1.4394167558771325
