Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
1,1,1,2-Tetrachloroethane	-2.1167032289515264	-7.71525283567079	-3.1378152764096927	-4.685855659590553	0.06104525649599174	-0.29920795407662376	-6.984778860013997	3.498278076468509	4.906447699728308	-1.1204380436741064	-2.0799020821693	5.343912537065226	-0.9928206912268362	9.393352205220873	3.0034937240000934	2.423102604643396	-0.7337774363201803	6.5922217908534835	-0.4982574600926555	-1.0036524943571965	1.0227900231664844	-2.5840118762708006	0.8054769590322021	-2.6851520036336263	-4.20293734879324	-4.1774627186913404	0.3965986979833245	0.5936668623920203	-0.7941885288532624
1,1,1,3,3,3-Hexafluoro-2-propanol	1.6328475433583074	0.06812442076974747	7.424931429420952	9.92512653409232	-15.226754468377015	0.05300261113007182	0.13132645355550018	-7.014843650632196	1.0380810796440658	-2.950861049928321	12.507280471475102	-4.877260895981136	6.754557122885059	6.90692931158317	-3.0958467351022936	0.6559379229087374	7.568483191747295	-3.9762656681252007	0.2525236069846106	-3.951700335038975	0.5633495202176639	0.056340924756060895	4.286259617213357	-0.8767748911639219	2.196668805628881	-1.4710159342760991	-0.9881535013459116	-2.417871082700672	1.9024211286728747
1,1,1-Trichloroethane	-2.58255967324208	-6.993113063146357	-5.547606703508086	-2.5760465221703988	-2.477123211478088	-1.028995811060603	-0.0389397114183796	0.7274879052364707	3.781623805948284	2.2670423837959763	-3.6646569379040477	-2.6916215769968925	-2.218945361865341	6.201866587785276	3.9454054794861877	-3.901900326735246	-5.100756335158172	5.1212510538791065	1.9635440060684692	2.8167456577409067	0.08764359038407074	2.2546040087258667	5.237470760311161	1.6157874484561827	1.3799876159141975	3.19183167887373	0.8267812102978717	6.076340730484081	-2.1056027016969754
1,1,1-Trifluoro-2-propanol	-1.2960063909802877	-4.056641762720389	0.3290171996823624	4.049867016760052	-0.07863319980191275	-3.9208937918105793	-3.709034316384306	-3.040277407898173	-3.894555449632075	0.4050814715881861	-0.35865044242980965	1.8342950746639335	9.228988527939286	-2.5326519827127356	0.34544026710810655	-5.030856289768318	-2.207076670302725	-3.564190935078353	2.714310605716352	-1.5864783851128477	-1.3015833093197835	-3.16519160045677	0.12105493042560853	4.590508712764775	-0.500969804455662	4.579275400485744	-3.146075045800636	2.74407448295431	3.5658080230144447
1,1,2-trichloro-1,2,2-trifluoroethane	0.6340571128472635	-4.327709625400619	-0.21796428757921	0.6761620032345399	0.6016139365253348	2.8663754145719844	-2.3223140280103003	1.4129234640976542	8.627537568818608	-4.031770979197214	-2.1690640067526776	2.278755642580637	0.14525525406159778	-3.5359321619421094	2.3950505960462998	-4.306669348677084	1.941217397103907	0.8652925312866944	0.0487867570993526	1.4945037943922144	-5.612797301643039	1.208000283984551	-2.2047190707580198	-0.48687583143663243	0.644262186019353	2.8419162932624276	6.690776808697688	-6.475628996050488	0.1605092067743347
1,1,2-Trichloroethane	-2.2352252861033786	-7.652710216832235	-5.144936440313547	-4.302441893028213	-2.3288102728194953	4.147673955435461	-1.7169646273463905	9.374737133101743	3.8243144953642276	2.3845846241452255	-5.124314074201841	6.902321035683183	-1.038830929563848	6.366166804976372	4.435603707996128	-0.0868522984443927	-2.4881484346253684	-0.49465171609972625	-2.196364021820746	-3.7866152855932715	5.984829106702406	-2.0605704904073927	-0.18060900739046615	1.9932376960729912	-6.159695950694608	-1.8500220442239173	1.802074237679415	0.0855751734385844	-0.13590505251220408
1,1,2-Trichlorotrifluoroethane	0.46118338450377905	-5.514950859033094	0.2590840494825544	-1.6622106745680345	-3.317390341031077	4.532975860558014	1.626231239921999	5.600130863573573	8.55190761837852	-1.7157627970238347	-1.8341848813848782	3.3524525703492456	0.45797738029358676	9.301201323441877	-1.8518758732080063	-3.58530788644313	1.5020073247856385	3.7248139222152195	-4.229876020764545	-2.2287171192477873	-2.3273013210376066	4.195494561482385	-4.631302323014709	1.4902880157294134	1.259236032408959	4.186446801134788	0.8135930063585909	1.4644710237748435	4.102911472558405
1,1-Difluoroethane	-3.10998427881045	-6.456014152161699	0.7075519997268362	-5.603277115079433	2.673978732845364	-3.6573275348262633	-0.2914791126983468	-3.5222722197417577	3.2415873234882384	-0.6695862583931258	-0.40426296091200054	-0.7727667085517297	-2.515371332033756	0.30432715298984986	-1.3747819741835874	4.068111184861813	-3.135453928457321	-6.964687354364769	1.983715877804499	-4.199620013605059	-0.32203421607142946	-3.523817025226146	-0.2502524608591025	1.5283152216545586	-2.1124206441195947	-0.09212248496118249	-2.401453824170158	1.9159052634111102	-0.03916802164862701
1,1-Dimethylhydrazine	-4.920080888656653	-1.812108172036389	-6.298395606453045	2.4929342936494	3.6563833698530783	1.629631862110348	3.121240670218542	-0.5689172472338788	-0.21840450578288614	-1.2157870419654089	-0.4963600083571311	-1.340182534658172	-3.6030002233497296	-0.11090585253311203	-0.165277795225666	-4.146927576050858	0.3052493848055914	-3.5042468597218988	1.4806010685194868	-0.948718620131267	4.275018209089416	-3.742771411079573	-2.7666035692431734	-0.9657214709745076	3.8158674053514106	-2.2201427128666626	-3.9242769860454803	-1.9557887301554562	1.5692054020801705
1,2-dichlorobenzene	-1.3626186528757482	1.1360103194037032	-2.402734791155766	-0.4185700925525744	-2.042120995939886	0.5547229108000769	-2.7810420279366346	-3.000206679763795	-1.9825139847569897	9.068974174565497	2.433859324528882	-1.89653777012699	6.611265449795466	0.7132963988328307	0.7617475185286187	4.012260919461212	-0.05497108976818238	8.397460233006518	0.93514613490724	0.3955832181783873	-0.761049919743498	1.0190415812977052	-2.113204821205082	1.8054667463383187	4.1884195751316895	-2.677482064757212	-0.9079870410098627	-2.5613031988864026	-1.9836184389602174
