Molecule	PC1	PC2	PC3	PC4	PC5	PC6
1,1,1,2-Tetrachloroethane	-3.949733025133918	-5.977962826896389	-10.402235227953812	-11.9113298299349	3.85606063017253	-0.129647286993643
1,1,1,3,3,3-Hexafluoro-2-propanol	-0.14321338627574356	16.67792410567293	17.532193252347955	-7.0867391276432405	-2.983788677540639	-7.783780845482733
1,1,1-Trichloroethane	-3.097514365303345	-8.456725528938513	-0.9288254667880693	-8.956561089606327	-0.6239193264834465	0.8291407864277722
1,1,1-Trifluoro-2-propanol	-1.4969922238793643	1.6267087243310165	3.4195925074762363	5.341204964079618	-0.3343164746097167	-1.5119659900609035
1,1,2-trichloro-1,2,2-trifluoroethane	-0.3209925531621438	-3.892095666871752	3.3090272833987866	0.09716157996998807	3.5788603390980596	-0.4519430160923999
1,1,2-Trichloroethane	-3.747768315903545	-9.73253028006787	-5.71941766219387	-5.3757714672706385	12.586646297399884	3.004635671633505
1,1,2-Trichlorotrifluoroethane	-1.2007396897890696	-3.9993726472583626	3.555045663993925	-7.823288252651785	8.902606604800631	-1.6032509762906122
1,1-Difluoroethane	-4.580839894792806	1.710577081169786	-8.074167630665038	1.459573744409256	-7.968786952869502	-4.946695968499235
1,1-Dimethylhydrazine	-6.765616796867905	-5.778006460405804	1.321408559845888	1.2092088531500245	-5.49927460262685	0.24675262354539293
1-2-3-hexanetriol	-1.8155414528280587	5.990287473971009	-3.432576797967276	0.6209886021095519	5.643619798446219	-2.9456257132620545
1-2-Benzenediol	-1.9593774579372145	-6.518795518091294	2.6010666544170333	4.970906249245661	-0.38196615215772783	1.7707324771609352
1-2-Dimethoxyethane	-5.063940487332357	-2.9472416940684343	-3.577172713349026	0.5594764701346195	2.419991670661404	0.8697982059832069
1-2-ethanediol	-7.002543150964291	1.8033864770969226	-4.757545602231356	-4.714172061302382	-3.3068982701335665	1.9090843413452308
1-2-heptanediol	-1.3819450020818238	11.33407370777195	-6.401045503989743	5.575660297724628	4.996817945402159	3.5107540415560172
1-2-hexanediol	-3.3918364230878373	14.420725781970486	-1.72938016802282	-2.0551256951066397	2.2969755004424677	5.232839315054948
1-2-octanediol	-0.5215453103791855	12.540186907519553	-6.752852970580991	1.0019938031138447	3.0739063776684663	-1.5336932783602875
1-2-pentanediol	-2.911217250573211	5.53621562549426	0.5802518872822605	-3.3173630727720576	6.194475080981928	1.8110642646326736
1-2-propanediol	-5.166056630155307	0.40501460082384805	-5.1219268305095005	-0.4913509330889269	2.054890946662928	-0.3311238224329697
1-3-butanediol	-4.463654124052533	-2.025842557776485	0.00597623884078436	4.25887659158466	-1.3130205177843448	-5.070511634689674
1-4-Benzenediol	-2.225873232910701	5.417402268875631	7.191314500935707	7.849513698760043	-9.222476248105203	5.389824805107199
1-4-butanediol	-4.736507357104669	5.638703783133832	-5.217515732600731	-5.189748245345971	-4.381195171554024	1.45418943190849
1-bromo-1,2,2,2-tetrafluoroethane	-3.356443382288534	0.2463475782534947	-1.5765025873769456	8.390657897042233	8.827108473738333	-4.004429610915489
1-bromo-1-chloro-2,2,2-trifluoroethane	-2.2450516195290753	-4.512970199749299	6.194959927958709	-0.09155966399202643	8.944751615902392	1.1094074663387856
1-bromo-2-chloroethane	-5.369530104546979	-4.6317289173979015	1.5321849352565589	-2.378874201963572	-0.5710715453513627	2.0310185801738045
1-Bromobutane	-4.0258101677034235	4.833256160110167	-3.0831839218732524	1.335646518224623	-0.8729892173861248	0.8834290858539614
1-bromopentane	-3.9373960373882833	9.019381220795756	-2.335280255516827	-13.299480188149007	-8.757444908717485	1.5264008698009597
1-bromopropane	-5.970881197806877	3.7735934708494336	-1.6633095934112583	-3.568018461012172	-2.3291616158316795	1.030768285852963
1-butene	-6.154058414059081	-2.7717775514161462	-2.048233237450353	4.966950199409053	-1.8895001202717903	-3.2669675647273935
1-chloro-2,2,2-trifluoroethane	-3.209570880172662	7.992438174266006	10.113131142845605	-4.1127094690307935	1.5549119699000558	6.469931212248922
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-0.3551009092159255	10.523683591691427	11.518807777555251	-3.905892215387369	11.421878327921085	-3.8093881847032525
1-chloropentane	-2.1284181744590764	3.5005601364654413	-2.6380199856125124	-3.7791562950717497	0.8349342849435059	6.23772709383212
1-chloropropane	-5.366014284207271	1.0742188857479875	-7.85062042757567	-4.636870564140129	-0.013753623171250116	3.542169257016991
1-hexene	-4.537940637722199	2.6374895780574756	-6.58049291659301	10.880990945128028	-6.4651386803837845	0.23529804225986853
1-hexyne	-4.311422319327744	-0.18473206295427702	-3.6795206942478185	2.8477763691123834	-0.37062218137520264	4.772046451168221
1-methylthymine	-2.50108177089318	-1.5729197997365192	6.487580309925929	-7.6084299375660915	-8.035917129681039	-2.091056221272976
