Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
1,1,1,2-Tetrachloroethane	-3.4629217008219157	-4.0474080389203895	2.6010513265558535	10.534078330938037	1.5495741112310737	15.349057255355024	1.8043599240971806	-5.629187763680691	0.8060906882935244	4.424312767626024	2.384728980405492	-0.13822991342701127	-1.2213894578066966	-0.8076323525026953	-1.9963480278162185
1,1,1,3,3,3-Hexafluoro-2-propanol	0.1512297762493407	13.955590726051359	-13.249404360109768	-14.149590150392715	-10.342297032064211	4.14891162235952	-1.4434514877230817	-0.6992756492319567	0.9541733629239639	5.892270468085998	-2.921758572202004	-0.6649865119548507	-4.3851525616972	-0.11322334235483873	0.5643861736273096
1,1,1-Trichloroethane	-2.6270080817553647	-7.205276382181429	1.488533088555463	0.7414230051413931	2.6595389091486443	9.289799333455937	-0.09464324972571903	9.474470535881899	-0.27744143671018295	0.6450630261307986	5.785529838009706	3.048618874254491	-1.4107021158468125	0.12613746411264407	7.395594710935996
1,1,1-Trifluoro-2-propanol	-1.2509221505464811	1.3407505943530638	0.28332382079481333	-5.516239528080983	0.44261608107654554	-3.2319624869770083	9.122114298714992	6.1590773867537445	1.3087055303444208	5.767002403137389	-4.259186958711656	6.804477688953418	0.9414760946533494	1.0111634586221363	-2.0550984496652003
1,1,2-trichloro-1,2,2-trifluoroethane	0.2444239612127698	-3.2695124103840416	-4.345598914638611	1.1316491019456247	-3.27382370150818	1.7877550862092402	3.18481023448361	-1.9988315843703246	3.2423990924844883	-8.407096090608759	0.867399386636452	2.3046000771205284	4.232322023147146	-0.7702605777089302	7.474524075233137
1,1,2-Trichloroethane	-3.1605200808897123	-8.723731788693739	-4.685009431026847	15.443980891651464	0.18036228313838823	7.710944818481317	6.317960968913859	-1.8019761065186743	-4.042534673237166	4.532415111314627	0.7415295132676287	-2.059676234996629	-3.133607075673286	-0.3137093823603714	-0.37887520769898875
1,1,2-Trichlorotrifluoroethane	-0.5375199730418121	-1.8032122055299817	-7.026125159414654	6.085093860280717	-6.095238924468508	7.568119059201175	0.17034240268097534	0.6661774576947045	4.917877267446497	-5.016404428588176	6.8122708556371485	5.55834022817924	-3.196450913838536	-0.8846946723311421	-1.1557887420525093
1,1-Difluoroethane	-4.373618280844425	2.604157254131185	9.17181413739067	-1.0078279481823353	1.4027207681699656	0.5914355846750549	-2.8788887509350296	0.6356352036247399	0.8615304084935006	-2.3799601573525493	-8.678375625608378	-1.6393793085906876	-2.1052328919049277	-1.5441269567116307	-0.9705934967890294
1,1-Dimethylhydrazine	-6.286415579010521	-8.00021327960639	0.9841770200516314	-3.5503112018719456	1.5811861054388567	-1.1094439105365734	-3.040650110472206	-0.14192144469299586	-3.1977152612704884	0.7162455536212824	-1.610192409998994	-0.26976637967624717	-0.42240403928536246	-2.648778045876422	-2.5108789102048665
1-2-3-hexanetriol	-1.4894284386142338	6.506143520404142	-0.622428432946049	6.014320050779567	-4.1053673920475156	0.9866917412250136	4.201811656902173	-3.3631813839218943	-1.6106282361390218	0.43895454907978665	0.677013447591458	-1.7467843041516153	0.7675667432427314	-0.2481442697727256	-1.2565136870687772
1-2-Benzenediol	-0.9938568779250867	-8.527587837173842	-1.2835431041696639	-0.5985953290476733	0.3573879674239791	-4.678766082086357	-0.5272439740768265	-3.9108166140612095	4.765975273740905	1.0411959790052454	1.2762576807634298	0.6465488604707414	3.7721744261009196	-7.908816096947481	-3.5817273667951075
