Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
1,1,1,2-Tetrachloroethane	-2.5506066881416665	1.3822456663709424	7.413534951525246	-7.388017197978929	-4.785863315384681	1.6214427306937598	1.4791041918891494	-0.3305379364165622	0.7888795481219926
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.181508517185267	10.83881599570995	8.89114363192734	13.984093808990618	10.593894887237525	-3.94417480178064	-2.200181504837794	-2.99990898999562	-5.156042847512441
1,1,1-Trichloroethane	-3.4258121642585166	-2.662360689100747	9.073820254723572	-6.218656906940323	-1.5696783750967351	-5.335925358647693	-1.9136281133611401	1.0250047842705012	1.227393088567099
1,1,1-Trifluoro-2-propanol	-4.194270606474733	8.078734224380353	8.773901613668604	4.900808733138304	0.6237302665191022	7.321034908112179	-1.6613426953656236	4.278037168831089	-2.6120186314360634
1,1,2-trichloro-1,2,2-trifluoroethane	-1.3266212886597168	1.1280271382065283	3.1987478750291958	-8.964628760595277	10.496062130807104	7.832922119603438	8.009383090390406	-6.536959617103696	2.0196048041176855
1,1,2-Trichloroethane	-3.2511901747268466	-0.6331088515377773	7.180676479252613	-7.276024661603958	-1.6296964924280253	-0.8446487212427567	3.64246563680309	8.321909617598472	0.9908175904309197
1,1,2-Trichlorotrifluoroethane	-2.0562205695147426	3.1357087462059132	3.981524152398496	-6.766870167285969	7.801055195485019	-3.5793631660994247	-0.3956437021819357	1.9168276921503626	-0.5542616776540573
1,1-Difluoroethane	-5.3295369529469525	-1.0508402163028752	12.187195429025733	-0.9310297198788751	-3.230902557574479	-0.6597519120520114	6.539903348238251	-3.3504761927056905	-5.047984652774657
1,1-Dimethylhydrazine	-4.721397338795024	-8.267337608403995	-2.4895894654678288	-3.4406741181609646	2.347955551756093	-1.420935831666463	1.789176507218793	-2.194485654142691	0.36525083138770426
1-2-3-hexanetriol	-2.032054650473512	9.570047141582286	-9.960527408678736	1.950097328063254	-1.7198612283042798	6.054338577950994	0.7005747491197543	4.040760837123241	-0.8951500596075187
1-2-Benzenediol	-1.3972858979687806	-14.049127857484057	-2.2147699385972968	3.5923841786297857	0.003945358108050947	3.9956188531969183	1.0340895233841727	-0.3836769722014742	-1.3310064686990462
1-2-Dimethoxyethane	-4.454548894839644	2.8508581435615157	-6.996838713873237	-5.456324832875724	-1.4065888998403282	-3.322008668119975	-3.271271639136678	-0.06400161141125377	-3.2143966644168427
1-2-ethanediol	-6.093097019292073	1.7848904754146224	2.981836536069273	1.3356765508384525	-4.856491430668931	-1.1706706148535768	1.5570186145175728	-3.5291467055591172	-1.0096585419327377
1-2-heptanediol	-2.30623906742821	12.997967897608811	-12.589464791656159	4.414501929938863	-3.32278600195406	-3.773261925189826	6.779210547947308	2.2798575399195444	0.1427085762830869
1-2-hexanediol	-3.5178113508445525	12.43066332370216	-10.077577173552308	4.710321796381685	0.33153711823018284	-1.5556228306465671	2.754055770536998	-2.3607914545249047	5.683250004960048
1-2-octanediol	-1.3844554568928138	13.416279504933296	-12.936624697339695	3.6969301456192625	-2.4674965542110474	1.2119560740041255	3.8893220106613886	1.0067913793092385	-0.7825912471994587
1-2-pentanediol	-2.5618422705723325	9.264239018878728	-4.697986727817495	3.4645679608105238	0.9406465321575196	-1.842786009911353	-0.9128560094301686	2.4285414063767443	3.7015798697082136
1-2-propanediol	-5.268546227637577	4.809459979696016	-1.2891634302684356	-0.26352487745975134	-3.495529810339497	4.821828020096666	-0.21388266526382285	0.6942132300720336	3.2091376606664572
1-3-butanediol	-4.380506641463089	0.8312117164438404	-6.265967365688407	-4.59884556485738	0.8545667057905211	4.28216757569171	-1.8105274638649584	0.5597810044472311	-4.227079166889741
