Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
1,1,1,2-Tetrachloroethane	-8.230722361690118	1.7343411962979014	26.458283355602525	16.7325760016374	-6.826533747249756	-4.80317623241904	-4.093922238886591	8.787717193861859	-2.066204744527738	0.28740674262904786	4.356955611355639	1.0369883117300922	-2.0154824199401746	5.505647998219359
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.9313154972174056	-1.6625739553463836	-4.666951178729484	-4.232826819863961	-1.4304226806161124	1.3643662162707666	5.950452220796065	-1.8984785130083308	0.5729273124219566	-1.5888123570230996	-1.2614610254971192	1.5787751410491198	0.23689065198204648	1.6395720164288454
1,1,1-Trichloroethane	-5.897667771770919	1.2508470466347028	17.773811183402575	11.81982754571018	-0.16006052587099026	-7.039031221692826	-3.1312687063511455	8.649889187483465	-5.136871765978414	-4.900211366497514	1.3419635385594837	6.956862006261812	4.1531458613774515	12.24229380310256
1,1,1-Trifluoro-2-propanol	-2.893703075223814	-1.6646273297464118	-4.685632076433241	-4.244908548730137	-1.4054251866912992	1.3567355019400777	5.952631559878751	-1.9291263362675934	0.5467353290355403	-1.6011510161585853	-1.2912906364908874	1.6260780013397793	0.21762098516102013	1.6550949253069944
1,1,2-trichloro-1,2,2-trifluoroethane	-6.905447196560281	0.9097825445510727	22.410682250902234	15.454371226927355	-4.326178950656726	-4.241345251264444	-12.058613692538678	-2.5192059768595474	-1.2811019022319667	3.4095146255839217	-14.247982012038717	3.4869373932420644	-5.43780669725657	8.483802849998435
1,1,2-Trichloroethane	-8.212472100086012	-1.8678989674689745	18.308505050683447	12.34251355176699	-11.323215521438913	0.38448264511957536	-4.461100835112115	2.9407722496271975	0.39345787247311353	5.054829038159814	22.486934828374284	-4.909931095990631	5.086767727839254	-11.790306308850498
1,1,2-Trichlorotrifluoroethane	-7.517600508769852	-0.09790073726952739	21.343462484446437	14.169983755717254	-5.878108910856808	-3.673755410891476	-5.358798594024766	5.147137786868388	-2.776200227400644	-0.3798645852547488	4.48644248450258	3.0351681553362595	-0.39853194609714027	5.7812227799928655
1,1-Difluoroethane	-3.167540370404774	-1.417514258345808	-4.641367835321112	-3.534983940361945	-1.0812782758073791	0.1817279600297075	3.5671919920471775	-1.0373807024435593	0.36688763821283976	-0.7421906002665721	-1.486719168137457	0.36099960167968287	-0.5736061100919327	0.7185960225181272
1,1-Dimethylhydrazine	-2.534469417190567	-0.9543314448295699	-5.243871865201989	-2.470206522944357	0.5647960052152409	-2.5773398555278	-0.9883290283403777	0.21530039918126376	-1.0148635500468066	0.3849984985553003	-1.9349420402095932	-0.6571635735949868	-1.6312266325448392	-0.9091650722885259
1,2-dichlorobenzene	-2.7661142410068384	-0.12890389236106967	-0.351520895800423	0.9945035803053491	2.117941626509598	-5.59428039867842	-1.9026391621736383	4.629810211301226	-3.631651741917563	-2.4038386025265246	-2.24236991276445	2.5460319812891052	-1.8877035549735062	5.276449541229035
