Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57
1,1,1,2-Tetrachloroethane	16.836899617354618	3.031985987901725	0.43983216649424495	5.031435498773988	23.083260441348468	8.016815616734373	-2.8544347552027522	8.985763169339341	-5.304818209533064	2.929970825314007	-0.9289415043868785	0.5761435711214656	-6.2527659046320245	2.0309774110303636	8.895292533920475	-3.4002116544018937	-2.1535565733066093	-6.126312651164019	-6.520008555067663	4.3591108386374335	-5.788844793011482	-4.946225254970108	-0.3753976011053662	2.777081318446213	7.249777347890415	3.2053002106133626	-3.055049990926937	5.871484094417918	1.6521923174328286	7.726251840027156	1.6997445730635385	2.4729143520225683	-0.34704927207308117	1.2002129874626082	-2.228287430844205	-1.61696845390976	5.16971988954932	5.198308020895485	-2.324086035343637	2.3749784420917446	4.45955859318021	-7.083246617676483	1.4972126542311122	-0.7759523976459407	-2.6106494989235753	1.3506174233169919	-2.413014200077709	3.391679465271228	-2.3705497704346272	3.036180013276982	0.5830722829755768	3.6726162992898197	1.5058984864746	-0.3267463546029134	-6.2617972227048035	0.5363518132334402	1.7354755592558735
1,1,1,3,3,3-Hexafluoro-2-propanol	23.35342850652603	3.8661417410205843	5.527514530398098	-9.659679847120819	-17.626255450616636	16.008551908661104	9.587323556272656	-1.1641624392689187	2.8033366128316466	3.6237378847018973	-4.024950456522785	-1.0474622906762348	2.3144265032270366	6.8298908987552	-1.7705245872628523	-2.1729662853070795	7.069099089184791	-6.011002140151073	-2.991841350214039	-4.573277055136431	-5.971940881809688	6.778108759404424	7.252494850193858	-0.7533435126854862	4.544284140234499	8.877892947556685	3.525041462249917	3.8466678789788777	3.203402554802945	2.844207432890423	4.091251078412565	-2.79925351924673	-5.0860474796302935	-1.8225887867737247	-3.2996427597956615	-5.718226088975723	2.9251059452706882	-1.547377813339232	1.171260098583581	0.7271110940103165	-4.937887677184414	-0.07757429705247054	-2.893149882653188	1.9807587104611393	-1.8075160926249896	-0.5093746789930479	0.702121017944252	-0.6740644519135534	2.3035195476584955	1.6780427680736634	-0.018732678711784925	-2.2329331644601718	-2.96246208932546	-2.2337292567063702	2.2282506481167146	-4.439921138666239	-4.621588640815828
1,1,1-Trichloroethane	9.665440378877054	3.412323515581727	-1.4559271577839925	5.144724288196942	16.156696423233083	13.382252693239778	-3.70374775015794	8.503799012458874	-6.901258057648268	-2.9335964081265145	-0.06046723252168606	-3.921504022125658	-12.85078975460759	9.156277879244092	2.7385733931759533	-0.7090402176940687	-7.944666967654952	7.706681358269257	-2.3294877286560522	5.946838859530931	-1.126922353481234	-0.45655421901505056	-5.918192179940127	4.848396029985605	2.92859811876378	9.293964452251588	4.293243366718881	9.444806489552073	5.500020269831531	-3.4536772597383885	-0.36175616089916013	2.6399391725996866	3.1327244275206803	-2.755976957001021	-3.7339030942319997	2.572648454737533	-7.184535952695755	-2.493835326927131	6.124765932888445	-2.4077220506973926	-3.375819548444465	-2.6863789607103876	0.5796743568988416	5.921585577965586	1.2044525963150396	-4.932155118152739	6.15278831973606	0.8226120954466775	4.075999985753842	-3.8952410130031025	-1.3445647555432105	-2.354996855369956	-3.350778473511792	6.141302478103967	-0.09037650382181593	0.030328679825363167	-0.007820421162455456
1,1,1-Trifluoro-2-propanol	21.04768477552976	5.415592769161022	1.6987935882561034	-7.79893209229616	-11.697043060961468	15.755481785642605	0.6936285719001262	3.1833741899809627	2.281549013739899	-2.4577191064195216	-4.110588861441683	-0.39274607638497144	2.8391221386140133	6.242863971896355	-0.9652228853275243	-4.933204602030216	1.4966718607917824	1.2297555182249285	-0.7244594993027323	-5.030424591146177	4.5191639036593045	-6.1280382057464395	0.29517636935650393	-3.4385612452079117	-2.648897985999965	-2.662864609957073	-2.028354520532437	2.3453479376473236	-3.658423728391734	-2.525866441037195	-5.072865653656492	1.1534333695271601	-1.626899476910604	3.351655632579887	-5.649417401401129	-2.33490213911582	-0.9706136468477242	3.7815108368625934	6.25946995299475	1.1555765284433466	-0.7031210933313752	2.0590473439130936	-0.16777388718227254	-1.921392473048215	5.4629671758898555	-1.3199784551680422	-1.109069089637188	-0.20371871109030487	-0.12737726398535698	-4.05454961481757	-2.0943065574409463	7.073421154473129	-3.0536811668495454	-1.868956067936523	-1.0781375681418237	-0.43736521833881065	1.4998279639944552
1,1,2-trichloro-1,2,2-trifluoroethane	24.448961101308207	2.047600491565474	3.544495478231896	-0.03165148484505721	28.64269277571646	7.358259214078917	16.647829837688832	8.475112727788066	4.521360972333853	3.1189941326510464	-11.941494382949553	-14.775818470718594	-0.44194181475808686	-11.159643137861433	12.391720836093869	-9.148273235581017	2.338008208856228	-5.9025072237686	-0.6906780593227512	-15.483767186349205	2.379540294505169	6.670182381435135	-5.875237621057925	-10.115011145451813	-3.8816374344368993	-3.214237603810595	2.5764128433111697	-0.2956210674712886	1.1763545186315807	6.000858576630924	1.1276087843961187	-0.48671131818127483	2.1913597505794535	-2.6236089311360065	-0.9385226908439818	-2.270716641664255	-2.5322524878313803	-3.841596830856614	-2.9252774579558296	-3.236658913582748	-2.0537254762702974	6.068496149423829	0.7218029581282321	0.6014730455401373	-0.02970873622424763	-0.7826657003918696	0.5547992879852276	-0.6352080402104401	-1.1442606942127382	0.7062546491808634	-1.6539439785018275	-2.7524770680833464	2.6141317410308256	-2.4641951562990525	-1.0994644423541056	-1.93176356216354	-0.9200751548613093
1,1,2-Trichloroethane	15.38925520601655	5.020814790982236	-2.5063489701633457	0.43906082160724513	11.099965688832235	3.818326503133807	-12.733165143647506	-2.1754186958460453	6.484763776171776	10.134584949577597	18.768928121800386	1.4426124626291341	5.298178676090451	-6.650667638422737	-10.010069160093574	3.007044009782341	-4.736740225670228	-9.584863409163635	-4.780335910759227	7.310266573463641	0.48374932725518155	-7.797660178753957	6.998374858634438	0.7204956042776212	8.325715771016451	-10.595320519839335	-5.4391979644403925	2.993347080778984	-1.566178659861417	5.396707241507179	7.281186576036196	0.2786030055528147	-6.621708393840469	-1.083218193611054	-7.183120624173201	-1.6251164457312188	-1.6495118070117736	-5.095970053459161	2.7623651242344436	-2.6623203742890067	0.14102594263461143	1.248557731762909	3.321566383711884	-1.9287420180722403	4.167345918964724	-1.7513361980242599	-1.7205702098012463	1.0852732165487928	-1.9555237126459235	-0.5253726324379139	-0.0305082487190296	-2.04186660707335	-2.3746690846179717	-2.191683121814044	0.3334090522796433	-1.915272323564324	0.6361852279283121
1,1,2-Trichlorotrifluoroethane	20.81919214589762	1.8139550141651888	3.7882345074925903	-2.570458626990419	14.7581549989455	3.217833462313477	-9.118686190065349	-2.0008459638817677	19.33949879163582	14.83268108761819	11.327549022064392	-1.853717284377101	-4.706575190356173	-5.654635331275291	-13.756187827064315	18.511129845277782	11.65145123450666	0.49393046437731797	2.1841603093485036	2.198692676088958	7.230709030606874	0.585046804657778	5.474820996375168	2.509100316349035	-2.5487038838811586	-0.5855709382342497	5.305726146643394	-5.700127217067154	4.674388157563667	1.6599494706071074	-6.919223266901146	1.4814019309791486	8.174574939429084	0.19368553910883513	-0.1635255446428217	-5.955381069662192	-1.2770659065409973	0.8063064655211927	-3.6798317371087848	-0.3474019944925904	-0.344004474263899	-1.722410111179287	-2.6235021329562693	3.25890682618343	0.2761427169011818	0.0624859311115852	6.38420670280282	-1.5300647596671395	0.19908136105635033	-1.236398030888985	1.5225952853051665	2.88688104407721	1.2482795045926292	-0.24524658533839083	-1.7553932090245816	1.99080774086618	0.1136171053033291
1,1-Difluoroethane	5.312534281468263	5.2520728237745615	-5.100345282327328	2.341991005807584	-5.402722277082737	13.382333301839122	-0.7255119114125222	3.080707665819241	-4.757416034324468	3.3615214106910956	2.4461926249580688	2.7162546793529656	-1.8205919754701034	-3.4970273361543325	0.3901235341473923	-0.1040375773031645	-2.010630650102787	-3.282312468082839	-8.261838479348262	3.5958378125123285	3.2978688910627034	-0.2450181414040108	1.6799431283768989	-5.062223219779314	-7.4327692460175125	-2.614835459753588	-0.28551790490808976	-3.449377913924205	0.4851332195464862	-5.367259507476689	1.39487031497181	2.134421840952062	-0.5672961028086435	1.1513349727930187	1.107512948960233	-4.433930348986974	-0.020112435241894783	0.0312980871648381	2.316523505500693	-3.449796032398145	3.7857003266473277	4.135247385612705	-2.330157618471731	3.1628722729639165	1.815816088752162	2.2771495375166526	-0.9793457418561131	-5.43708602243991	0.4346727268894642	5.91359548461534	-3.633676506942889	2.0556258426306266	-1.4887446364717567	2.424200187943068	-2.225571217018742	-4.214509513173321	0.08764787166266447
1,1-Dimethylhydrazine	5.825496742242739	2.207063508300838	-4.057107752359653	-0.5119534742623635	4.155678845569891	-6.282153252448552	7.750606386810335	0.2919964735197996	2.7795726315711446	-3.8331883548095744	3.4738231105231336	0.11758533649496229	2.0117026725827567	-0.1490391416783354	-2.8415264833421343	-2.9840981543669756	-0.04469572834708548	-0.5087925761432804	-0.886683978180108	-2.881252456898925	-2.445729177393181	0.22096797717783834	1.221623370792502	0.015060192039087202	-1.2939088598085486	-1.463487717214829	-4.2942594740445585	1.367275282442587	-2.1680185547339104	2.769682158791301	-3.9831025227675116	0.9668643282654507	-4.237053514137457	-1.3892761808765375	0.27209144553525894	0.5912121201112456	-3.2282464804726865	0.8314053843603517	-4.153867972435778	1.7170118065985112	2.014047840484539	3.643913898438568	-5.295202994075994	2.020897434572438	-1.20467298719834	0.48662842619358676	2.4857487141200387	2.5857206827311288	-0.6206057844732346	4.4578859419789945	1.8534765072782413	-0.8196016336589265	1.6591617973608088	0.9863671064971593	0.029485362530994007	3.0438250637428053	0.33346021430506767
1,2-dichlorobenzene	-5.422196267975676	-6.778629727983823	4.324673134723035	0.7469377213879633	0.5821044008750784	3.4821924760693705	-4.140050709903118	2.2043869434633816	-6.080856729019128	0.06138274057985217	-8.09379508041481	-3.5283820716535277	0.6126603851833292	-0.39481627774887257	-5.611608945278225	0.6489350678365107	-1.9224464281734355	3.21833376679651	3.259506804377012	-0.8347596885358273	-2.3878603895993047	-0.9993269908057605	1.0934202172625647	5.74544610677093	0.7168668887820142	5.606590863173118	0.9616383418274809	-1.566329723589257	-4.619145529723971	9.682526264755076	1.146322733013796	-0.6450096193510823	-3.2775049849096614	-5.854650247164099	1.8380291601304222	-0.12759778323611506	0.1933434286689779	-0.9891365571732564	-2.1117216448082132	5.288081978897044	-4.0653279623600405	0.8243540459458034	-1.228567789814253	-0.3313018719156775	1.5522194751873508	0.32442697704383616	1.014699898138071	-3.0132198651430344	-1.8837181042273456	0.7349746725528452	-2.991583315467811	3.5081627084745994	-2.7815946842652877	-1.044114528388413	-2.99444669374095	0.3884612074885061	3.1955310932651124
