Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
1,1,1,2-Tetrachloroethane	-3.3040886253972217	-6.785745109418734	-5.04890717466952	-4.6062192459523414	-0.22188881689071988	-3.4012961875203054	1.824055384873318	3.1412932124954467	1.3334211017334223	-8.082105776857555	0.5267332406903819	9.145500070891961	-1.756888498861531
1,1,1,3,3,3-Hexafluoro-2-propanol	0.2443000253120776	-0.6415993013413014	6.86255740841413	12.465641172268404	-10.99836728015501	-9.31579028512674	-5.678185323737363	-2.9165594028411466	3.7476603512662576	1.094487186838713	-6.5183747503049005	-7.43659204150303	4.678622330482176
1,1,1-Trichloroethane	-3.7179041428691892	-6.155780593095019	-6.985343798348937	-1.9527925341166747	-1.4356514435458079	-3.2223183203114765	3.75092035264446	-2.321661334588521	-0.8791152049641359	1.0285959700624758	-1.7946815270905567	5.797609741768649	-5.075496378567638
1,1,1-Trifluoro-2-propanol	-2.2734115650742512	-3.8969093462894686	-0.7829868931116072	0.5541488081123165	0.9488074272558451	-4.915438437072058	-7.626625155819684	4.4272985797759485	-4.1360709883425235	2.8948450603589424	1.0490202906326387	-5.1052468722451625	0.5903808690115797
1,1,2-trichloro-1,2,2-trifluoroethane	-0.7679481784611085	-3.869496963278417	-3.0683553993933885	0.611857902977829	0.787812535664659	-2.1060620554075413	3.7229423844331615	1.7138985154378283	3.078817730452385	-7.020945605081934	0.03603800860311958	-3.458980546901765	-1.2459099546735208
1,1,2-Trichloroethane	-3.21683504839324	-6.83068264707013	-7.063652907351202	-3.8872847061252283	-4.974570866809206	2.5488691026318513	5.575447117629399	7.031664992370641	-0.6431519507772508	-4.120132012021127	3.1620245338974486	7.649848495089101	-0.41451025056626034
1,1,2-Trichlorotrifluoroethane	-0.930898385685976	-5.231704705207266	-1.8024899780806065	-0.32486954703395204	-5.001521997286961	0.5815451336234272	7.353495009491284	1.7119868943613692	1.899925937372527	-6.888343840857274	-2.6705603075678543	2.0966566456063753	-1.1981419301487908
1,1-Difluoroethane	-4.014479255060345	-6.039847194488417	0.8270615366167303	-5.3730085863465185	3.2169558961723728	-3.8936653796468748	1.8242368862476084	-3.9104400876492083	-0.4096922757868633	2.2622722554003367	1.364030428258064	1.645777188327608	2.347670602712583
1,1-Dimethylhydrazine	-5.7071177568792235	-1.6355986181632185	-7.198715525499046	1.659805949469409	2.9444493456754746	2.9004485546228027	0.5711246496486811	-3.7660799162498138	0.09137174604375117	3.0983845320034638	3.1483189355030556	-2.9537642600616763	0.2545485493458884
1-2-3-hexanetriol	-1.0271883244027593	0.3532662445339788	7.2811187043012495	-0.8870583172690483	1.7705833465221328	3.1412371516930695	-1.5840250226457184	7.116030166115616	1.965751198762491	-4.572551516103861	4.48668076680887	-2.7070947438199533	-2.957007559297756
1-2-Benzenediol	0.2274302991511322	5.428381178277047	-2.3476489339477458	1.7678069044852085	3.32956365263987	7.4749228770392335	0.012198758286729646	0.7511973186164326	-9.06842182532022	-4.977377343470353	-0.013772034250587088	-2.5929957308459644	11.469290047343632
1-2-Dimethoxyethane	-3.7258149852445093	-1.1230769384658121	-1.7073122729370707	-1.1934711530813373	-0.18410438629871825	0.34561902811117357	7.113057081081462	-1.5630846263285005	-5.311491987146703	2.5401304761748267	4.932364279214631	0.7881140202589589	2.270921473160931
1-2-ethanediol	-5.616672351143656	-3.7105103373406996	-0.35981263307571	-3.2025788795988004	-2.0968088614337943	-3.832626209431801	-0.5467401542363306	-2.3526378048830234	0.6359577310355451	-1.3505933730561592	4.793385711899043	4.849572745909854	3.6364226717700237
1-2-heptanediol	-1.191026229885422	-0.13782489565456635	13.91219597697177	-4.010023799514204	-3.374845983732529	6.871344437964374	3.5143818683025736	2.237294876631688	-0.6568497759199793	6.181003169956716	5.1246815527819125	1.4481333809624943	0.9995968785203241
1-2-hexanediol	-2.585301371628735	1.4118115289756066	11.617947777950171	-1.3097286315013634	-1.8183280135370115	4.737684230736521	-1.7536074242678608	0.6492286665218682	8.601635545712853	-0.22367264465166461	1.3801235362708661	0.28576732032540336	0.382900960771768
1-2-octanediol	-0.07412408371726299	1.0749974079112994	14.780175125017276	-3.6386406426898774	3.799069882721062	9.437256442168232	0.7328795821548244	1.7665424874101585	0.22638237401831363	-1.8342715634278632	1.6320654853306418	-1.784706604963312	0.1654432055297527
1-2-pentanediol	-1.4118599366095617	-2.0811428082000574	3.583040719522985	-0.7857391697145423	-6.485902737715296	1.6635966095549615	-4.639845425156722	2.3178627327570642	3.7271454375409947	2.2810644148316577	0.1662474649506651	0.2743874614989961	-0.9760102023547191
1-2-propanediol	-4.568919518234149	-4.246361670455496	-1.2692064028455614	-4.871448783625007	2.5339584484632702	0.8221112924393145	-6.05536781128154	4.380836984938345	2.205268443967357	-0.6299129226992034	-0.24543720485837162	-1.0821272652011926	0.22537262768874414
1-3-butanediol	-4.097495283336177	-1.114486205257555	-3.1975580816652336	4.092051388697913	4.124815020674706	-3.9971382566416485	3.4050913527282387	4.294527215922404	-2.764284885660715	-0.38561979129309387	0.8129462648383086	-3.2095374615396	1.6225366958594882
1-4-Benzenediol	1.232579719030155	8.319232416597526	5.598928284141225	15.623399334332312	8.968059180706097	5.7692047922504415	-6.702570327071981	-2.646022672306014	-4.489432478121269	-1.2734210175677099	7.656894235314888	-1.8413124641664225	0.3373949848662097
1-4-butanediol	-2.7652012626734144	-1.3790956816704938	2.2839007631494925	-2.6187475512236795	-1.4250166795291372	0.422772132321483	-4.712456159396636	-0.9964044928416528	8.07178119482282	0.13024925653172117	-2.87851631095629	6.22778145703453	0.047757063563814414
1-bromo-1,2,2,2-tetrafluoroethane	-3.215396848126122	-1.8337960675681613	-0.3088511842437807	-1.6472599838465554	-3.917301255228077	-0.27094588586054935	3.2195635815114163	10.251378703428735	0.17602060493999305	5.498632597882906	0.4109853862255186	1.4390164716171128	-0.32949838886520333
1-bromo-1-chloro-2,2,2-trifluoroethane	-2.698820988360101	-3.472548051273515	-5.85220958141487	-0.7601502653776875	-9.128404641240724	1.009255653236312	0.2693679262520212	3.5525390987682357	-5.320222478191355	1.9257313929907784	-1.3954256829137621	-1.7505869733335113	-3.5388895388242037
1-bromo-2-chloroethane	-4.58837008761077	-3.5550089415301964	-6.282232582160465	-0.03792214114759673	-3.64783907140647	-2.3306841738341526	0.38406130834556834	0.30349792367066325	-1.768264742525411	-2.686243318345001	3.6462047001946236	1.6791380510833671	1.7301672496139253
1-Bromobutane	-4.3048165172566915	-2.3613089820232593	4.884506172874642	-7.512591301801748	-4.517430652291515	4.989343930294004	-1.7222036627434574	-5.0034014745344315	-4.208504953703914	5.260095586228029	-0.11866018456149072	-2.080806371638996	-1.5155598025580141
1-bromopentane	-3.5721383328367775	-3.3638778949629757	2.5879389635382233	0.84375694884579	-3.674270910613162	-8.573446938569859	-5.559927603343702	-8.57642186538906	0.7234305432108965	-1.4411520704474021	-0.33319087078492093	7.886153954311287	4.454090642405274
1-bromopropane	-5.49392712482594	-2.5717924920308555	1.678075665361201	-2.430205158675251	-4.006811640601602	2.411670375557102	3.465344908047758	-4.907945480472857	4.10535486793844	3.1443703928409352	1.5521544072638864	3.1266122389374034	4.332894539050308
1-butene	-5.398748434612382	-0.34317155526909393	-4.230203106574379	-5.155328723858185	1.1560841627713374	-1.1467854662581254	1.41429635633776	0.6889338503311198	-1.7228653006942865	4.511333747111086	-0.08596571690493084	-1.7902314649977877	-1.4064694078255309
1-chloro-2,2,2-trifluoroethane	-3.0954368154499075	-5.241690245059592	0.3362441322758289	3.154189759541748	-7.910910335761658	2.005217065363105	-7.74803749351963	-4.410433277206103	5.408352276556398	0.7511292743091356	-2.1992948660024663	-4.816840966222873	-1.0612753681989358
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.2154286724359178	-1.3730154180376601	5.316375302441894	7.287082387462643	-7.375536337650555	1.0590767575547073	-0.8652508580642506	6.547417933156175	2.1306924639737512	-3.708867920318256	-2.7523219001088863	-11.05467053456275	-0.47045135187356085
1-chloropentane	-2.3664859159096108	-4.937388747901574	-1.6987221207723184	2.483097600445579	2.547634807902967	1.8965112345935287	1.821980600153832	-2.8902142478927995	12.978029632983677	-3.527383140950471	6.843591506867126	-2.450869968759853	-4.528946302701306
1-chloropropane	-4.851105444842829	-3.9181237265604754	-2.473368923463161	-3.8351366011444195	4.538190847717875	3.3014619485773187	-2.4128376438220673	-2.8681025983347483	2.7408986280042296	0.8435914981424487	3.6887159424598743	0.6757679099876804	-5.390978212540817
1-hexene	-3.9510436882570232	-1.2485636423286959	2.3561875824608167	-1.8172426536776145	9.66087166771163	1.834896744277567	0.6083897838842803	-1.7735925305132219	1.6885823525275436	2.8289500928965867	1.4418938925632092	0.7867784869036272	-1.9102354179439431
1-hexyne	-3.4830056504930758	-3.7232732707725944	-2.736352741934762	-1.8279886969720158	3.99042899025577	7.78737009905832	-0.49294342769887106	-5.300576695820312	0.739768508336756	2.7708521193289446	1.4073498199148775	-0.5377067809834659	-2.3222160246560417
1-methylthymine	-1.3807992259864188	1.7754940878625587	-2.1209034096797352	2.930684693029127	6.2135111998177806	2.9686967252015912	2.820823329767136	-9.903360527230793	-0.2186943643540442	-6.119567190463772	-4.579511732948786	-2.1342454997144755	-6.362498051720558
1-nitrobutane	-0.8496325556663056	-1.928317913904622	-2.6741169326650387	-4.760050265832477	6.240659032358006	2.3906420866316638	-2.5416846976469736	7.903707126901698	-4.286098835137972	-2.2583513826557895	-1.926676448950266	0.7447783864614834	3.1284262619717893
1-nitropropane	-1.0315053833332268	-2.0158392746675244	-4.276569879256116	-3.627175094919702	-4.417043219252245	3.052692360142762	-2.706935383353877	4.776855212192143	3.2170240914254653	-1.8222439718889647	0.9468956511839669	-0.398335007037223	-0.8564403760121635
1-pentene	-4.511504409190264	-3.2209658809846475	-2.495919212301891	-3.657637132487396	6.286892034322635	-1.1870683567409928	3.310937051555257	-0.6518024281291762	5.945793153426845	-1.243970119150806	-3.7887323836160927	-3.122200518107002	4.124760224387653
1-pentyne	-4.6681609849008	-5.0417634794243895	-2.058562498816461	-2.298778955504041	1.818262220749069	-0.532167908799731	-3.209991588334399	-1.7930164074408421	7.360466888297279	-0.9113355911278335	3.641877185019756	-1.2432128703848844	2.8655235579495413
1-propanethiol	-5.303954647223435	-0.19350912108643673	-4.377427974148099	-1.550779807463788	0.616728146691194	0.4850703727385209	-3.4372277212069315	1.2866747844826278	-4.3359866830731	0.02891376960099978	-3.1644013174943137	-3.9659305747704607	-1.6865682971906628
