Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
1,1,1,2-Tetrachloroethane	-3.304088626195691	-6.785778356049653	-5.047030525024983	-4.60242125415795	-0.22694138982521528	-3.3945306749446544	1.7999299606922985	3.1617689247495373	1.362430288806834	-8.086192362310227	0.5800182504198643	9.106026541719405	-1.7788129126146586	-0.10093067925552111	6.107113516016791	-2.8636486089415896	1.352448538680666	-1.1331026123933599	2.2362053666166664	-1.0738597720235254	1.507814206422269	-0.47881735400121145	2.0132639187490637	1.498380752319943
1,1,1,3,3,3-Hexafluoro-2-propanol	0.2443000239083568	-0.6415573284842103	6.860455060754001	12.461428476987392	-10.99961775100369	-9.324928856168794	-5.684971194851558	-2.9526181754777476	3.748605479438753	1.0516280068844621	-6.562281116234591	-7.415088132507983	4.117516559736842	-2.5164773714274227	7.693777491257551	-3.911284905627777	1.6684431770564652	-0.45370391069915667	-1.5109305211995712	1.0684763166083204	-1.9301235339511935	-0.687571685581213	-0.1921730446323268	1.6138049027267154
1,1,1-Trichloroethane	-3.717904131497679	-6.156025395689363	-6.992695542512066	-1.9593915258725778	-1.4455422608353827	-3.2412445879082394	3.782534107689526	-2.346714396477666	-0.9288775856630288	1.1053303693913432	-1.8328047455322594	5.874340688743553	-4.574422052014483	4.740385121636986	-4.13188072456123	-4.011158778368682	2.3342690980621175	-1.0659891800595056	-3.3345022851413675	-1.0335347737613718	-1.9569997666488894	-2.4160949630501283	-5.072156111227501	-0.6058473294577884
1,1,1-Trifluoro-2-propanol	-2.2734115601264695	-3.896813379664584	-0.7820721747764746	0.5519215175811294	0.9589480956386617	-4.902553883191914	-7.614928989780034	4.378534211062258	-4.167819085073988	2.8502774007968763	0.9683234217540134	-5.120172216081764	0.3724275563953974	-1.0052245909127442	-3.5249926521497503	0.8275178931712206	1.6352113631263223	-0.40209735593949136	-2.2967162348392964	-1.1987483173642364	2.6039882650084962	-2.3350639165109204	-0.6728092913107434	5.95796590828574
1,1,2-trichloro-1,2,2-trifluoroethane	-0.7679481836737054	-3.8697263682541805	-3.0737827614930398	0.6150307697049865	0.7783987987537279	-2.11969333207544	3.689675314635977	1.7757665562067626	3.090834438339522	-6.940592539353354	0.13881679558679216	-3.4108832444157047	-1.2431583930184853	-0.9698837124587414	-4.4889036447206765	3.3561493852482855	0.05594301471741741	5.356171860174367	-3.158822122113451	2.2440163752909337	0.48612955005656033	2.2430772606043052	-0.4730401304149907	-4.336132128868173
1,1,2-Trichloroethane	-3.216835044600568	-6.83084678403556	-7.06290682698589	-3.883999248200679	-4.9861992756782545	2.56084581217139	5.56902104493048	7.053607514021962	-0.6312157506926426	-4.105651761501848	3.2114129881604674	7.639113135478965	-0.49111484234655456	-0.649109925460789	2.856673228054887	-2.968528861241767	3.0451998511142118	-3.3152890273245545	-2.671384387911486	0.7830275146033738	3.80630268443977	1.2593027762514495	1.6307658600031383	2.0936685829193573
1,1,2-Trichlorotrifluoroethane	-0.9308983730681203	-5.231946473251517	-1.8125051849243865	-0.3354007859318156	-5.001261888447593	0.5692264328212382	7.39530238915999	1.6391264807465935	1.890917169701228	-6.849257790457973	-2.769780304123183	2.2196023533966014	-2.012552138569661	-5.246074710972151	-0.871649847654519	-6.3467803870473	0.5173073158474719	4.956287341357906	-1.4993032102366777	3.3314248267574427	0.9492074928956943	-1.7546050329937253	-4.821995825850547	0.8659834140127655
1,1-Difluoroethane	-4.014479250385155	-6.039962748081796	0.8258778954727195	-5.376234634995492	3.206586217078144	-3.9008646152194797	1.8577670938414748	-3.916618282653662	-0.41647001048342824	2.2710209639715204	1.3560769365790757	1.6672828216883107	2.0736726791078612	-3.366420730123927	2.957478161545477	3.231348354590134	-1.4854795988446998	-1.8905685759250166	-5.314551249025839	-1.2317924667066535	-0.8897777644139423	2.479555488908519	1.247938268668611	0.5630393066609879
1,1-Dimethylhydrazine	-5.707117763221586	-1.6354635084714138	-7.193730163698873	1.6640695079722616	2.942252688374643	2.9059280077386926	0.5617729646048475	-3.743070016641522	0.11628321002452785	3.046509358489135	3.193855523397956	-2.9679409157919348	0.10057969127644219	-0.7831453446296439	-0.1534675355593387	-3.8782699295558323	-2.016860492985007	1.2079986035193173	1.1056270503930425	-1.9042573064678652	-0.5696780788792564	3.2989610858794864	5.797577022767813	1.3334658550350593
1-2-3-hexanetriol	-1.0271883192829305	0.3533473834445222	7.2843586861089245	-0.8889432361343371	1.7767071084523778	3.1535822721114473	-1.5741064192005543	7.087170240432449	1.9697064896030774	-4.581767106944966	4.418644465917458	-2.72941912115195	-2.47838608515509	5.179107157125116	3.381294428484914	-2.8298009343703336	-0.28764731045921915	0.4621239994110768	-4.265182333818005	1.665905218708392	-0.3862224617469413	-2.5100276174459273	0.3319057374549104	5.398578645657797
