Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
1,1,1,2-Tetrachloroethane	-2.1167032413365305	-7.715647649301858	-3.1394160645611944	-4.685676693342897	0.07466111988213638	-0.28859457032219715	-7.001683286510807	3.5244604539052964	4.89499530605933	-1.0539157984571486	-2.12150864327637	5.378824762068043	-0.8234680299409394	9.427857161005738	2.9195931318143207	-2.5365853879376483	-1.0893387856457872	-6.607067501843708
1,1,1,3,3,3-Hexafluoro-2-propanol	1.6328475429000533	0.06816598679706252	7.425704290262729	9.925549911357605	-15.23471020808521	0.044309393806592615	0.11017774686367654	-7.009219162172116	1.0265856548482422	-2.88445156629528	12.525523937730561	-4.926129120781239	6.715169573838738	6.909777710217533	-3.1401153242707895	-0.5627307240305232	7.6637023400069255	4.0100475498775205
1,1,1-Trichloroethane	-2.582559675123725	-6.993007883089482	-5.548961590684229	-2.5767148537510733	-2.46971445247622	-1.018409097374727	-0.00757641450805051	0.7415678065653282	3.807489137213077	2.2139937137235095	-3.6749534426369235	-2.6849887589852584	-2.2465872659290707	6.171540371389971	4.021181522239567	3.6067468453953784	-5.144246822859662	-5.005138669426798
1,1,1-Trifluoro-2-propanol	-1.2960063949581972	-4.056814144007733	0.32787506262019	4.051469376738516	-0.07611509653151342	-3.9357937845999795	-3.715174169357623	-2.997861427382696	-3.9149732397305366	0.37176430324448995	-0.371548384825314	1.8294557873968602	9.216017183831275	-2.5594274531849672	0.39574258133838564	5.032683794759978	-2.2016879467601664	3.9736989599109056
1,1,2-trichloro-1,2,2-trifluoroethane	0.634057117367886	-4.327464744022162	-0.21556795838603787	0.6769147947653563	0.5856049281808412	2.8165946464067932	-2.3126949057062096	1.442060126664809	8.643601135392705	-4.165524918374685	-2.0367360583253338	2.2080155207946377	-0.10353355514212341	-3.573651785957418	2.543261872722145	3.7225512300796297	2.387426858606668	-1.0375322172233987
1,1,2-Trichloroethane	-2.2352252973069366	-7.65295620162143	-5.144666342332522	-4.301507915456788	-2.3326794178691324	4.133286762780689	-1.733164926067054	9.398666049044676	3.8074170511688044	2.3797153973427365	-5.148356601154076	6.936256058774274	-0.9687803729593033	6.426175144318124	4.3907718106318026	0.27285595664784207	-2.655748120179616	0.38073208342106707
1,1,2-Trichlorotrifluoroethane	0.4611833781470154	-5.515079455187846	0.2577806815370098	-1.6606267081671076	-3.325413801627929	4.5291200853312885	1.627723181204767	5.650694625082538	8.524315504937222	-1.7326812128629956	-1.8451811344071043	3.423636379670809	0.47380300097750355	9.296960905387648	-1.9223916362901108	3.3467618658509637	1.3141208112933602	-4.281239107851968
1,1-Difluoroethane	-3.1099842882853928	-6.456051377875688	0.7063275851938636	-5.603758457417148	2.6767871758284585	-3.6344423318970116	-0.2992816469558665	-3.531056704984968	3.2589712982307586	-0.6194743342567428	-0.40839127447908474	-0.7559521556616335	-2.415380353741499	0.3322000935199505	-1.4422095622017537	-3.4479862776544734	-3.417604470777262	7.397169899086087
1,1-Dimethylhydrazine	-4.920080888673583	-1.8120702137352063	-6.29810674664381	2.4931977164896093	3.645946185566929	1.6113713491486639	3.1083186267788743	-0.5670000181519169	-0.23384985681824377	-1.2172819997464321	-0.5145196192802313	-1.3070576503885312	-3.715499644772862	-0.09634651898852761	-0.15119732669237984	4.116387892436946	0.7882525624836357	3.73274662732783
1,2-dichlorobenzene	-1.3626186497337156	1.1360987063780157	-2.4018228271749265	-0.41772666900614724	-2.056411776156189	0.5297344392926046	-2.7948232275898173	-2.983962380158481	-1.9999073083378685	9.034378737577432	2.3999358179359076	-1.9068963281277869	6.51143715988292	0.7557186817329803	0.6989540646415429	-4.680654914065959	-0.23516359610262458	-7.805029773035883
1,2-dichloroethene	-4.483622641380842	-3.011020176979207	-1.7806874503746601	-1.981642565487123	3.272659621918459	-0.08588336819714415	-0.818346876365345	-7.173747647377413	-2.6033298129540956	-2.3651390700161827	1.2173184365297238	4.55589330534206	0.40215396027565614	-2.7502305280925543	0.024638542168888434	-0.7486466392058369	2.5005528921869447	2.93569924499668
1,2-ethanediamine	-4.245872019350074	-2.4029469291791266	-7.454148769704584	-3.0906491729051697	-2.6592396056524663	0.35677842198896437	-0.8014379940960034	-1.8832496060864266	0.8241799083874195	-2.8588710912120567	-0.5553613343039349	-0.8564247871309391	-0.6869269502721136	-2.9030760213855764	-3.706371875007768	3.2818001366924916	-1.1611423570583272	-2.9668444655625743
1,3-Butadiene	-4.724586564303984	-1.406940286932413	-4.787591525027469	-2.966784407866191	-3.8728407464879933	1.059591450300479	-1.9742132259612983	-6.133041142444529	1.0772353085009876	-3.620036984607425	0.28731381980569703	1.6037267355772997	-0.7341926204812261	-5.8169263158644195	-7.5956597463264846	3.368566344192029	2.0886118508060583	-4.794255260775672
1,4-dichlorobenzene	-2.625436237601988	0.7766561334018292	-2.7057452857876574	-3.1391602594884973	8.635649970139918	0.5284976721809498	4.947517831103331	5.119511422230557	-0.703950043412251	11.818413695809033	1.059623510137635	0.06874240098271668	-2.255061086138825	-1.9683788323162386	2.532223987511748	-6.373199403249528	2.713310744446968	-3.362975686376849
1,4-dioxane	-3.2108421758627608	-2.822975932686406	-6.500922480746048	-0.6016366906797399	5.848811959978685	-8.447819166476252	-0.7874575776424309	6.169940932596772	-4.38818322850413	-0.5113752019264176	1.2318549257436615	0.36503920971009873	1.0911102175588046	-0.23588422464479233	1.582858591746964	-2.818136719492393	-0.11880108186652177	0.854928949979623
1-2-3-hexanetriol	0.03795985167390163	1.0919815349819282	9.39998813588781	-1.2079165963488427	4.194622472287118	3.5879050898772524	-2.3644387179506325	1.9647713178343165	-2.791558196598848	1.2129038290864913	2.288704730553616	4.307102757920807	1.4957442281121909	1.1166774723402768	7.449446263227201	2.6770168884267043	4.033871495680873	-1.760019325850512
