Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
1,1,1,2-Tetrachloroethane	-0.6674549064741987	4.481713037841557	-8.909632774876687	13.189474650381802	7.0050249756399	0.8090369205692861	-4.191963687322777	-6.631634908644616	-8.104957417882604	-7.220043405679657	-5.033940843686214	-0.5611316550209092	4.60960467106408	1.2461841382583154	5.524259432917906	-0.7262500414526611	-3.2489449627049796	-5.837801004553437	0.28516747862641656	-2.8237418881621177	-2.538582758006824	-0.9427133550718105	-5.575836733571879
1,1,1,3,3,3-Hexafluoro-2-propanol	1.871952209096322	14.022284324495951	13.325144723067972	-11.659705485470935	-6.278320122805806	-13.860747881081148	7.822240679876642	1.7629585857011472	-7.386332014700836	-12.894695325901438	-1.1936616283309343	2.651790076485483	-5.677425826179725	2.799344763481811	1.7766357496835092	0.7116047109240279	4.380749115835334	-2.9105030876730615	3.1686255095245865	-0.9409372497014552	-1.1295116412863204	-3.867875755004436	4.511457054154302
1,1,1-Trichloroethane	0.02404248235580794	-0.7101321091043626	-4.234511100357796	10.438768319411613	9.842781051539228	-1.6565310038696204	3.230742089682354	-5.167734664239223	-7.487172713669817	2.183464712892242	1.1430496653369628	-1.3043546462734474	-3.7518045819331074	-0.6337141327029443	1.083800034409282	3.1669851913366243	-3.345260256301438	3.6393009473547564	7.9925008751949465	2.773295985572353	3.0187061134053215	0.9989461020913157	7.980300422010403
1,1,1-Trifluoro-2-propanol	0.15360643697239015	6.6172625070400475	8.65271828335847	-5.147231800417919	5.203372698062182	0.6061978873927553	2.0165415930560004	-1.4566399900913207	-4.844934936179947	5.013788620102683	5.733932355487381	6.62338384585598	-1.1723814831774806	1.4485127105493933	-6.609309656210826	0.11048410599956872	-4.904812121941796	-0.7856536958455805	-1.4852327670719734	1.1416644078138132	-1.529045101729475	-6.235415401722449	-2.157218999637433
1,1,2-trichloro-1,2,2-trifluoroethane	2.7638974767546456	5.662334173985703	0.3139458240098988	9.01593116542756	0.07113927027726498	-6.382194129654536	-6.127113737839754	3.2732657528280322	2.2417024890634907	0.8806987296859964	-1.0447549284374655	-3.528302316386482	-2.3302536015436215	-8.644188842018123	-2.767695114664572	-0.04368651902145886	3.3485798439747945	3.8336230805136986	3.7209682975362455	1.3215465003523583	3.9229102090420884	-7.817342466347552	-1.0904487426365805
1,1,2-Trichloroethane	-1.3066605960672897	3.0029939785860105	-3.961753807522785	19.195935344324905	1.3646120997363342	-1.0067189695238923	-10.334922347787732	-1.715268624197739	-6.399171516445736	2.044550983180873	-8.398210121838163	1.8215837036736227	2.6007100865132013	6.9888599806823635	2.3128527227392377	3.76445487407708	-4.983881940987593	-5.86870948726585	-2.4689620545032436	-2.072793077092077	6.083355416257194	-0.9956999158914952	-0.38053153418643754
1,1,2-Trichlorotrifluoroethane	1.6950369349260739	6.740375009399115	-0.509829153031224	11.660342205766943	2.311962344734142	-5.534594427122281	-7.181252713030338	-1.3103383464350322	-1.9390274632280275	-4.85855840589982	2.416020326146989	-3.6720732664936144	-6.165535447573444	2.650370711599827	5.758684188071127	-2.6347285421359805	-0.2318757650492531	-2.7853748127341493	6.51550422441233	5.9747725703840056	0.7680335799675206	-1.2223403715542625	4.3820913887933655
1,1-Difluoroethane	-2.5712145392095205	3.822253889592116	-9.145106036314159	-5.174007183122302	-0.21855575836228824	2.262172921045056	2.04457681795851	-5.466231637856544	2.4202370080784292	-3.8112793893425283	-0.0891181734307985	2.0117369721957474	0.2267730939040566	-0.7793286970746615	-11.072029558474354	-3.4550474527469106	-4.070283553661488	-1.5721671382092406	-2.671247999374196	-2.458903175937642	1.858455006120515	2.1819183614535285	-0.40290616056369627
1,1-Dimethylhydrazine	-4.325374996114401	-5.771174358149535	-1.7327836301557598	1.5935272530930644	-2.3999395050129566	0.68158111779156	3.7043550471601194	2.1092246635526224	-1.6244694765290513	0.5484222381143411	1.5355992164803216	-0.9862051961550373	1.9468530740689491	-0.5645426757809608	-3.140861479701056	-2.6133073988525757	-0.9230955890205568	-0.05890757449655964	-2.051304085063136	-2.552509268216224	6.080109829005222	-0.265026407545919	-3.725896779633882
1,2-dichlorobenzene	0.28062976071929413	-0.7519931358267328	-0.2465463845107745	-3.0327646315118004	9.74795646443918	-4.9889205137173915	-3.321869466979089	0.9191457765022557	-1.8977962179545047	-2.9890285352521175	-0.237001635136776	2.152238977855122	3.244437646201721	1.5374839806578438	1.1938212505921026	5.563499206966072	10.119360106576217	-3.3512847715195586	-1.9439830578715296	2.157145503523115	-1.1659916909904293	3.844119762268995	-0.1183303830466373
1,2-dichloroethene	-2.7125116265200315	-2.4956697474427654	-2.7142659299408356	-4.649986872840368	-2.5082368410115063	-1.0193291298771043	2.746699195980412	-4.975804708079659	9.187262168226004	-1.421443628000101	0.5555640181857658	-1.4373280044560437	1.454845827002404	1.0896458816921977	1.2625568423121039	1.1498131584295515	5.782193270315615	-3.737248534607169	-3.7716980928702384	1.9799894870125487	3.984215990870782	2.3753186744973998	0.18866704014470634
1,2-ethanediamine	-3.278437316311507	-5.225615430123984	-0.5248304074962868	0.8117329477696021	-2.2516060927602655	0.20407603728473422	0.5740148865661563	-0.49289935987217975	-4.005125465059298	0.923657908852158	0.9549789010702613	2.420610313068312	1.1974896276691551	-4.454282612286145	3.595725193456389	3.314878557905251	1.0899369644799461	0.9404781252629782	-2.884667819863192	0.4724955444676016	0.9424826004584118	-6.928229040634734	1.7133745671322174
1,3-Butadiene	-3.166054759675861	-6.309203537909706	4.954786083632199	-3.8752793980063243	-4.870021695025827	0.28760772478866115	-2.3068074512358	0.169367610692194	-1.7563988686583643	-6.345663769076625	2.8253864218456055	2.42183572160381	-4.7276714433433	-5.308093034934786	4.643929430468569	-1.6196739957367754	-0.7024533187601945	-1.0590612463022486	-0.7414400834645505	-1.8141744941905653	2.7912396048706465	1.0848625416227924	-2.2972007360121895
1,4-dichlorobenzene	0.40332622060677775	-0.2956868885038725	-5.234573659269067	-3.4926481605771174	5.0994029232715805	6.0298364034087335	-8.780267975036278	6.713249327159951	12.482967151264463	-0.4281169012965843	-2.941263107191444	1.0917775064260378	7.191026186260042	2.5774351783061533	4.59931117814264	-1.6527951596061683	5.776531203883117	4.024106164318001	0.424148863978753	0.6369473280418889	1.6202584341264616	-1.4800688158764634	-0.6469470400084993
1,4-dioxane	-3.225580500300578	-0.7921107527403258	-2.8876047650576355	-1.7503093460613577	7.190056330846728	10.511646551281183	-4.166810528142784	8.410164642544512	4.780711062360192	-2.2161929470577975	-7.180634733868672	-1.0139094038923882	7.6425667327848625	3.688345672708428	-0.6559180501563173	-3.060482893658531	-1.9816469201054785	4.209106676326621	0.9951819373635669	0.31333036856660934	3.9934197620238097	-3.9463245704273433	1.841166746897522
1-2-3-hexanetriol	0.23134596709031618	12.955198827183658	-2.3367544136296283	-0.5532538334327797	-1.6016696970982496	-4.196196156461503	-5.755307318580079	-0.8095546659664201	-0.897359128712262	1.0285596268711987	-2.2211277826444973	-2.2356744791234244	-2.0266575351188885	6.104516535292382	1.2019540019094708	-3.656682239307719	-4.075990238810829	0.4301146673271608	-2.2434786869803545	1.8094402373139662	-3.6474584993916817	-5.398397977937504	-5.21265810175056
1-2-Benzenediol	1.81548229076927	-2.643620654146423	4.2324704004015015	0.6921303040477749	-3.849608240007762	2.841249041798689	-5.4898369458298	2.294350269792555	1.1591933094159377	1.5180282809369343	4.236689388781102	4.125471243980062	4.169365875403637	-1.9419152560055675	6.020442670534459	-9.906821173566634	3.239146725858059	-1.9006868900091913	2.132416264590927	-3.3012470524710005	2.4244357392179783	-1.6516611018762835	-3.5399478564967413
1-2-butanediol	-2.912029866638898	6.15876173627436	-0.21492391752248935	0.6162930867776188	2.222958746099596	3.136065773176914	-0.02406659721183513	-1.8167245956929472	-4.198162664868645	-0.5753209992487847	-3.624553206098569	-1.9066723899666613	-6.770786440613459	4.15371523054655	-0.060178900111200063	0.3990980418312604	4.417420780225405	-4.140809637028318	1.1560487973619504	-0.14435897407269133	-4.265667649710599	-2.3359332339623213	-3.5694853250059198
1-2-Dimethoxyethane	-2.426631786214769	1.251479428270964	-5.362917575457306	3.111544103821644	0.0060084440898651595	1.4156362499222506	-0.30495823974334707	-1.2246718752826444	5.009304096560173	8.143110596566098	1.5004105973100406	-1.166215418074197	-7.277830417404568	5.523781226111365	0.563142185091913	4.488939751728302	-2.676527990863857	-3.9461653356627098	6.375380133701247	1.9252321664257883	3.1788857086780506	1.304661350642477	-3.0100750538976566
1-2-ethanediol	-4.711067252590231	1.4941719724784805	-3.567915520685532	-0.09816375810944768	0.8695949109218735	3.1961419235042987	1.6798426589548803	-4.9162319361689475	-3.412016115938624	-3.7859120077884425	-9.537878075614957	-3.3877428994342136	1.4218573665514278	2.5190261119408426	2.5737686542929055	3.4270727182344074	-1.233759404582271	-0.9930430488338163	1.5575727397928014	-3.4589470445026875	-2.7538923369882498	-0.12994340451829914	-3.558813700047813
1-2-heptanediol	0.37179386518372465	15.696464908951166	-6.452371541996271	-3.6366534090470033	-1.849850556791988	6.155345047765834	-2.2113035919233472	3.131379613880626	3.054871603236707	5.65547987992198	1.328760986726933	-3.0889977712131045	-5.062915031658946	3.979790779164338	-0.8834569981893519	1.901461697337334	6.206743328789715	-0.8573599331821515	-3.2020464879950254	-1.666182381004544	3.7342931108872652	-0.06465076744822928	1.871250815486884
1-2-hexanediol	-1.2930302088099088	13.737451850716035	-4.148824738100503	-2.937807937100934	-4.513420509350431	2.2955318315941	2.841216964830712	0.5551290310177638	-0.6140710346188165	4.838165657422133	-3.1184906871670974	-6.097954664496218	-7.531244417599006	1.244989886496247	3.8142717096446965	6.414764922329686	5.404005081421443	1.964475909311373	-1.079683052216922	-2.4978768202713733	-2.914073168988986	1.3595773571450014	2.2184685409359264
1-2-octanediol	1.3987066921627573	16.829186811572615	-9.897887976029985	-5.99778693005434	-3.8250292535822656	1.8353288249118236	-1.2303848890010198	2.8427467761072087	7.662439030531311	-2.7048375280051866	2.8478820087331314	2.991277200982897	0.1176843489325614	2.111778561354033	3.7137764315242734	1.6503916552307416	2.9257588718549674	-2.0915337953132513	-1.3459979528636694	-0.5923433415664937	4.002825207028866	-1.0248881748193308	3.4997391310768373
1-2-pentanediol	-1.1589198894459523	8.770337944064721	-1.5689255319164077	1.0576947082620571	0.37855371674886534	1.1231521746284687	0.08292858984826995	4.836034056751811	-6.943031433703626	0.6828170007778419	5.79057027360629	-0.7959722538773112	-4.486875525212772	2.6590811705501953	3.865962061511248	2.5978394553314614	-0.46287828639908485	3.1431022845175187	-3.9435443036253917	0.7117540493874897	-2.8375811620276017	-0.9347256216784676	0.7400831061824873
1-2-propanediol	-3.0732150765803623	3.29215287247559	-4.850035271176418	1.1416145148812484	3.45003361068087	0.6983231041516622	-0.33832590863545037	0.22796422082470633	-3.4993915305245613	3.84559678992534	0.5464880215129431	-0.014924114760822433	2.77443343299348	-0.1320968956954316	3.8508836518630862	6.176114740136231	-8.674178008349504	0.8097181422884615	-4.183091331718368	-5.13895453279374	-2.8594737604805323	-3.8357837922260534	-0.4067478324741926
1-3-butanediol	-2.3386715223969823	1.7005735310379009	-0.20320101390064918	-1.8280779419213529	-2.83006048549429	-5.280217219767993	-3.405299036503949	-0.34218719502829403	2.330361316843649	-1.27689906387867	-5.107389794600835	6.481784148742696	5.305461429986582	0.9027220595499929	-4.33906550109389	-4.895361574622084	2.365403929732688	-3.563841806228609	-1.2132219347059525	-3.1201399200696818	2.298865398550853	-3.5058580543455786	-1.1173014565775865
1-4-Benzenediol	1.7990488131145885	4.306091618185988	9.609321213084302	-6.548328608158859	-1.4862781995989234	2.744418514716983	7.802874944383265	-0.9177262277739624	1.2090481439115324	5.306024831041729	-6.00035735246774	-9.045965739383776	1.7749056418248006	-3.7505281287011725	1.018573525226561	-1.7617936898719233	-2.999042979036933	1.225656364552633	1.6042925662030565	-1.8140093076892296	6.488471324623383	-10.290632390355068	-1.020187633661551
1-4-butanediol	-2.5470617653712226	5.8247340890366255	-5.408963112411756	-2.8460724102894233	-2.7725469922121473	2.456271766883964	-0.30448787753841194	-7.282592910857245	-2.721672304404524	-4.333497333294151	-1.4250511898030225	-2.7882601654915153	0.9284984969002142	-0.6605658785733473	5.4360153148814705	1.9892385789017601	-3.076425483622496	0.3160407603030154	-1.88227126973664	-3.3789995111123727	-1.942731089525341	-2.921567950998648	1.2228373862210626
1-bromo-1,2,2,2-tetrafluoroethane	-1.402898255972785	6.635202159423593	0.7072441074174258	-1.0969307523451617	2.209140200443506	1.5131931917768595	-3.524082825390922	8.818019961177512	0.03926102517983825	4.954748154170823	-1.637758918649133	-0.9938421465934452	1.5079450836622803	15.24850913497531	3.227827353351092	-5.372398236977552	-3.7803815678047776	-6.42068125730827	-0.5239037612507471	0.08871895267730598	4.326475255993299	-1.6424317234197745	-3.924671091785196
1-bromo-1-chloro-2,2,2-trifluoroethane	-0.10186131082766225	5.387757359353022	6.453597322199422	9.698461406010695	-0.8924053719485451	-7.190251630498059	0.5908360786839079	5.204816433686926	0.4452606015166301	9.369384426326855	-5.531816435728975	9.405692951086943	4.989330535314902	3.2607143368230664	-2.8256858506773823	-1.4490746128711054	-1.0112648718329036	0.4725389865095524	5.501230643547081	1.6178513223170137	-1.584224352318049	2.010853222578369	-0.4821233193868022
1-bromo-2-chloroethane	-2.5106532786443756	-2.255387786803122	0.8491945888846868	7.592647327353666	-1.635093737182692	-2.507014687222854	0.13146558534952205	-3.5393690603911003	-1.6505467978274169	-1.1369319066071033	-5.123901643229984	2.946101837968884	-2.6191379338197684	6.635352620105502	-3.3386985937383757	-0.6424394565932339	3.729616601592388	-0.2618643963377495	-2.8097076009845696	7.462885836259756	0.2235703402444814	-2.0604549409623445	-0.41070172687422535
1-Bromobutane	-2.2850244411795217	5.251735306676738	-3.860171760131951	-2.154365687364838	-4.990666236267348	1.1128647850921063	4.39402782047507	-2.69647014104022	6.966944151156164	0.5350069560928933	2.738490499101065	7.504747827177093	-0.743451223750782	4.424251712535744	-4.055824367742123	5.390918465344457	-5.927378399382149	3.8077802422335636	-1.806171298371305	-2.861905564861393	0.8710757536751215	1.841953947014111	1.5827625984099547
1-bromopentane	-1.8880512131574338	9.349010646070646	-2.404117469223571	-3.949131281384301	1.8678740675079797	1.8054442493022844	12.82863209568146	-9.065568051870635	-8.943254269665985	-5.618138252005912	-3.668636590982979	0.6881747367215283	-2.28864321930342	-1.3070180984029496	0.976647480623029	-1.6182678601582723	1.8492603554197617	0.3710771534471862	6.348930829235045	-0.04905988039013347	-7.162478215143889	3.294505485784292	-3.258513669841777
1-bromopropane	-3.6593899953398994	1.4239987951426778	-4.884814586084953	-2.1573652948194924	-8.171548050383773	-1.104697240181429	1.6883695865980557	-1.568319192441663	0.0367712023073519	-0.44424040621913286	-2.3711062139271113	1.2289267498089909	-0.23933859189986717	0.6317283233948796	-0.8417628670707102	8.457787432455211	-1.0311680134977081	2.1118187657850926	1.281287002319814	0.4821120920552558	0.4674287598879832	1.9957547432410503	0.9491966587213784
1-butene	-3.63631700790709	-2.3313728171262196	-4.904278331757506	-3.6010394381379642	0.042594158905713136	-1.326965411431472	-1.1950262410973014	1.2456698172775664	2.11905018077098	10.178779786553884	1.3292741651478397	-0.04382053971341743	-4.0140504054939115	1.104473056057233	-3.0367000380647213	2.3710914270990764	2.506718459303103	-2.4676587183835177	2.0883599933985058	2.643955376669918	1.5054089443239067	-0.6011145930993671	-0.6632563890272746
1-chloro-2,2,2-trifluoroethane	-1.5376736653741199	6.171340185528345	9.973294504063311	-0.23586017022707473	-8.184824844280834	1.1099673083571027	2.75234112464887	-0.25040592793274624	-2.3519791157642898	-10.588999194838443	7.774412655862684	0.09979367144721503	-2.9746310915343486	2.3562106956425226	2.330869656031473	4.6451055755012955	-2.0711440148381737	4.9931856357808115	-4.7704587167395385	-1.5787583546209611	-3.076231742930294	-0.5771450133763829	1.5554154141155128
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	2.020637963023573	15.768172654921518	6.019142954202313	0.8534007173297652	-8.123509387909147	-13.715277207449365	-3.9054698332934	4.934123239927529	-1.0805841149359223	-0.125754714177171	7.746827331159543	-4.178071979613569	-5.811745945067959	0.5365205638305551	6.314827670461901	5.677341602335738	0.39407094879585824	-2.8995981865866867	6.285187746930082	-3.775079759373852	-0.7619464285636928	0.02579494841103855	-3.073595514581317
1-chloropentane	0.038823253357565965	8.168327644718543	-2.221877561949249	6.718295617361405	-10.890391291809397	5.662730090424409	-2.6455998472654265	8.258343217046226	-0.48517761690604577	-9.013848970376625	2.4885902189834543	-5.562716529071842	3.027178353023065	-10.322259194814253	-8.606752535668708	-1.1707270884598253	-2.0922964806758237	-1.7413485570552762	-3.3989667699661554	-2.2431811935444212	-2.18642522799994	-0.5981691511551328	-5.33015909565926
1-chloropropane	-3.171848617705261	2.7231903814686995	-8.578344846367395	1.7427685541455467	-0.00413372157588485	5.980533157963544	1.460686006987664	-0.7598557498706666	0.5617400360665942	2.526516497505782	2.795917691947142	2.47452980794139	-4.093072459800695	-1.1486117612961981	1.6210616893767336	4.622283061347082	2.4720607845325113	-1.7536266079390281	2.9391423419275653	2.017510774054848	-5.73006152673486	-0.9779220041915531	-5.605760419729841
1-hexene	-2.6868469609754184	2.725059891535343	-3.604424201151623	-10.651976496911638	0.5286829589615503	6.647592201729592	-7.0270166279972495	-6.947674647989034	9.86661509846056	-2.2312493091523264	-1.592364934128657	-1.2494675058215283	2.0186515272483563	1.13139336961322	-3.760053780996392	-0.35612217648006905	-0.8649208423610972	5.999778209324649	-3.3371777080246465	-0.27016837306188946	1.8835732482954726	-4.10948870757813	3.5870125652449762
1-hexyne	-2.176022867393542	1.9422916703452195	-5.723440217040544	-0.7204658238287824	-1.8109249559283038	5.959298082122884	-0.753482912271497	-0.7229228912120157	10.751467375887854	1.6314878093372984	7.119029424279607	3.254845228323469	-1.4170160653265251	0.8366657711277378	4.564883720319011	3.1023005932382057	1.3085998426527037	2.5009304935409613	3.587883614466502	0.8808667561571374	0.9310512840305816	-2.5803698297950843	-0.29231549827638
1-methylthymine	2.603514464170063	-2.0055223935716544	-2.6147484081866548	2.7561736110978843	-0.623167385499527	-2.7923519028790973	11.404928649791131	2.808655910006662	-3.217234455868198	-5.947397785275519	3.266265843809746	-4.065198959947504	-1.9541443163095102	-5.768571429311989	6.6395995212773515	-5.31102105831812	-0.9883781723140045	-0.25682442870988953	1.4477544520292416	-2.557745967304842	10.065221140973312	-4.841032159679638	4.0511695603552855
1-nitrobutane	1.075078330312427	4.223920280160739	-7.069591691831324	0.4222284632623099	4.8835917117513405	0.4441553692995832	-12.952966423214924	-6.908530370519669	3.7432690272258413	0.3342496730332768	-6.960563756208895	13.005746173545766	3.914850748029852	-6.2452347545130715	3.3093269596057655	-1.478564836389746	-5.505296618755648	0.0944898010268584	-1.4401290046766235	-1.3558473892171043	-1.2732981256519895	0.12298038865710277	-0.7149688235974885
1-nitropropane	0.3559891105566812	2.2179338831038864	-0.5739232937651055	4.504774195998587	-7.009859784570635	2.1617129466101916	-11.220540821484432	-1.3250622916603414	-5.830872963608938	1.1782050724852735	4.043362381693533	-2.2540720048671803	-1.8259385021370451	-2.7910533018894554	2.2192475145404655	-2.0244096295799867	-2.4879168970703627	0.061101655827429935	-0.5665985921866699	-2.1464433125059847	-1.4784301941604605	9.202843928890037	-1.5607098000004629
1-pentene	-2.994189020731897	-1.0367497634126	-6.187391839714498	-7.772827758246383	-3.0030088958855217	-0.34903693117118323	-6.715059992624831	-1.0872301621596252	-0.06942096981966239	-5.184860815392435	5.287115849133747	1.5087456533206232	4.82107687964786	1.5462342813562697	0.7984415222939178	-1.089561609412436	0.9623869840401499	-0.8143993140525301	3.303215529349832	1.657718577009142	0.09357582614426455	2.523140542192964	2.4599228476459616
1-pentyne	-3.7567328873449175	0.4562113015191496	-3.3316243838676924	-2.8556662009161786	-8.221353465948116	6.182235927065087	-1.0126574466356486	-2.314243561302529	-1.16559655765592	-0.01665007950414745	2.5614040900489874	-2.998899647882324	-0.2937219653061956	1.4809862609501985	-0.7925298658164525	-0.2322570828925895	2.212068964083764	0.14135192380579514	-0.033661637134018124	4.652749564727589	-1.748494108617961	2.6720312494272767	1.025067732599363
1-propanethiol	-3.794479327036874	-5.030094368915951	1.2398515842059172	-0.4475468542143971	2.936259381385359	-2.6039071311731945	-0.27568481341552487	4.938176116219379	0.3655514531888478	0.2498019751234161	3.0987015434539726	0.8203058480743157	-0.8110665109622425	4.077651149992754	-1.7398928910009526	1.2294926347431658	-5.101208249004732	-0.7633913871544794	3.093402496154521	1.9086044275946037	-3.032011788544861	1.382994524056599	2.7994111650371987
