Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
1,1,1,2-Tetrachloroethane	-0.6674549064741504	4.481712902353556	-8.909600961774913	13.189429598222738	7.004547931664518	0.8096941007988164	-4.191633837633603	-6.630463687332786	-8.100161640990295	-7.2133641706412135	-5.032591841034192	-0.5635471006680074	4.616603565067244
1,1,1,3,3,3-Hexafluoro-2-propanol	1.8719522090964853	14.022284164751436	13.3251350070418	-11.659707949702364	-6.278292808946018	-13.860817075880913	7.822357334032141	1.7626264184950287	-7.385034256280975	-12.89700584232519	-1.194161965169457	2.6522371549528856	-5.679160365760551
1,1,1-Trichloroethane	0.024042482355776343	-0.7101332767608355	-4.23456136047961	10.438746362726496	9.842747631208553	-1.6571057641763018	3.231222464381279	-5.169974117465364	-7.489619474274396	2.1752259031935814	1.1407146060815387	-1.3020865460467634	-3.762415359708104
1,1,1-Trifluoro-2-propanol	0.1536064369724838	6.6172631217111135	8.652730877651173	-5.147248759830734	5.203426323622172	0.6061865060411267	2.0163739861250973	-1.4554265123126884	-4.846098133799332	5.014655309507902	5.73476910736185	6.623331648390111	-1.1674240936323246
1,1,2-trichloro-1,2,2-trifluoroethane	2.7638974767546967	5.662333342850966	0.3139021030220528	9.015859958471875	0.07102012614563995	-6.382800077929193	-6.126526783602642	3.271737769140504	2.2393287067439336	0.8742768124159498	-1.047030765321395	-3.5268530652315007	-2.338190580425488
1,1,2-Trichloroethane	-1.306660596067229	3.002995015303107	-3.9616935732665417	19.195987285780866	1.364562504890624	-1.0058234547372884	-10.335377839509038	-1.712915839148814	-6.395749860945947	2.054643770828026	-8.39464421649293	1.818910906800917	2.6136413587150793
1,1,2-Trichlorotrifluoroethane	1.6950369349261507	6.740376509748448	-0.5098137968491295	11.660338456194832	2.3123614932579857	-5.534956273421849	-7.181913628680908	-1.3085306765397127	-1.941385817549005	-4.860726810945544	2.4162283824141255	-3.671020174369385	-6.16088634199313
1,1-Difluoroethane	-2.5712145392094943	3.822253616727312	-9.14511205984692	-5.173946827977977	-0.2184369958421438	2.2622010286570284	2.0443437397428887	-5.467247933610811	2.421086343081326	-3.8114254046048166	-0.08892471308339345	2.0111040139142338	0.22352004372275017
1,1-Dimethylhydrazine	-4.325374996114464	-5.7711741605238975	-1.732766665550814	1.5935587823335724	-2.399975825294865	0.6818838520177638	3.704115000278883	2.109839369741042	-1.6233297837636176	0.5523908974595528	1.5372202857030335	-0.987107620180669	1.9512830326409751
1,2-dichlorobenzene	0.2806297607192794	-0.7519928096430435	-0.24655030428275648	-3.0327688326556164	9.74811127969296	-4.989159500577875	-3.3220984294350218	0.9195051183352032	-1.8989755948450635	-2.991284829088509	-0.23736588950184842	2.1530757383232717	3.2443773641165103
