Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
1,1,1,2-Tetrachloroethane	2.669569205703922	12.970016386999422	-6.18758537667343	6.882233913273164	5.7313463182705915	1.9957944121004711	-8.51154799760772	-2.010290464499098	-0.11288395844615946	0.43518463896928844	-0.2099293958711004	0.49566446170028755	6.730078849930531	3.588252498267241	0.28693889108451154	5.139251130550573	3.1572512541931252	-1.0187880366363207	-2.396877518550005
1,1,1,3,3,3-Hexafluoro-2-propanol	0.8669721008461615	24.84291200178046	-2.4626788308494096	17.63539183297064	-11.390860574938912	1.9551113826240654	6.776661526113221	-3.570002794848312	-3.616029154337156	-2.1708232123106184	1.3968049042605748	3.193872253514668	-7.314190555055094	-7.866493099955465	14.589235700454925	0.14798182215698022	-2.342221244285042	-0.8225430723846574	-1.4498287797494607
1,1,1-Trichloroethane	0.7304732703495623	8.370833532257928	-8.181235807545242	9.02810310118433	3.3730587392915115	0.335148264533093	-5.352034863889648	-3.061657786951113	-3.481663337561416	1.676673445847365	-1.145578609706346	4.008631966732761	10.90254228788805	2.1278383332010704	0.35128315240129654	-1.798520217381728	0.3845203882554634	-5.175191155798837	3.367270333113308
1,1,1-Trifluoro-2-propanol	-1.0895054118085619	23.737762884695364	-6.121801419894553	16.229862299697615	-10.228504101198082	5.209879809341379	-1.7497850607323115	-0.06416860459450037	0.31009569886133853	2.5547202984364943	2.104441525859309	-1.1104063639190356	2.5956267926559633	4.181858597188362	0.8793053771426708	-2.718324632141227	-5.941574366166221	0.6792529175626125	1.453406928036023
1,1,2-trichloro-1,2,2-trifluoroethane	3.7532225032678173	17.85523452201541	-4.554590624492741	8.075112722912763	4.321722114717085	-3.3654217597075404	-13.044440212176934	9.799226885726789	-7.205343388789295	1.715429028144437	0.20463390096049103	4.074378248653663	-6.077425935870222	7.300323389392077	0.42500473221807517	-3.4652820975706935	5.35446829264783	-1.695708824151763	-3.266066815865108
1,1,2-Trichloroethane	1.0037297201753672	11.733101349308017	-7.471773029192988	7.3958363534584715	4.772205236508715	-2.581235183744939	-7.532969458490146	1.5377808419613983	1.1983014279819781	-4.542972216459365	-4.109316209305238	5.707784492504897	6.602162411759701	0.05026322724834426	-4.653313255079149	5.3746926476144665	1.8970992773200972	3.0677927027032754	-2.5283715170186807
1,1,2-Trichlorotrifluoroethane	2.6487640923001607	15.796440109519716	-4.469844679204093	6.336651063202592	2.067759560387141	-3.5377699683562143	-7.587849059095897	2.9191879236389537	0.530125142300867	-2.4926193743200105	-1.4239681612099564	9.576260133899583	-1.2608891500441755	1.5229184622350196	3.5628379071572405	4.308168542145933	5.133625095977998	-4.210961744294098	2.67018032131353
1,1-Difluoroethane	-3.1637226401113208	10.522769703887672	-9.844461595973309	15.104753634822567	0.4947198783833359	10.662319789226618	0.7125551545646487	-1.7272989505103187	-4.468063243810171	4.552903952783048	-3.8329892465617355	2.537856951857572	-3.0606445275851435	1.5942978770271723	-5.030073402136901	2.284774890376506	2.0831201958628136	-1.597022987871824	0.23515597211785913
1,1-Dimethylhydrazine	-1.555403117129351	1.8615346627011018	-2.499973279170915	-5.1478677055959015	3.2910991507840786	-6.803150958230958	-1.7232919662057005	1.5976822544819955	-1.2257282696113272	0.023060621886770515	0.23302307037511744	-0.43089372482886634	-2.5538088850112075	0.03429083250402578	1.4937871876908406	2.5583104300073964	-4.333880325508106	-1.9774553044661172	-3.3358070074063457
1,2-dichlorobenzene	0.05441434963299576	-5.0155432616962825	3.194394656450566	-0.05916439686917213	-4.087833490732158	3.88217591982218	-1.33384426304956	-0.1336308344789106	-2.3687609458722876	-3.5444836061517035	-4.389968630978691	-0.6452863708081494	5.703029746000314	-1.8391116422760099	4.303238001923374	2.320126549200529	-0.9088318466093811	0.013192876376546139	1.8000312299916825
