Molecule	PC1	PC2
1,1,1,2-Tetrachloroethane	2.921517349382103	21.180380565235694
1,1,1,3,3,3-Hexafluoro-2-propanol	-2.778189381308993	-3.041489964179933
1,1,1-Trichloroethane	2.0653170663261	7.569325087007454
1,1,1-Trifluoro-2-propanol	-2.772113147850531	-3.149144718758054
1,1,2-trichloro-1,2,2-trifluoroethane	3.233357373461115	12.118535298729796
1,1,2-Trichloroethane	1.4995461226434255	27.421912286709862
1,1,2-Trichlorotrifluoroethane	2.450121295420481	17.49953838296859
1,1-Difluoroethane	-3.059672769574567	-2.3322727195917587
1,1-Dimethylhydrazine	-3.594609902520362	-3.892539898086222
1,2-dichlorobenzene	-2.5895466625061303	-4.10157517615772
1,2-dichloroethene	-3.7215641014796743	-5.194772184236158
1,2-ethanediamine	-1.7411400622487074	-2.012938874283429
1,3-Butadiene	-3.8219896451610422	-6.98482307848232
1,4-dichlorobenzene	-2.781667046098338	-2.807005500599389
1,4-dioxane	-3.7693599300902036	-3.64705588372017
1-2-3-hexanetriol	-1.1207346887423257	11.805105042802339
1-2-Benzenediol	-0.1993625804985025	-0.9275366256171681
1-2-butanediol	-3.2058552326265155	5.719030628605075
1-2-Dimethoxyethane	-2.6205423442664686	5.338476706465933
1-2-ethanediol	-3.1825652470683727	5.3737205202323395
1-2-heptanediol	-3.1881320725445925	5.908415252922729
1-2-hexanediol	-2.8472614143093185	5.911169668771638
1-2-octanediol	-2.9657975549684408	6.064032220458431
1-2-pentanediol	-2.9390400982531086	5.693625450615221
1-2-propanediol	-2.548802917176673	3.337983024104958
1-3-butanediol	-2.2578631188140283	2.569149819567329
1-4-Benzenediol	-4.007259986312795	-5.311968981419847
1-4-butanediol	-2.8031913810604654	3.796037073989165
1-bromo-1,2,2,2-tetrafluoroethane	-2.7408782230498714	3.163785929898171
1-bromo-1-chloro-2,2,2-trifluoroethane	-0.0038511964064711353	15.206472751688908
1-bromo-2-chloroethane	0.7944634247624343	10.01481612042794
1-Bromobutane	-2.760926784477551	3.6589849591423413
1-bromopentane	-2.7603175465816006	3.730675696171509
1-bromopropane	-3.6370041267754822	3.357200852145322
1-butene	-3.9331890444362285	-6.716250775239165
1-chloro-2,2,2-trifluoroethane	-2.3833691235238623	5.346630942315654
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.306889152992142	11.382718321903184
1-chloropentane	-0.373344426312682	13.051085171697437
1-chloropropane	-2.9861382951171476	4.839578723496796
1-hexene	-3.948028875967942	-6.567660393808546
1-hexyne	-2.974126754454955	0.9527155814122914
1-methylthymine	-1.9933358086292194	-2.6117376678863984
1-nitrobutane	0.0744151963439961	10.622954366244816
1-nitropropane	-0.13298373557257154	9.532402033139208
1-pentene	-4.1505494188511305	-6.750659161922895
1-pentyne	-3.4914008362149773	0.6616944943409159
1-propanethiol	-4.0251820721616705	-6.208717365843491
2,2,2-trifluoroethanol	-4.265892094632558	-11.794705463793633
2,2,3-Trichlorobiphenyl	-1.1220476752714612	9.160100179842091
2,2,4-trimethylpentane	2.2524802219380393	17.408949718638407
2,2-dichlorobiphenyl	-1.1821234639448022	2.7286618959635187
2,2-dichloroethenyl_dimethyl_phosphate	-0.5968441338663848	4.459747745695155
2,2-dimethylpropane	-1.1560715573907305	14.74935077114996
2,3-dichlorobiphenyl	-1.4728539138003385	2.4080302062711496
2,4,5-Trichlorophenol	-2.091535433277895	-0.4032028449753041
2,4,5-Trichlorophenoxyacetic_acid	3.9545318825202544	-15.75806252254291
2,4-dichlorophenyl_thiophosphate	9.771419180991128	-5.83113014664699
2,4-dimethylpentane	1.5674354185743933	7.92301420675383
2,4-dimethylpyridine	-1.1020004177546767	1.90003362960053
2,5-dimethylpyridine	-3.149139083372291	1.6893457185335075
2,6-dichlorobenzonitrile	-3.193133278790912	-0.12423117692136776
2,6-dichlorothiobenzamide	4.2225666528682995	-1.6904228734134397
2,6-dimethylpyridine	-3.279714249549941	2.067713865802168
2-3-4-Trihydroxybenz	4.82715451501284	10.226291825894474
2-3-butanediol	-2.94595106315086	4.691429759119119
2-bromopropane	-2.3209093801959395	3.698352272172844
2-butanone	-3.6433381359493775	-3.757879904697902
2-chlorobutane	-2.5038011310756043	4.902729275555534
2-chloropentane	-2.073966659110804	7.120173354864024
2-chloropropane	-2.891995230124816	4.651624068183273
2-Chlorotoluene	-2.736177072193503	-4.489119903052387
2-Ethylphenol	-2.157216137781044	-2.0815597349369765
2-ethylpyrazine	2.4718014633182364	0.30060788764291074
2-heptanone	-3.570224465055019	-3.7308518181855006
2-hexanone	-3.47899628486497	-3.6970447905805
2-Hydroxy-1-naphthaldehyde	2.167602692656321	7.128308627996955
2-methoxyethanamine	-1.6904138728542564	-0.24669872828061049
2-methoxyethanol	-3.5583966744875575	-3.490929784426021
2-Methoxyphenol	2.4543312700729887	-16.05525605364479
2-methyl-1-nitrobenzene	0.23800699879020923	-13.398476752845326
2-methylaniline	-3.7317132913823614	-5.514594574906673
2-Methylimidazole	-2.3794069126120854	-0.46673919314221957
2-methylpentane	1.6044079007556535	11.582082782610147
2-methylpropane	-1.9145224693866623	12.11265808186742
2-methylpropene	-3.866210555052183	-6.479713819246243
2-methylpyrazine	1.992637231471804	0.009512396133164427
2-methylpyridine	-1.789727264615024	-2.025529387140214
2-naphthylamine	-0.7574072843972256	-2.1504366139817783
2-napthol	2.6005990162034274	-0.5535120855613344
2-nitropropane	-1.0822056362812231	10.207705548742666
2-octanone	-3.386211060022791	-3.6442511528109485
2-pentanone	-3.3380152147360795	-3.6258020409995266
2-pentene	-4.083986653134426	-6.426126879067335
2-Propylphenol	-2.1728176896036824	-2.2320969376748776
3,3-dimethylbutanone	-3.2229638916608643	-3.5814358161693822
3,4-dimethylpyridine	-1.3194075999583263	1.613171209933523
3,5-dibromo-4-hydroxybenzonitrile	-1.9048573935720634	-3.316218718312265
3-bromopropene	-2.044458070808648	4.011581701351906
3-Chloro-bicyclo-dimethyl_phosphate	-2.7015323382793257	-0.8221206102148665
3-chlorophenol	-2.4647138065332492	-3.8816212529435066
3-chloropropene	-0.4676045851555095	-0.01815027847957315
3-methylaniline	-3.688210714584751	-5.305637042817727
3-nitrophenol	4.507873558674292	0.865736363834063
3-pentanone	-3.928125970618383	-3.906073224435545
4-amino-3,5,6-trichloropyridine-2-carboxylic_acid	3.4939392145012658	-14.848044303336973
4-Bromo-2,5-dichlorophenol	-1.8851990192568042	-0.4693985274932572
4-chlorophenol	-3.7655765268602983	-5.43432432603266
4-Ethylphenol	-3.5723622814913907	-4.551248005185817
4-ethylpyridine	-1.4053131854416687	1.7657480831437373
4-heptanone	-3.3927476291267515	-3.5508211952581963
4-Hydroxypentanoic_acid	-1.616910879290323	3.4039486711080396
4-methylaniline	-4.155918555029325	-6.085615748496102
4-methylphenol	-3.354417785425114	-4.544361330088017
4-methylpyridine	-1.4852755177269488	1.8861450022553978
4-nitrophenol	5.527367356756729	11.66937771542693
4-Nitrophenyl_phosphate	9.065078011165832	16.269396939201144
5-nonanone	-3.4551092682269293	-3.582131767257405
9-methyladenine	-1.9630684016448905	-3.7238367591322925
acetaldehyde	-3.4856352040808023	-3.794165329339263
acetamide	-2.3700464974468813	2.1704057033491195
acetic_acid	-2.93043142196951	-3.203371320998775
acetone	-3.7120344490319988	-3.8022223199656833
Acetonitrile	-1.0226773205057664	6.467488884270941
acetophenone	3.875395838137416	6.049994291374605
allyl_alcohol	-1.5866393594981878	-2.4304629264025097
ammonia	-3.549542030153502	-5.165518562651655
Aniline	-3.6826638060195354	-6.011526223648887
anisole	-0.3943790652387221	-1.4367205510250136
arginine	0.19088401022436144	-0.7386268439674377
azetidine	-3.4725355436568823	-4.609832870161124
bare_surface	467.4397548349537	-3.6927792868702993
Benzaldehyde	3.437965383256564	6.246317811986973
benzamide	-0.2796023332347369	10.39313729308825
benzene	-3.65580289494183	-0.8687235930518017
Benzenesulfonamide	3.792554376488647	-13.815073855627721
benzonitrile	-3.00038003805784	-2.405109427327635
Betaine	-1.0308711555881784	7.12121152491934
Bicyclo_heptane,_1-chloro	-1.1490600238493867	9.574495143574918
bis_2-chloroethyl_sulfide	-3.8778387202088127	-5.7017054457192415
bromobenzene	-1.419090556040954	-0.9270035584607794
bromoethane	-3.051071182375966	3.4199194615452706
bromomethane	-2.3054203822866475	3.8731015148994232
bromotoluene	-1.956348154145227	-3.221324285860512
bromotrichloromethane	-0.4379594230988485	7.451398103356745
bromotrifluoromethane	-3.5630303194530994	-12.32626515760475
butanal	-3.864454887378596	-3.8875421855254357
Butanoic_acid	-2.9323316072011	-3.2396237739944076
butanol	-3.91423455753664	-3.8010784607028674
butenyne	-2.8550707059525973	-2.2210877725590925
butylamine	-3.61637489949114	-4.778905703770186
butyl_acetate	-1.8263177907868469	3.287099124938511
chlorobenzene	-2.3878022522370697	-4.653281020662194
chlorodifluoromethane	-2.932056586146861	-12.878667276562513
chloroethane	-2.6844159966658556	4.883561231011854
chloroethene	-4.098761197060493	-5.9751130022957755
chlorofluoromethane	-1.8554642318239956	-2.412997899942315
chloroform	2.3971751502146468	2.5279673038243025
chloromethane	-2.378787481124542	5.048650807538912
Chloropentafluoroethane	-4.108644284888037	-13.80836629118219
cis-1,2-dimethylcyclohexane	0.23120179080075715	11.325587798098692
cyclohexane	-0.8750886789976488	7.695027504596472
cyclohexanol	-1.7135152611583304	1.7341443910048024
cyclopentane	5.497440190657888	17.538332009065293
cyclopentanol	-3.5719027626358226	-3.64936992667646
cyclopentanone	-3.1242682017512626	-3.56666103174034
cyclopentene	-4.0500442743098635	-6.193673381239485
cyclopropane	-3.1079475093815154	2.336630296521001
Cysteamine	-2.299992688078496	-0.8587516995346972
D-Glucose	1.915489350094267	10.830704656271607
dibromomethane	0.5837625857954698	8.226079302898277
dichloromethane	0.5379997886445574	13.743221939090686
diethylamine	-3.64470433943259	-4.658913213390877
diethyl_disulfide	-1.3621511301308347	-6.1635138887243475
Diethyl_Ether	-3.0653615978178363	-3.5646903764663045
diethyl_sulfide	-3.831888558531581	-5.91768202645572
difluorodichloromethane	-3.8477830726602624	-13.57359363416855
dimethylamine	-3.6101279932297463	-4.757167799038851
Dimethyl_3-methyl-4-nitrophenol_thiophosphate	5.17886451224712	1.7913454365717467
dimethyl_disulfide	-1.5389413815720945	-6.370842175523975
dimethyl_ether	-3.0366160997614022	-3.4470981386069397
Dimethyl_glutarate	-0.22481754068177348	14.835569462731225
dimethyl_sulfide	-3.835329716057871	-5.855310901599167
dipropylamine	-3.574918957609776	-4.597328924287453
dipropyl_sulfide	-4.031094685892583	-5.912737582418864
ethane	-1.0968450907300389	11.291193979490583
ethanethiol	-4.137295315891903	-6.253791066114442
ethanol	-3.777198970277022	-3.757887691497608
ethene	-4.077902666265021	-7.220261549181984
ethylamine	-3.6854918433882204	-4.840411170744291
ethylbenzene	-2.9706629459908385	-1.6073074121316941
ethyl_acetate	-2.255201809981906	2.716123719260492
ethyl_formate	-2.3390567808688663	3.0871714025081594
ethyl_peroxide	-3.715347220201998	-3.394569629677072
ethyl_phenyl_ether	-0.5534387014741416	-0.6585606612116021
Ethyl_trifluorovinyl_ether	0.13662387408320678	-15.30633835732008
ethyne	-3.3284491570906196	-0.01057167522685564
Etidronic_Acid	1.1408356665643424	1.7679471017049162
Fenuron	-0.48133899899827304	4.178121469156515
fluorobenzene	-2.218040388166865	-4.528629277312752
fluoroethylene_carbonate	0.6958325762456414	4.535338360967376
fluoromethane	-2.5277629811364575	-9.303607924579802
fluorotrichloromethane	-4.389836164573527	-13.097937740579242
Glycine	-2.4040559982163927	2.0054502368273086
Heptanoic_acid	-2.8626205096414776	-3.0798188536105076
heptanol	-2.9970381249836677	-3.258601838783525
hexachloroethane	1.4656071630962058	22.181177651440226
hexafluoroethane	-3.3491381894899726	-12.62809518733935
Hexanoic_acid	-3.3922272973365364	-3.471829937967148
hexanol	-3.896005822846336	-3.7669613410853433
hydrazine	6.853962109141338	-18.855517962652893
hydrogen	-3.7107668769901405	-4.564201649888698
hydrogen_peroxide	-3.00394476063477	-11.497699344740775
hydrogen_sulfide	-3.949736468927714	-6.524522081419492
Inositol	4.45127345382232	28.166568456718053
isopropanol	-3.188415023275138	-3.4591923830150635
isopropyl_ether	-3.2855983672101923	-3.4731875800991605
m-cresol	-2.912077116393789	-1.8497829637446315
m-hydroxybenzaldehyde	2.297693833869167	8.255886202064172
m-Phenylenediamine	-2.3122158483956765	-4.6398541319739985
m-xylene	-2.776356340543192	-2.749521939809893
methane	-1.835088122574578	13.573984316618244
methanethiol	-3.8001905751633123	-6.052773250493263
Methanol	-3.509397390175879	-3.5668327855239585
Methenamine	-0.5470022803299576	14.326977326556452
methylamine	-3.9931810593837946	-5.012698150202096
methylcyclohexane	0.3135688333984093	11.701810476878425
methylhydrazine	-3.5224263046027087	-4.533028217241655
Methylpyrrolidone	-2.711321689202391	3.250891884328978
methyl_3-methyl-4-thiomethoxyphenyl_thiophosphate	5.833706217622948	2.175597124807671
methyl_acetate	-2.3027802404289344	1.1099031917344924
methyl_benzoate	-0.13423338917101904	7.843306458535382
methyl_butanoate	2.331015787143332	-12.97273329683178
methyl_formate	-1.6631133341363071	3.3042840504139552
methyl_hexanoate	-1.9229258448016708	1.6627893618515623
methyl_isopropyl_ether	-3.7286687640724674	-3.683764236850947
methyl_octanoate	-1.479265421300443	3.7849549736887487
methyl_pentanoate	-2.1647724033660594	1.2544789644447778
methyl_peroxide	-3.486325382496049	-3.269177372929253
methyl_propanoate	-2.325418502052892	-0.570466705077549
morpholine	-3.316438592892322	-4.100632327428005
N,N-Dimethylacetamide	-2.9778741172465146	5.21325680336655
N,N-dimethylaniline	-3.6035609009121985	-4.94298507772827
N,N-dimethylpiperazine	-3.329439611687045	-4.247727712430637
n-butane	-0.7613108557310725	16.99543428100532
N-ethylaniline	-3.564687043821284	-5.760242175380316
n-heptane	2.3215908125778424	14.37891269650817
n-hexane	0.870075759001826	12.198828906046302
N-methylacetamide	-2.1134139281093893	1.5946864249692696
N-methylaniline	-4.133494944754013	-5.938972167210604
N-methylmorpholine	6.1328013356814175	-16.884011400331474
N-methylpiperazine	5.194841511617064	-16.598441611955028
N-Methylthiourea	-3.0007752172226003	-0.23383463363242069
n-octane	3.0066014550629845	20.505903718885538
n-pentane	0.03900514085857843	16.948299470250163
n-propane	-0.25987884437532616	6.424831807198412
naphthalene	0.3298139809146559	-2.439121599313706
nitrobenzene	-0.6802794504674924	-12.98493857263029
nitroethane	-0.268949430734605	8.963891060303563
nitromethane	-4.269340256797081	-12.518683141056242
o-chlorotoluene	-2.645165087000285	-4.351778647966065
o-cresol	-2.456763230754908	-1.7208244628492848
o-xylene	-3.3473305079642546	-1.5265015061265181
octafluoropropane	-2.9742447338177778	-13.219224164697533
octanal	-3.4676148011355785	-3.6984165524462753
octanol	-3.458335594982444	-3.178247602282482
p-bromophenol	-4.073328356298523	-5.6067213594135366
p-bromotoluene	-3.0366253057412145	-1.3986879430517867
p-cresol	-3.642135942623374	-4.911873972990264
p-dibromobenzene	-3.536258802016694	-4.701800489044433
p-hydroxybenzaldehyde	-3.26418721094433	-5.202599722275154
p-xylene	-2.8490363960586604	-5.3137534498393695
pentanal	-3.7162729333425375	-3.8245968635828373
Pentanoic_acid	-3.7730063002778373	-3.6676121327920916
pentanol	-3.45848830712067	-3.5680948770928684
pentylamine	-3.5844062812511557	-4.774069713113205
pentyl_acetate	-1.9937822893896189	3.2696882586065503
Perfluorooctanoic_acid	17.447710175773786	-22.877226986723475
phosphine	-3.903507963339537	-7.158010346600349
piperazine	-3.974510050279127	-4.64273814450527
propanal	-3.2920699108828435	-3.6966609564803736
propanoic_acid	-3.866976555940602	-3.658973604362326
propanol	-3.927743081903879	-3.8408567342003015
propene	-4.192152722808963	-6.847035054388916
Sorbitol	2.524902728783748	16.745817412413803
Tetrahydrofuran	-3.5665216868936516	-3.552262348157725
Tetramethylurea	-1.4655626066946636	11.297897216558566
Threonine	-0.13231378669888819	1.3145860695881804
Triethanolamine	-3.2951741410082596	-4.546778185073815
