Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36
1,1,1,2-Tetrachloroethane	2.669569205515308	12.97001631131287	-6.187685400433671	6.882405530143523	5.731015059093633	1.9954969913320737	-8.507019449992933	-2.0050626283011717	-0.10969226378294937	0.43169243301234006	-0.22194166968999804	0.49790414509527364	6.7280697057536845	3.6411667114798907	0.22636242845395851	5.144237269356618	3.228322045552505	-1.1205067314555237	-2.1694189106649993	7.53471461747669	-4.6891239695077145	1.521848585641459	-2.249893752095961	6.345490541616553	2.87503997460203	-0.2900715762593667	3.7488869904060746	-2.7043735333106373	2.0746767993505437	-1.135281250762499	-3.858316178911038	0.17620582436023513	3.9695239589374935	-4.399801873529348	2.2643019430012377	1.201037940236975
1,1,1,3,3,3-Hexafluoro-2-propanol	0.8669721009546464	24.842911919986822	-2.4626442657847596	17.635326816813915	-11.390659503248978	1.9542621451726438	6.77445095001669	-3.5702316562522536	-3.613357552450248	-2.162192058378267	1.4040926247948997	3.187763661849387	-7.31543550761568	-7.893567237975426	14.63648292605611	0.15722314184342015	-2.3895031301297314	-0.6888883200855607	-1.529680873477199	1.7517826604972389	-2.123184703286797	-3.482269491275694	5.872257115623024	-0.6738274373656893	2.4238257350599044	-2.230302860702896	-1.3109522185127627	2.169163031605512	1.2872604040456774	2.01412316252126	0.8389699830552271	-2.0338696922280617	-1.403312893185839	-5.0671202142141585	1.5480489819784518	-3.1671887295114463
1,1,1-Trichloroethane	0.7304732703851561	8.37083331943165	-8.181190650866197	9.028229503204274	3.3729979048535257	0.33061636096653907	-5.352229274853215	-3.0603965373768136	-3.4703459088827535	1.6774953569519309	-1.137939750666354	4.001359554525329	10.871556251361513	2.135341250698301	0.382444440842194	-1.8055599889866596	0.28644605127976136	-5.167121944963225	3.3920209375506087	5.1957087596384435	0.35869027329405795	0.7385210882055578	-5.3758152166234785	-4.744900808877068	0.891430343471086	0.9674044449340675	1.9461024699144283	1.0308518572041903	-3.052801017019844	5.296999528238431	-2.033466232597802	2.252595373840308	1.3424522876970448	-3.7629392435896216	5.907415524794222	4.152977919041111
1,1,1-Trifluoro-2-propanol	-1.0895054118890315	23.73776298342096	-6.121826682942278	16.229913989934566	-10.228234914040135	5.212524909368594	-1.7496712789348345	-0.06486692910819863	0.30421136051059927	2.5601982243219306	2.1006737900859824	-1.113029187310203	2.6153401168400285	4.181854679126813	0.8696524299572169	-2.7356267621701496	-5.896240709995117	0.7191197838382543	1.4177602825290252	-7.101474465589682	2.749383078772301	-4.23079055772413	-1.866246638383187	-0.5308940771797557	-5.081627119453492	-2.107125023485024	0.6444275270462693	-0.26944083331782426	-1.8374098970951827	-1.7830564999422243	-1.7113303108360758	-1.6232653949527973	-2.2222709208104745	0.30313163638289936	-3.0998399417014535	0.5139794575919185
1,1,2-trichloro-1,2,2-trifluoroethane	3.7532225036346727	17.855234643038735	-4.554412612559252	8.074941167338036	4.321625967297425	-3.3718250718839804	-13.039877710336011	9.804360452080644	-7.175799059900114	1.7185587837418408	0.21799743552232498	4.070675856595959	-6.108354844418039	7.291196076980497	0.5025532627227964	-3.442699129766421	5.259976294807312	-1.6818875173695724	-3.0905081555595513	-3.9021364613524	2.1478644475668918	-1.6883512022911615	-0.702274841824674	-4.386271167745594	3.3938070477954216	-2.5137439506330446	-6.166283519594741	13.801646476847342	2.931361160572094	-2.5946263733789663	-7.2031196404311375	-1.7844988236546708	5.95164335516175	-5.301984158263573	-6.429437786954545	-2.4487363495045535
1,1,2-Trichloroethane	1.0037297201578892	11.733101846153048	-7.471861482618504	7.395649832500209	4.772656895451187	-2.5745452465229475	-7.532839132504216	1.5337400780547035	1.178409246867235	-4.534417914691554	-4.1205336101464205	5.717341333533093	6.640203748280684	0.02754714815969796	-4.688135673677467	5.356927367888769	2.0010904847181155	3.1501755237651086	-2.5941628298834076	4.519265199839446	0.3084717463494559	-0.8985630536455805	-2.218607122298309	4.383874251793192	-3.080988067590432	-0.9558866287438668	6.198877527016205	-1.440827506389143	5.9898308948187085	-2.297917640552082	2.0567329401655976	-3.108011231764455	-3.096524708065441	-0.23597444028256123	4.292600215981622	-5.841147824057104
1,1,2-Trichlorotrifluoroethane	2.6487640923238382	15.796440284975079	-4.46985141914807	6.336765807095563	2.0674754879996007	-3.5370540201723735	-7.586494330396147	2.9172743458260175	0.5254493633608798	-2.5108328297378852	-1.439253139464885	9.575657657773988	-1.2827813194959543	1.5572590590138022	3.546863196977897	4.323645233480548	5.136070812911219	-4.460019999297938	2.725412716870225	2.078754953772812	5.263178881455395	0.4204242734009889	-2.4447096649815165	-2.229774162487488	2.358723365639058	-4.113576031299637	3.2097815310634865	-7.846730879741623	-1.9717464819641282	-1.0649829590868896	1.0381499333739896	4.035754632957021	-0.895299613181214	3.5577245446962675	-2.224329107465247	-10.09689832674936
1,1-Difluoroethane	-3.1637226399840057	10.522770456102004	-9.84444075523852	15.104426463155834	0.4950335946879735	10.66365523415778	0.7100048519392856	-1.7264364015297926	-4.479160569402326	4.558095245784102	-3.830471656156937	2.5297853048054795	-3.056740914452586	1.5713773310177834	-4.985830366829514	2.2924842975462685	2.010188890795325	-1.599266168175741	0.08687986753708307	-1.4029613858223735	4.73584156942966	-6.299555045556821	-4.252871045262591	1.6068150903708271	-0.7020415590235228	1.6350928520948025	-4.459714986486743	0.7290306569931553	2.5414127909256954	-0.4650300193530346	2.951216881611868	-2.994495860831983	-2.073137023799514	0.718375278577524	2.518302818578391	0.7707193738889546
1,1-Dimethylhydrazine	-1.5554031171818345	1.8615344932946667	-2.4999685764722783	-5.147756691604392	3.291075635046192	-6.804936803047388	-1.7227882834339598	1.5982599261354908	-1.2265497899402023	0.018206035121901498	0.24871066770855413	-0.44969039018837265	-2.575531353383365	0.039583876000679544	1.5171245139391247	2.562869108500502	-4.439242377734395	-1.9306033949037475	-3.340637243903303	-1.3420273960885045	0.21544590306923012	-2.395550834565578	-2.913305444587709	-0.5122297258131854	-2.577280812713291	2.083802268491891	-3.9424810684625267	2.275617165433192	1.8360876726163953	3.455064510553512	-0.9324924170254876	-1.4485026343755885	2.9197412369637976	0.5870500806386935	0.7265121551143489	-1.586941214545949
1,2-dichlorobenzene	0.054414349596846295	-5.015543043589224	3.194390416617778	-0.059229869758338764	-4.08785126405664	3.881519017803528	-1.334577422726398	-0.13424211115381962	-2.3700425569056898	-3.5473070879218143	-4.383742950797047	-0.6665152137281537	5.699495697475229	-1.844160561509268	4.349812738128967	2.2908886371416606	-0.9812799157924553	-0.07247601541426493	1.5992454877763924	-1.6280900909059033	-6.024873278749578	4.244716992105065	4.149287789933204	-1.6724944940902315	2.9225613214342703	2.0774552626280096	-2.721298950387266	-3.175294493839735	-1.411987477437079	1.3269564146101138	-3.9815739531479584	0.05984097305532337	-3.917169251366718	0.27800229344548105	-0.7145617587078859	0.2049975587159685
