Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22
1,1,1,2-Tetrachloroethane	-1.808638547252514	1.2722847320862252	7.867198217636592	-2.722276517842599	-1.9170275444328364	-6.144973600149325	1.3180165025303403	-3.346716831710113	2.1960342326758577	-2.5032291172811845	-4.604614593933524	8.14904487300523	-0.8180485143251582	-6.966481011748624	3.2843609355752204	3.4447896259474264	0.4528617190402828	2.251321097924695	-1.0663201148420571	1.3773944352754774	1.0975484663716881	-0.30463367894896076
1,1,1,3,3,3-Hexafluoro-2-propanol	-1.9203388213289936	10.338045952281743	10.34293640328004	4.140508232437991	8.53081875179999	13.469253984850868	3.862416948248673	-0.14617769084628082	-8.103117012693462	-1.569304426684335	4.537409391483904	-6.202864692373495	2.4751684666946216	-5.518158549786174	5.3782549094671745	-0.6208179062033199	-0.8533461814401169	0.8364982093056051	0.28778036214880687	-2.370789032831169	3.904173838916049	-1.3774346735605165
1,1,1-Trichloroethane	-2.8641615063177377	-2.5615321592287463	9.673323307878386	-3.211251714365121	0.4063879235470311	-5.067802272005315	-3.2194053901761452	-3.1554303923970637	0.1273398371737423	0.6683108452271698	-1.7323631932649064	1.6569309616919026	0.4899606639145383	-4.0397905523057185	-4.899892322594804	-0.4723994027719126	-5.65133237249907	-6.912719341498406	0.7162135275399225	3.179871846018495	2.1653319544384995	3.4955210317041443
1,1,1-Trifluoro-2-propanol	-3.7763737165784916	8.34223190796497	10.627862926182162	5.144224520466724	-2.8835180980790125	3.352805531367941	3.8964033790445796	2.9044672250009103	-1.7205106793002554	-3.882718678217291	-4.987431801509943	-6.07283590795108	1.6605014000899285	5.572175162268143	-1.098250058414616	-3.2991741027186885	-1.5951918038989905	-4.041482930710016	-2.0770591752521845	-1.0477435073209478	-1.3505048375706907	0.8232527158566803
1,1,2-trichloro-1,2,2-trifluoroethane	-0.6483143724172098	3.155595461534069	5.142273901390111	-7.164548628511937	-5.04735333781865	-0.027175083583783524	13.741517860403798	-1.8876429763073281	0.8608863753270531	1.5684610500789753	3.157220860394037	2.7988239276237072	-0.6310857466550853	0.8788893846736109	-7.779654471531933	-4.784371746511079	-1.1188564152839133	3.088855577081122	13.314121739535857	-0.5801580936674977	4.1490186497567025	-4.503597724247613
1,1,2-Trichloroethane	-2.612747537743741	0.3170268198176929	8.137053227459608	-6.401028028225281	-1.6610053296213652	-2.151197448566936	-1.771294215506372	-2.684538030635251	9.76983825713226	-2.924738856321372	-4.710741738297677	4.7130027308393805	1.0342018146653185	-3.8617736528840334	2.5876310120653843	0.18943389225328577	0.2046951053905177	-0.07988418622030152	-2.2071106134450242	3.937681864591374	3.1218119145347254	-0.5743710702772573
1,1,2-Trichlorotrifluoroethane	-1.2787022989398518	4.181484538744416	5.464827884823804	-7.754664474683448	-0.023386936928876098	2.2535113132052413	3.2533718058454832	-4.033125082116504	2.1644803555350363	4.096882845411082	-0.9657591060119033	3.299377851078156	-1.5959007239014096	-7.359253235105685	-0.5227512229291389	-7.0009616215019514	1.2633082076963826	-3.5082023187580162	-3.709936497957139	3.9842110994688813	-4.5851317726417715	1.0174233655628646
1,1-Difluoroethane	-5.163286690319925	-0.4551378313528131	12.371251016591671	5.173629785773672	-0.35994292830558305	-4.220986065696415	3.477519322362645	-3.366547436803194	3.2669283938642995	5.216414950083178	0.4388919889885482	-2.5478966725326075	0.3238600803280656	3.196402803603703	2.0368646854062304	-0.8072789132945137	-5.146704225612945	3.00937347120012	0.009840553414090568	0.6821987513647058	1.1184955340128264	0.8017358623576535
1,1-Dimethylhydrazine	-4.350233234787717	-6.464517322307204	-1.809119185965657	-5.786333154625583	-2.082433616543358	-1.6546632569976458	-0.8680364395936621	0.12467921824800211	-0.5207087108410535	0.39549589437461224	3.052517162193889	-2.1912427408952873	-4.369737322785117	1.4595100336966316	1.4157574690565915	2.1794263593387493	-1.7126643349546962	0.2238158308963607	1.1252701255021447	-3.714485411172992	-0.10510597247794214	-3.503725851330525
1-2-3-hexanetriol	-1.474470715437366	10.556612195250896	-8.68660498001777	0.7147383167336013	-0.21613972271558443	0.7464930587908734	2.881710064491045	1.4184183228770428	1.9013939437887069	-6.411138766324237	-3.3599516322321787	1.1896169669994257	2.346486716389283	-0.03544370659295052	-1.3294845425143018	3.3512270343766994	1.7000864166638312	-0.9578704786802684	-2.0575812016273685	2.0326015279366563	-0.4462027970511578	-0.7237543165741267
