Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
1,1,1,2-Tetrachloroethane	-3.4307483802084016	-4.029530599944085	2.6315501794064247	10.727756296076356	1.7446276680305481	14.910700016073768	-3.329081340304546	-5.491207996080368	1.5580620578727966	4.445688141195674	-2.4426226042757175	0.3108838005687283	1.0878149748881059	-0.817640007924959	1.7698003619338478
1,1,1,3,3,3-Hexafluoro-2-propanol	0.1840910407653764	14.005348164040589	-13.359791262397735	-14.064427941398295	-10.38358520119253	3.6910616222166555	-2.470616415146517	-0.6473841107675231	1.013396502802985	5.935413858663655	2.0067666375332003	-1.1363960205404768	4.920796145966135	-0.032728857312385354	0.10771077671346457
1,1,1-Trichloroethane	-2.5816465979816607	-7.260870699382805	1.4305070754047933	0.838345712390527	2.8100101792992853	8.656540101119036	-3.1231924861341045	9.535537352733684	-0.4023704365846298	0.4669318414195122	-5.663815967395945	-1.6114072967666138	-0.17900629112643793	-0.5305096385982078	-8.074650362586166
1,1,1-Trifluoro-2-propanol	-1.2132992581539181	1.3439829789330286	0.234992495702029	-5.386093291328896	0.4547296059281029	-0.26230572834371535	9.700159154128714	6.298037284533694	1.4681175503467208	5.852221011762968	3.1354051617028635	-7.059115233653573	-2.1816444876415346	0.9642935116194508	1.487626306783562
1,1,2-trichloro-1,2,2-trifluoroethane	0.2959393937432813	-3.325461957098868	-4.373471192380507	1.2017222592703762	-3.2724581036977325	2.587711093217817	2.286879190441852	-1.829348196779253	3.530267493179439	-8.369947614676077	0.05593033573654613	-0.48593307668396635	-5.258826993426717	-1.2080355749431761	-7.80561761773934
1,1,2-Trichloroethane	-3.1228769230066233	-8.705130561398649	-4.6325046507105965	15.64538459700576	0.3619958114362339	9.029656894013915	3.3423396920565165	-1.7432749182570288	-3.1115057634531866	4.841575400136408	-0.18711032081289736	2.2475149100685194	2.956171360521719	-0.6893903993543725	-0.5728016270925472
1,1,2-Trichlorotrifluoroethane	-0.49826035047092043	-1.7329470279354193	-7.063886157306741	6.284779825424925	-5.963217940254103	7.307772786545561	-2.306752019299994	0.8056209928018756	4.330452198359078	-5.632482305799718	-7.463730220225658	-4.951899288547866	1.335286069936693	-1.2291572543954012	0.4913356619800509
1,1-Difluoroethane	-4.336724774068924	2.52121787067511	9.249301109968176	-1.1637437949608427	1.2971209846301162	-0.5073071318295194	-3.046286940621809	0.7322448932248417	1.173953211467603	-1.896867586213792	8.715455727579426	-0.02739342243825393	2.725994710589959	-1.5334056906394036	0.964084247135198
1,1-Dimethylhydrazine	-6.253202659749946	-8.090172060618064	0.9823485845211068	-3.6616196908517002	1.5451791016188507	-1.9065820188892912	-2.427166462624713	-0.25762699831368746	-3.1673822709284862	0.8847063344443347	1.7536871861772327	0.14249968276879002	0.3428534167906085	-2.650800117793207	2.1805289488319324
1-2-3-hexanetriol	-1.4604011191566448	6.531112937282547	-0.5742914208181612	6.141302193089083	-4.052266234701774	2.254732024235617	3.6207650702612035	-3.348641344936552	-1.2698821316248716	0.5235352003570239	-0.31379416569579904	2.015073874254889	-0.3814965015033476	-0.058428329609295095	1.4110038089337733
1-2-Benzenediol	-0.9420901836588899	-8.624847574718046	-1.291605318555965	-0.6393188430394761	0.2451978712679376	-4.719783713370888	0.9098938268905662	-3.81847734291415	4.6598650319856505	0.7876662630337788	-1.6269852158735139	-0.20311432550519434	-3.6203257990209017	-7.383792742012302	4.604161698519931
1-2-butanediol	-4.557161263709646	3.4323208548731996	-1.1866639769546345	2.0944298744136787	1.640772850513188	3.8509376137296996	2.3885830208861907	-0.7532769448303677	-4.8069752112670905	-1.4942631854589759	-3.960858639680643	-4.381725691317673	2.5383772789415278	0.9660833976765943	2.1226103492077333
1-2-Dimethoxyethane	-4.382043697638749	-3.2624399700498263	1.7010925202501017	5.727362179165166	0.9769413187073087	-2.6973178662365833	-0.6605678398415011	5.435852327692561	-5.784305852569731	-4.167344744703871	-3.5478497412852494	-2.063658419806925	4.674030410187216	-2.304641544024838	-0.16391060082869716
1-2-ethanediol	-6.610048630825769	0.5742719489301478	1.7882338774445743	0.9207920222331399	4.6135616781361035	6.336359766692536	-1.8779821697468093	-5.588414863068171	-3.4021016416766163	2.7756899929952334	-0.780584789248204	3.9094912457780597	4.773803255058962	1.1744168198119356	-2.3522430005716624
1-2-heptanediol	-1.1963679653836743	10.83935991575395	2.235684091282385	6.373542572304708	2.368731776010011	-7.129283909769421	3.9730120711492094	0.7012515166511339	-4.42484175488064	-5.2181512807720125	-2.2868653546726603	-1.275891571775567	0.5995065071234184	-0.5123154031514454	0.702041660456139
1-2-hexanediol	-3.110889115443	12.047274758989651	-2.1939669043495003	3.0683531322739293	3.008641884628523	-3.7314871293074106	-1.898203203501102	0.4918728020113951	-8.196191361369253	-3.336903177209437	-4.455189567993189	0.538413209202396	-1.5474666672873076	3.2321945949051436	-2.718003519633937
