Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
1,1,1,2-Tetrachloroethane	-0.8511789517474175	-10.5053417046251	14.789547649928169	-9.176082323213024	-5.6099928622527795	0.7970520413997618	-2.606203550697197	5.287281621719435	-8.434729579555551	-3.4502828578008318	2.922634375652116	6.911817764691267	-0.25363208913113244	-1.4095870280005007	-0.45172932620941936	-3.6505290271926376	5.357222039507318	-2.359009034935893	2.1737476787036365	3.895995973727986	4.403148960636303	-4.138152955451532	0.054526726587511044	6.901797748663011	-2.8097301584328847
1,1,1,3,3,3-Hexafluoro-2-propanol	-4.730171748781274	2.821289229698327	-13.053503658769564	11.044925197638346	-18.173792476205847	5.85268242797477	4.810674157245614	-7.6285556272128785	2.891061976123225	2.587768517486128	1.6255836958138519	3.9057422408746088	4.07569402169024	8.538380015899776	5.753062200994958	-1.723862521127004	9.362181484187861	-0.42647627846004177	6.172530900221178	1.540332216225709	1.238186750746	0.7312568082435537	-0.12771897445059402	1.2847579197925634	0.584088548951615
1,1,1-Trichloroethane	-1.5546897564676163	-11.009367843079588	12.064665655815682	-6.472782781910785	-5.233481001753449	-2.565942701621791	0.4065234044992991	0.017765897180298886	-0.9602214777393155	9.631350649206238	2.87472921215055	1.1683055264102906	-5.224955810221691	-0.5402468751785358	4.480436114160104	-4.724739458494523	0.339131589665835	7.609283049320914	-2.521006644673633	-4.1500224256562115	2.139273015617581	-3.895755791646762	-0.4470252283193281	2.239603509232588	-9.389314842516766
1,1,1-Trifluoro-2-propanol	-1.6186791090653228	-3.213545057126877	-8.963812559748764	9.268512887408455	-6.496796017229376	4.663739260175649	3.1919536127032297	1.5632207497669264	-1.5710740099470484	-0.7034829481107342	-5.344672800579714	4.208471532023645	4.430427928387991	-6.35962850149668	6.197696485579975	-2.6151548802863283	2.3004381455995953	4.608096223361882	-3.1378538808828993	-3.6131394002808106	-2.3396491494303455	2.4613088215783834	5.0468901987198524	-4.722723691948566	1.7587188138390417
1,1,2-trichloro-1,2,2-trifluoroethane	0.12989193638103494	-4.465653608079047	9.337935433730262	-1.6194422286349264	-12.157611558197388	-1.072325725341331	-6.292985743613111	-5.638645224716711	-4.843352104110113	-11.595631936351356	6.210326605908187	-7.007633551140547	0.18435767543348994	-5.418744887430724	-1.0679561797553885	-2.856538982735481	-1.5414231474536146	1.1540945151685646	-0.9061562145978023	-3.6823122801823094	2.6864410942873302	0.12275434413986173	6.565046972936484	-4.966969048862381	-3.49889441589646
1,1,2-Trichloroethane	-0.15946438546807076	-8.170844066119528	8.670481684731282	-3.263755738627206	6.119898585291377	5.234470880283552	3.3861535194463888	2.6138539640580087	-4.768560526627968	4.501474906979538	5.280734782050539	-5.074796384972583	-0.22997542161740664	0.21967554303546438	5.07717334532447	1.3522370331251794	-0.5610744169234011	-6.3884510428717896	4.67246312812388	-1.0884171296455347	5.526618590765155	3.085048276862164	-10.059176272611538	-5.664668395054754	7.9033279976092
1,1,2-Trichlorotrifluoroethane	-1.803442185606904	-6.84168933623237	8.579290101476586	-5.0008133914838035	-7.017961618012276	6.62597676143866	-5.450494252593276	-1.481348743133489	1.754214051679933	-1.9807777461396414	10.491277591724154	-5.262996430686286	-3.299651375964741	-0.57761315609812	3.8535777086505822	-6.995686158821599	-3.4028153120721165	-4.219281521777984	-2.6229558444977488	1.9044051865282008	-0.23944831642710365	11.247180286841504	3.9709502947290636	-2.0816021810280962	-4.146769529706678
1,1-Difluoroethane	-2.12224356639105	-7.532410546456301	0.33248898087805867	-2.5350791566195934	6.186418924510437	-3.82237866662708	5.765579916208604	-0.15914634195839517	2.9401650103098307	-3.2796245782660747	-3.4609740432481124	1.6000057222477642	4.8233484315788475	1.7063848579909393	-0.7466398113049636	1.5317239224306551	4.166559876825427	-1.477066963145634	2.517973044382041	-3.365463577925669	0.5075781992902776	1.4981256607639328	-1.0476757518396498	-2.686953943974892	-0.6399768662262804
1,1-Dimethylhydrazine	-1.5796727447395766	1.2720532900451955	0.07366773385245831	-4.433392191453936	-2.423236340617818	-2.712095516969425	4.478892776056164	-7.936395956406512	-3.641929547483428	-1.2184946696887677	-7.1784823433161975	-0.8816689754331222	1.204981625557142	-3.2095718426196114	-4.408617348782252	2.8576944387015333	-6.082043914494978	-4.110858740206768	4.498964132156282	-7.05218256375616	-2.381662430849807	7.198420341483279	-2.781444287592204	-0.920198511612433	2.373119067119642
1-2-3-hexanetriol	-2.5881735191738104	1.2674123713217633	-8.967695719467306	0.24623622815353852	-0.38949738942409323	-1.809900000027874	-5.86635394840065	2.8028653687999276	-4.944221782775101	5.97252038487486	4.318456715544522	1.6390585255084007	4.648208510225702	-6.878636836263167	-4.844255758623706	-2.027728067892792	5.001332368378342	4.044854316398899	0.693921150039364	1.6816265150331078	-5.210793816302197	-3.574091766173285	-4.2505488872565875	-5.3968484877884295	-2.1300588358206927
1-2-Benzenediol	0.6587227111718512	12.556233409890142	4.33022796137566	-7.387215409238853	-3.8457926312981128	19.949787884960916	-7.825859880327735	6.489538146090458	1.7210929316956944	-13.182208830203598	-12.932483956751295	-7.908889648068427	-8.754248596922034	1.089448523338731	-2.525865953539671	4.466266686923196	8.921309068082914	7.039554588806108	4.500822746289923	1.9203054509302973	2.0553099306956613	-4.999288164296818	-2.2881952974170296	-1.9538984965649453	-0.6577041240525264
1-2-butanediol	-1.6980261974844886	-5.073376759141238	-2.3318873195176026	-2.8104076278462298	-3.183905929326357	3.004602587612715	-2.430292905966714	1.223488489363501	5.598149466359461	6.995422142944714	4.3293464641525246	3.610853208444881	-6.653995167501014	2.411200037895986	-6.314535655171742	3.183380176719001	-2.8770183342315963	-4.239305349768853	-4.391006670006251	-0.5414547358278823	0.360500970193067	3.401077088546188	-3.6391369235005837	-5.439880573538203	1.6018612572886455
1-2-Dimethoxyethane	-2.1419523872966977	-0.20460088096231513	0.8381467752277177	3.1863628407125977	4.908621817672624	-5.102971367016471	3.7461957177208727	1.1689706252274594	4.731306620314514	-4.070578866052008	-3.8055637980571895	-7.397976571894916	-6.787518874008047	-4.513321348540285	-1.1863438336321175	-4.637603423824922	0.8098854904521573	-8.532671496814437	-6.354777337373563	-4.893885744562515	0.25009610158228984	-3.12572457339788	-0.6022639672456065	0.5805149514245812	-2.320964735119806
1-2-ethanediol	0.33336511926261136	-4.825162666421514	-2.2029641443660557	-4.997053684866338	1.0216937380717541	0.5969492872289861	3.3942116619414713	2.1208734044272743	2.616022281441609	-2.537648652599671	-1.5380617858270937	2.518168121992384	-5.395320088043431	0.7449369583012313	-0.9632201077476963	-3.9561778820757043	1.596823450897705	-4.567966565141391	4.789141015454577	-2.4410159745762163	2.4942762124742965	-1.9925842863578191	0.4055110610475442	-3.2554702515829095	4.217004784434009
