Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
1,1,1,2-Tetrachloroethane	-1.5631719390301972	-3.857041454358641	-17.81003762734819	9.397668658670502	-2.9469378610054293	5.872204964828555	-0.8380332292469724	-2.196789049573306	0.6607456210830965	3.5505672396654324	11.001001352584382	-4.706271721517163	-2.2870192329601537	-6.094708333137871	5.1904035186980675	-4.353146801454994
1,1,1,3,3,3-Hexafluoro-2-propanol	-4.36024702822216	-3.5377195215697195	16.24908391331173	2.5515750489601237	18.97630642481525	7.570875011400936	11.689264030034797	7.281706951998803	1.7981442269085424	-6.684858915151538	0.8244227941003704	-9.53647436242226	3.483689165557643	-5.071754365164069	5.402647331665389	3.9548266481246928
1,1,1-Trichloroethane	-1.3713117109033446	0.3198663271865267	-15.36988870981891	9.22829144561611	2.9041611826845086	8.17141668046491	-2.977123717473828	-2.3658011835624273	-0.4893383995213639	-7.262379426082826	-1.4723333212160625	10.01393690871521	-3.8746817441590107	-7.386230340135801	-6.999565301391985	0.8270642269555086
1,1,1-Trifluoro-2-propanol	-3.2426285550150418	-3.124099295715548	4.523538671935583	-7.338958779912984	6.295887720588079	3.8324443034784417	-2.420228663427253	2.4888873920568075	2.6393434715529738	-10.035581880857846	4.430286838164682	1.6317007405544741	1.8359179256963853	1.921994405115457	-6.62211688372684	0.9674170388802649
1,1,2-trichloro-1,2,2-trifluoroethane	-2.531369383383524	3.517805163241139	-7.465287823781511	10.46411312591204	0.3659930064888386	9.930422744844915	0.39811554293877555	4.298966875074189	-3.1532225454972806	10.227819529788805	5.245139669764299	4.873164623661128	1.3361162166154192	2.662237466590905	-1.666028154431219	10.287929911422848
1,1,2-Trichloroethane	-1.8557025688138038	-2.7598150408597744	-12.891365575328347	0.012161213494042648	-5.179918804803751	9.964771972862044	-4.296905402508352	2.260988395449109	1.0932478304774471	-2.0933581450253036	6.143078798125082	-0.6514785900979199	0.5445053321959462	8.04565444253109	2.9606475702060426	-5.241168943223244
1,1,2-Trichlorotrifluoroethane	-2.6881658699598057	-0.5314734620552295	-8.835158190645553	9.65452636266394	1.9975293022317488	13.42889008603383	4.867673491249031	2.660800639541745	4.222935700079275	7.397211215146116	-1.1287465748589278	5.09483683679542	0.756822120759351	-5.854841044566927	0.9301141416834192	0.5359127192230325
1,1-Difluoroethane	-1.479437923944429	-8.03596217904157	-1.7093205441181871	1.1041711472484816	-0.8046456210498815	-7.900098665736638	-2.7332804490191256	-3.3838870295544057	-3.2085374669648377	0.05048405926213639	0.4751112355683427	-8.746657242661431	6.480612879068513	0.44620152022373893	-5.836893020398059	2.599507222510124
1,1-Dimethylhydrazine	-0.14903330652277563	1.5728714765723255	-2.056655976883763	3.108241513424587	-2.6950846696944413	-2.3341033992837055	-6.09221977808353	-4.160808599201092	1.4066445801909513	-0.35250564938671614	-3.768388556084558	-6.23233308716188	-1.4014000658845516	7.611364575028105	-1.172052546478886	-1.4169575075257184
1-2-3-hexanetriol	-3.2422320345292603	-7.5317674749881585	2.192576333562347	-1.519719533208353	-0.11797501437885236	3.6660530586695796	0.2234934276075265	2.7986776313097455	-1.3361715460810397	1.3548439741799463	4.294490690650093	-0.7966895471796238	4.047483679248712	-0.2227679119173191	5.678090221968806	-1.5096265666122308
