Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
1,1,1,2-Tetrachloroethane	-0.8511799210762372	-10.505252792186623	14.789472737188763	-9.17605740611932	-5.611094330723042	0.8002093541349681	-2.6024074012756113	5.280914458037446	-8.438949481833045	-3.4514150076432477	2.916975513710481	6.90875233478636	-0.24596024945266692	-1.4278311670288752	-0.5069184724366425	-3.639713020042074	5.273703590308824	-2.300667469988857	2.0559521308580773	3.8881433994224657	4.241029768887372	-4.135966013821599	0.31207633545902586	6.801650884755718	2.889128711408296	0.9153069760578775	2.8405083654447556	0.45566803587003607	-7.566208094271983	4.042487712469054	1.2632714564031706	-2.33599437197844	-3.8240023280616517	-7.854850969125464
1,1,1,3,3,3-Hexafluoro-2-propanol	-4.730170547864743	2.821318557772273	-13.053070723498543	11.045492563966736	-18.17349760042047	5.849996145477571	4.810411255725224	-7.623432909616656	2.8899308279364253	2.5895073383929645	1.6283554724720153	3.903258084034593	4.0711708238280675	8.54952737839003	5.784616448986265	-1.7488901290797376	9.409106152666059	-0.5117869571998387	6.17416044411155	1.5701178544536725	1.2868599397238414	0.7169016280736736	-0.11209997546603323	1.2709463071259677	-0.6987659757730909	-2.107447336299666	1.624539037121255	3.9411131727587865	3.047928255568858	-1.7285926141241232	0.9437459437358983	1.5475631370937855	-2.835951228006205	-3.965571888941426
1,1,1-Trichloroethane	-1.5546867113590133	-11.009255160830405	12.064442498970896	-6.473902705186385	-5.23510125945981	-2.5618489220192573	0.40047850954635683	0.020069449940721875	-0.9589581042271732	9.631678993876378	2.879593111266992	1.1756173974757596	-5.232320298684116	-0.5362716819897939	4.524303783708405	-4.687656928745377	0.3077516417276965	7.694930576818721	-2.547281068893895	-4.128029169704846	2.3305189918279106	-3.928918384243816	-0.4111867774064352	2.5451659803446955	9.663283754284722	2.77060321477188	-3.1847526774524084	-5.745245843066658	5.920200294931218	-3.945874200281325	-3.4514645778918642	5.844449258397599	3.6684214376379334	2.6216513772375176
1,1,1-Trifluoro-2-propanol	-1.6186796875315392	-3.2134825893995704	-8.963636085977571	9.268212093353599	-6.498300478653254	4.66374444195628	3.1931669564801464	1.5617778615337434	-1.5724115022517893	-0.702033022798901	-5.347267137329224	4.205072345556676	4.436639732836108	-6.356882985419976	6.205337851409403	-2.6013529607540087	2.237572363206309	4.6523930878464155	-3.1341561309331465	-3.6052935254536975	-2.3173879447332637	2.406266600977627	5.126404642545085	-4.591101163059122	-1.506375563643238	9.766335782987515	-2.1432099082913183	-0.5266697907681278	0.7558793518276778	-5.847307114749383	3.0979702129319735	-3.449554082250857	2.0044413811289976	-1.5552621413799854
1,1,2-trichloro-1,2,2-trifluoroethane	0.12989446018908293	-4.4657100706327135	9.338490246705247	-1.6184852629883852	-12.15692679743686	-1.0778633522435794	-6.292474579074367	-5.629062716415082	-4.844080228945875	-11.594322081922964	6.216730976551837	-7.009484364336239	0.17629472639643343	-5.416487028422655	-1.0277114182070697	-2.890521060418167	-1.50129852719259	1.0135473250092217	-0.8441322109564013	-3.6629851379678837	2.784828934801986	0.08484845860170247	6.4388098540195555	-5.032042736277923	3.076529246353941	4.6663108426772615	0.9673055099754747	2.6270951393425643	-0.942372285537517	6.537413158538173	2.251432137323056	-0.6397730368452849	1.4504816563953544	2.971144497219328
1,1,2-Trichloroethane	-0.15946590496745905	-8.170966929014451	8.670215318496918	-3.2634033771728075	6.121155849457446	5.23176377641823	3.3862561489157987	2.6154655120178996	-4.766508340827622	4.501359477190231	5.284004973108571	-5.0739789395470645	-0.2319325699818822	0.23292783306503828	5.082296319729141	1.3439447632201083	-0.48039849869525825	-6.418211147510584	4.647643835286701	-1.0721420211441006	5.539693679064221	3.150614380297002	-10.12428289886009	-5.72952728692985	-7.666098059448948	8.323120674369818	8.088319203252492	-1.3278778930351118	0.34819537309603404	-5.99990740874082	-5.511961547020577	-1.1673863740333592	1.7675757619659846	-1.0060763282660248
1,1,2-Trichlorotrifluoroethane	-1.8034455280028723	-6.841918928114148	8.579084247245534	-5.000592708063364	-7.015459940428382	6.6220619399675265	-5.449559786516438	-1.4832792988399686	1.7603667345221077	-1.9812459132908387	10.489179129709168	-5.264620416391997	-3.295824271965386	-0.5627963971177811	3.8604785507017754	-7.011678101308729	-3.342387203742128	-4.217865044358678	-2.581793189000135	1.8882710253274586	-0.30579805202012833	11.249411013979262	3.8088484500414674	-2.1771064691903455	3.8549106765664094	-6.806753192985474	-0.4384138315877802	1.2923713121681264	3.368856400133175	-4.90375893183319	4.612103247112978	-2.066485854349659	-1.041951195670222	1.7235043514664694
1,1-Difluoroethane	-2.1222454677011515	-7.532636501159784	0.3328028642962825	-2.5343827813771966	6.189207737800429	-3.829019462280597	5.767794535004583	-0.1580925760814212	2.947496004981359	-3.277137712002002	-3.461422556530171	1.594883581204549	4.834808890562569	1.7176881363897267	-0.7293471938032404	1.4943373026661837	4.250138616348123	-1.5094599257744206	2.638645332800822	-3.369358865016963	0.4504869222677452	1.5127445679314435	-1.2343905400362172	-2.71436695654694	0.2569803540651149	1.0766766851035798	1.8722992043792595	-0.5802387389998032	4.069918951586376	-0.07401767342450166	5.317155078896661	3.5175196795925183	-1.1359023848463232	1.437197530373545
1,1-Dimethylhydrazine	-1.5796719229398557	1.2718487040303519	0.07342894453832792	-4.43394699591592	-2.4218382065091797	-2.7125260352212623	4.477056275288908	-7.940846133468972	-3.631399837513114	-1.2157538542847153	-7.179137074501435	-0.8734367607547898	1.2113332176729594	-3.2110084843900304	-4.390986612509846	2.8437351088703515	-6.000287612843418	-4.05580898413445	4.581049569105789	-7.033576890977367	-2.3314621997645264	7.2446451720279255	-2.9756276560124197	-0.8022232995265852	-2.403092657530087	1.1960245623700507	-8.553138866324977	0.19798752675581494	-3.014644254038047	0.49630646516887683	-3.2280321179645095	6.273469449466857	-2.474188255482961	-3.793772040983349
1-2-3-hexanetriol	-2.588174350697498	1.2674018809143972	-8.967402414835206	0.24655773948157347	-0.38932941164942514	-1.8116952270758664	-5.864950987113722	2.8036301648670134	-4.946009522381786	5.973932585823999	4.315675455074696	1.6375412657849928	4.6467833856736735	-6.873021736887342	-4.846984244721694	-2.036678081015023	4.987907829451657	3.9914185630808405	0.6917846601774243	1.6990673119974917	-5.2429022385219834	-3.570700560304588	-4.170000353238097	-5.412957389999987	2.430206381565272	-1.797763325676788	0.0025452827929675313	-1.8303467089290326	-9.213711975555002	-7.808822093902023	4.197237844854248	-4.099802483383901	-1.1337948556119655	4.68927558869681
